date,WBA
2014-01-18,4.83
2014-01-19,0.0
2014-01-20,21.0
2014-01-21,9.03
2014-01-22,12.18
2014-01-23,6.09
2014-01-24,8.4
2014-01-25,0.0
2014-01-26,15.54
2014-01-27,9.03
2014-01-28,5.67
2014-01-29,12.18
2014-01-30,11.129999999999999
2014-01-31,7.77
2014-02-01,8.280000000000001
2014-02-02,17.25
2014-02-03,4.6000000000000005
2014-02-04,2.7600000000000002
2014-02-05,5.29
2014-02-06,3.68
2014-02-07,0.0
2014-02-08,3.22
2014-02-09,14.26
2014-02-10,5.29
2014-02-11,23.0
2014-02-12,7.13
2014-02-13,7.82
2014-02-14,4.83
2014-02-15,4.6000000000000005
2014-02-16,0.0
2014-02-17,5.5200000000000005
2014-02-18,2.99
2014-02-19,6.44
2014-02-20,0.0
2014-02-21,7.590000000000001
2014-02-22,3.68
2014-02-23,7.36
2014-02-24,6.21
2014-02-25,9.43
2014-02-26,4.140000000000001
2014-02-27,0.0
2014-02-28,6.21
2014-03-01,16.0
2014-03-02,7.2
2014-03-03,12.600000000000001
2014-03-04,8.200000000000001
2014-03-05,11.200000000000001
2014-03-06,0.0
2014-03-07,0.0
2014-03-08,16.8
2014-03-09,7.800000000000001
2014-03-10,3.4000000000000004
2014-03-11,15.600000000000001
2014-03-12,8.6
2014-03-13,8.200000000000001
2014-03-14,6.2
2014-03-15,16.2
2014-03-16,16.8
2014-03-17,4.6000000000000005
2014-03-18,14.4
2014-03-19,20.0
2014-03-20,7.0
2014-03-21,0.0
2014-03-22,11.4
2014-03-23,0.0
2014-03-24,8.8
2014-03-25,4.800000000000001
2014-03-26,8.6
2014-03-27,3.6
2014-03-28,0.0
2014-03-29,7.2
2014-03-30,9.0
2014-03-31,15.8
2014-04-01,5.04
2014-04-02,6.0
2014-04-03,9.36
2014-04-04,5.52
2014-04-05,0.0
2014-04-06,12.24
2014-04-07,6.72
2014-04-08,4.56
2014-04-09,4.8
2014-04-10,12.0
2014-04-11,6.72
2014-04-12,15.6
2014-04-13,19.2
2014-04-14,6.0
2014-04-15,9.36
2014-04-16,0.0
2014-04-17,16.08
2014-04-18,0.0
2014-04-19,0.0
2014-04-20,11.76
2014-04-21,24.0
2014-04-22,6.72
2014-04-23,3.36
