date,NKE
2015-07-24,8.120000000000001
2015-07-25,6.86
2015-07-26,4.62
2015-07-27,7.840000000000001
2015-07-28,5.74
2015-07-29,9.8
2015-07-30,6.300000000000001
2015-07-31,3.3600000000000003
2015-08-01,0.0
2015-08-02,5.460000000000001
2015-08-03,6.720000000000001
2015-08-04,4.48
2015-08-05,5.040000000000001
2015-08-06,11.760000000000002
2015-08-07,14.000000000000002
2015-08-08,4.340000000000001
2015-08-09,4.9
2015-08-10,9.66
2015-08-11,3.08
2015-08-12,3.9200000000000004
2015-08-13,7.000000000000001
2015-08-14,7.98
2015-08-15,5.32
2015-08-16,9.38
2015-08-17,0.0
2015-08-18,7.000000000000001
2015-08-19,5.6000000000000005
2015-08-20,5.6000000000000005
2015-08-21,6.16
2015-08-22,5.180000000000001
2015-08-23,8.260000000000002
2015-08-24,13.72
2015-08-25,7.840000000000001
2015-08-26,13.72
2015-08-27,11.620000000000001
2015-08-28,7.98
2015-08-29,0.0
2015-08-30,4.760000000000001
2015-08-31,7.840000000000001
2015-09-01,2.52
2015-09-02,1.98
2015-09-03,4.5
2015-09-04,5.22
2015-09-05,0.0
2015-09-06,1.26
2015-09-07,3.2399999999999998
2015-09-08,3.2399999999999998
2015-09-09,2.88
2015-09-10,2.34
2015-09-11,1.7999999999999998
2015-09-12,3.2399999999999998
2015-09-13,0.0
2015-09-14,3.42
2015-09-15,6.3
2015-09-16,2.6999999999999997
2015-09-17,1.26
2015-09-18,5.58
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,1.6199999999999999
2015-09-22,1.98
2015-09-23,3.2399999999999998
2015-09-24,8.82
2015-09-25,18.0
2015-09-26,4.5
2015-09-27,3.5999999999999996
2015-09-28,4.859999999999999
2015-09-29,2.6999999999999997
2015-09-30,0.72
2015-10-01,7.4
2015-10-02,5.2
2015-10-03,4.6000000000000005
2015-10-04,1.6
2015-10-05,6.4
2015-10-06,10.600000000000001
2015-10-07,8.0
2015-10-08,5.4
2015-10-09,6.4
2015-10-10,5.0
2015-10-11,0.0
2015-10-12,5.2
2015-10-13,8.0
2015-10-14,8.200000000000001
2015-10-15,8.200000000000001
2015-10-16,8.4
2015-10-17,3.0
2015-10-18,7.2
2015-10-19,17.8
2015-10-20,14.600000000000001
2015-10-21,11.8
2015-10-22,20.0
2015-10-23,9.4
2015-10-24,0.0
2015-10-25,2.0
2015-10-26,11.4
2015-10-27,6.6000000000000005
2015-10-28,6.6000000000000005
2015-10-29,10.0
2015-10-30,7.800000000000001
2015-10-31,5.4
2015-11-01,0.0
2015-11-02,5.25
2015-11-03,8.61
2015-11-04,6.3
2015-11-05,7.14
2015-11-06,8.61
2015-11-07,4.41
2015-11-08,3.15
2015-11-09,6.3
2015-11-10,6.93
2015-11-11,3.78
2015-11-12,6.72
2015-11-13,13.65
2015-11-14,5.04
2015-11-15,3.36
2015-11-16,4.83
2015-11-17,9.24
2015-11-18,8.61
2015-11-19,14.7
2015-11-20,21.0
2015-11-21,0.0
2015-11-22,4.62
2015-11-23,8.19
2015-11-24,6.09
2015-11-25,9.45
2015-11-26,4.2
2015-11-27,8.61
2015-11-28,6.3
2015-11-29,3.78
2015-11-30,10.08
2015-12-01,4.29
2015-12-02,5.94
2015-12-03,7.92
2015-12-04,12.21
2015-12-05,4.95
2015-12-06,1.98
2015-12-07,10.23
2015-12-08,13.200000000000001
