date,TRV
2014-01-15,56.0
2014-01-16,28.7
2014-01-17,23.799999999999997
2014-01-18,30.099999999999998
2014-01-19,0.0
2014-01-20,25.9
2014-01-21,70.0
2014-01-22,34.3
2014-01-23,0.0
2014-01-24,37.099999999999994
2014-01-25,33.599999999999994
2014-01-26,15.399999999999999
2014-01-27,29.4
2014-01-28,38.5
2014-01-29,16.799999999999997
2014-01-30,28.7
2014-01-31,46.9
2014-02-01,17.68
2014-02-02,19.720000000000002
2014-02-03,38.760000000000005
2014-02-04,17.0
2014-02-05,25.16
2014-02-06,0.0
2014-02-07,23.12
2014-02-08,0.0
2014-02-09,0.0
2014-02-10,51.68000000000001
2014-02-11,54.400000000000006
2014-02-12,61.88
2014-02-13,51.00000000000001
2014-02-14,33.32
2014-02-15,68.0
2014-02-16,38.080000000000005
2014-02-17,53.720000000000006
2014-02-18,53.040000000000006
2014-02-19,40.800000000000004
2014-02-20,27.200000000000003
2014-02-21,49.64
2014-02-22,43.52
2014-02-23,54.400000000000006
2014-02-24,24.48
2014-02-25,16.32
2014-02-26,29.240000000000002
2014-02-27,50.32
2014-02-28,32.64
2014-03-01,30.68
2014-03-02,17.11
2014-03-03,11.209999999999999
2014-03-04,10.62
2014-03-05,29.5
2014-03-06,10.03
2014-03-07,11.209999999999999
2014-03-08,19.47
2014-03-09,0.0
2014-03-10,18.29
2014-03-11,7.08
2014-03-12,30.09
2014-03-13,15.34
2014-03-14,0.0
2014-03-15,11.209999999999999
2014-03-16,18.88
2014-03-17,12.979999999999999
2014-03-18,0.0
2014-03-19,14.75
2014-03-20,18.88
2014-03-21,21.24
2014-03-22,40.71
2014-03-23,0.0
2014-03-24,17.7
2014-03-25,15.34
2014-03-26,29.5
2014-03-27,31.86
2014-03-28,59.0
2014-03-29,0.0
2014-03-30,20.06
2014-03-31,18.88
2014-04-01,19.2
2014-04-02,23.68
2014-04-03,16.64
2014-04-04,16.0
2014-04-05,12.16
2014-04-06,10.24
2014-04-07,13.44
2014-04-08,42.88
2014-04-09,33.28
2014-04-10,0.0
2014-04-11,7.04
2014-04-12,8.96
2014-04-13,0.0
2014-04-14,12.8
2014-04-15,20.48
2014-04-16,7.04
2014-04-17,35.2
2014-04-18,8.32
2014-04-19,26.240000000000002
2014-04-20,22.400000000000002
2014-04-21,21.12
2014-04-22,19.2
2014-04-23,64.0
2014-04-24,14.08
2014-04-25,8.96
2014-04-26,16.0
2014-04-27,23.68
2014-04-28,10.88
2014-04-29,25.6
2014-04-30,8.32
2014-05-01,26.599999999999998
2014-05-02,0.0
2014-05-03,56.0
2014-05-04,20.299999999999997
2014-05-05,33.599999999999994
2014-05-06,57.4
2014-05-07,34.3
2014-05-08,14.7
2014-05-09,14.7
2014-05-10,23.099999999999998
2014-05-11,19.599999999999998
2014-05-12,14.7
2014-05-13,20.299999999999997
2014-05-14,21.7
2014-05-15,0.0
2014-05-16,20.299999999999997
2014-05-17,42.699999999999996
2014-05-18,23.799999999999997
2014-05-19,26.599999999999998
2014-05-20,43.4
2014-05-21,18.9
2014-05-22,18.2
2014-05-23,50.4
2014-05-24,35.699999999999996
2014-05-25,49.699999999999996
2014-05-26,28.7
2014-05-27,70.0
2014-05-28,61.599999999999994
2014-05-29,23.799999999999997
2014-05-30,35.699999999999996
2014-05-31,0.0
2014-06-01,0.0
2014-06-02,19.169999999999998
2014-06-03,41.18
2014-06-04,33.37
2014-06-05,0.0
2014-06-06,29.11
2014-06-07,13.489999999999998
2014-06-08,43.309999999999995
2014-06-09,33.37
2014-06-10,39.76
2014-06-11,14.2
2014-06-12,12.07
2014-06-13,26.27
2014-06-14,15.62
2014-06-15,0.0
2014-06-16,26.979999999999997
2014-06-17,29.11
2014-06-18,24.849999999999998
2014-06-19,44.019999999999996
2014-06-20,29.82
2014-06-21,48.989999999999995
2014-06-22,71.0
2014-06-23,0.0
2014-06-24,17.75
2014-06-25,44.019999999999996
2014-06-26,17.75
2014-06-27,34.08
2014-06-28,0.0
2014-06-29,0.0
2014-06-30,34.08
2014-07-01,24.419999999999998
2014-07-02,31.82
2014-07-03,0.0
2014-07-04,32.56
2014-07-05,0.0
2014-07-06,19.98
2014-07-07,67.34
2014-07-08,31.08
2014-07-09,22.2
2014-07-10,35.519999999999996
2014-07-11,31.82
2014-07-12,25.16
2014-07-13,18.5
2014-07-14,56.24
2014-07-15,27.38
2014-07-16,26.64
2014-07-17,0.0
2014-07-18,53.28
2014-07-19,0.0
2014-07-20,34.04
2014-07-21,17.02
2014-07-22,74.0
2014-07-23,26.64
2014-07-24,37.0
2014-07-25,0.0
2014-07-26,30.34
2014-07-27,41.44
2014-07-28,54.76
2014-07-29,44.4
2014-07-30,55.5
2014-07-31,0.0
2014-08-01,24.18
2014-08-02,52.7
2014-08-03,19.22
2014-08-04,35.339999999999996
2014-08-05,30.38
2014-08-06,0.0
2014-08-07,17.98
2014-08-08,0.0
2014-08-09,0.0
2014-08-10,29.759999999999998
2014-08-11,15.5
2014-08-12,38.44
2014-08-13,40.3
2014-08-14,0.0
2014-08-15,50.839999999999996
2014-08-16,0.0
2014-08-17,62.0
2014-08-18,27.28
2014-08-19,13.02
2014-08-20,0.0
2014-08-21,52.08
2014-08-22,40.3
2014-08-23,16.12
2014-08-24,26.66
2014-08-25,29.759999999999998
2014-08-26,0.0
2014-08-27,22.94
2014-08-28,31.62
2014-08-29,33.48
2014-08-30,39.06
2014-08-31,0.0
2014-09-01,0.0
2014-09-02,46.24
2014-09-03,48.96
2014-09-04,20.400000000000002
2014-09-05,27.200000000000003
2014-09-06,54.400000000000006
2014-09-07,62.56
2014-09-08,38.760000000000005
2014-09-09,14.96
2014-09-10,45.56
2014-09-11,27.880000000000003
2014-09-12,68.0
2014-09-13,17.68
2014-09-14,59.160000000000004
2014-09-15,51.00000000000001
2014-09-16,36.04
2014-09-17,27.880000000000003
2014-09-18,0.0
2014-09-19,30.6
2014-09-20,31.96
2014-09-21,0.0
2014-09-22,0.0
2014-09-23,27.880000000000003
2014-09-24,40.800000000000004
2014-09-25,38.080000000000005
2014-09-26,24.48
2014-09-27,19.040000000000003
2014-09-28,0.0
2014-09-29,48.96
2014-09-30,37.400000000000006
2014-10-01,12.78
2014-10-02,9.94
2014-10-03,20.59
2014-10-04,28.4
2014-10-05,19.88
2014-10-06,24.14
2014-10-07,15.62
2014-10-08,42.599999999999994
2014-10-09,19.169999999999998
2014-10-10,13.489999999999998
2014-10-11,53.25
2014-10-12,22.009999999999998
2014-10-13,0.0
2014-10-14,18.46
2014-10-15,11.36
2014-10-16,34.79
2014-10-17,46.15
2014-10-18,31.95
2014-10-19,0.0
2014-10-20,0.0
2014-10-21,26.979999999999997
2014-10-22,41.89
2014-10-23,24.14
2014-10-24,46.15
2014-10-25,13.489999999999998
2014-10-26,71.0
2014-10-27,0.0
2014-10-28,38.339999999999996
2014-10-29,21.299999999999997
2014-10-30,22.72
2014-10-31,48.989999999999995
2014-11-01,61.38
2014-11-02,36.96
2014-11-03,12.540000000000001
2014-11-04,31.020000000000003
2014-11-05,22.44
2014-11-06,36.96
2014-11-07,17.16
2014-11-08,0.0
2014-11-09,39.6
2014-11-10,0.0
2014-11-11,21.78
2014-11-12,66.0
2014-11-13,17.16
2014-11-14,37.620000000000005
2014-11-15,28.380000000000003
2014-11-16,0.0
2014-11-17,27.060000000000002
2014-11-18,19.14
2014-11-19,0.0
2014-11-20,38.940000000000005
2014-11-21,26.400000000000002
2014-11-22,0.0
2014-11-23,19.8
2014-11-24,0.0
2014-11-25,0.0
2014-11-26,30.360000000000003
2014-11-27,46.2
2014-11-28,0.0
2014-11-29,0.0
2014-11-30,24.42
2014-12-01,12.41
2014-12-02,33.58
2014-12-03,16.79
2014-12-04,11.68
2014-12-05,37.23
2014-12-06,19.71
2014-12-07,16.06
2014-12-08,33.58
2014-12-09,24.82
2014-12-10,29.93
2014-12-11,21.9
2014-12-12,0.0
2014-12-13,33.58
2014-12-14,73.0
2014-12-15,22.63
2014-12-16,20.439999999999998
2014-12-17,28.47
2014-12-18,0.0
2014-12-19,27.009999999999998
2014-12-20,17.52
2014-12-21,15.33
2014-12-22,24.09
2014-12-23,40.15
2014-12-24,40.879999999999995
2014-12-25,32.12
2014-12-26,24.82
2014-12-27,21.169999999999998
2014-12-28,35.769999999999996
2014-12-29,19.71
2014-12-30,32.12
2014-12-31,10.95
2015-01-01,26.64
2015-01-02,44.64
2015-01-03,22.32
2015-01-04,30.24
2015-01-05,27.36
2015-01-06,39.6
2015-01-07,58.32
2015-01-08,30.24
2015-01-09,41.76
2015-01-10,22.32
2015-01-11,41.76
2015-01-12,0.0
2015-01-13,0.0
2015-01-14,19.439999999999998
2015-01-15,37.44
