date,TRV
2014-04-30,12.6
2014-05-01,0.0
2014-05-02,11.1
2014-05-03,18.5
2014-05-04,30.34
2014-05-05,32.56
2014-05-06,26.64
2014-05-07,20.72
2014-05-08,0.0
2014-05-09,17.02
2014-05-10,0.0
2014-05-11,0.0
2014-05-12,11.1
2014-05-13,14.06
2014-05-14,8.879999999999999
2014-05-15,9.62
2014-05-16,38.48
2014-05-17,12.58
2014-05-18,0.0
2014-05-19,18.5
2014-05-20,31.82
2014-05-21,22.94
2014-05-22,9.62
2014-05-23,0.0
2014-05-24,20.72
2014-05-25,29.6
2014-05-26,0.0
2014-05-27,52.54
2014-05-28,74.0
2014-05-29,22.94
2014-05-30,33.3
2014-05-31,0.0
2014-06-01,52.54
2014-06-02,24.849999999999998
2014-06-03,31.95
2014-06-04,25.56
2014-06-05,0.0
2014-06-06,21.299999999999997
2014-06-07,26.979999999999997
2014-06-08,22.009999999999998
2014-06-09,29.11
2014-06-10,9.94
2014-06-11,13.489999999999998
2014-06-12,20.59
2014-06-13,20.59
2014-06-14,0.0
2014-06-15,22.72
2014-06-16,34.08
2014-06-17,29.11
2014-06-18,17.04
2014-06-19,26.27
2014-06-20,21.299999999999997
2014-06-21,13.489999999999998
2014-06-22,71.0
2014-06-23,11.36
2014-06-24,33.37
2014-06-25,9.23
2014-06-26,0.0
2014-06-27,18.46
2014-06-28,0.0
2014-06-29,42.599999999999994
2014-06-30,49.699999999999996
2014-07-01,28.12
2014-07-02,24.32
2014-07-03,15.2
2014-07-04,37.24
2014-07-05,0.0
2014-07-06,32.68
2014-07-07,0.0
2014-07-08,22.04
2014-07-09,19.76
2014-07-10,55.480000000000004
2014-07-11,32.68
2014-07-12,0.0
2014-07-13,0.0
2014-07-14,40.28
2014-07-15,0.0
2014-07-16,38.76
2014-07-17,0.0
2014-07-18,0.0
2014-07-19,0.0
2014-07-20,0.0
2014-07-21,0.0
2014-07-22,37.24
2014-07-23,16.72
2014-07-24,30.4
2014-07-25,12.92
2014-07-26,49.4
2014-07-27,0.0
2014-07-28,50.160000000000004
2014-07-29,76.0
2014-07-30,44.08
2014-07-31,23.56
2014-08-01,0.0
2014-08-02,0.0
2014-08-03,41.48
2014-08-04,0.0
2014-08-05,29.89
2014-08-06,15.86
2014-08-07,18.3
2014-08-08,0.0
2014-08-09,21.349999999999998
2014-08-10,61.0
2014-08-11,0.0
2014-08-12,0.0
2014-08-13,33.55
2014-08-14,14.03
2014-08-15,25.62
2014-08-16,13.42
2014-08-17,0.0
2014-08-18,26.23
2014-08-19,28.669999999999998
2014-08-20,48.8
2014-08-21,26.84
2014-08-22,25.62
2014-08-23,20.13
2014-08-24,23.18
2014-08-25,0.0
2014-08-26,0.0
2014-08-27,32.33
2014-08-28,0.0
2014-08-29,20.13
2014-08-30,18.3
2014-08-31,0.0
2014-09-01,14.0
2014-09-02,19.599999999999998
2014-09-03,28.7
2014-09-04,0.0
2014-09-05,0.0
2014-09-06,25.9
2014-09-07,44.8
2014-09-08,0.0
2014-09-09,28.7
2014-09-10,47.599999999999994
2014-09-11,32.9
2014-09-12,44.099999999999994
2014-09-13,35.0
2014-09-14,0.0
2014-09-15,70.0
2014-09-16,35.699999999999996
2014-09-17,0.0
2014-09-18,0.0
2014-09-19,23.799999999999997
2014-09-20,0.0
2014-09-21,0.0
2014-09-22,32.9
2014-09-23,60.9
2014-09-24,0.0
2014-09-25,35.0
2014-09-26,37.8
2014-09-27,69.3
2014-09-28,21.0
2014-09-29,45.5
2014-09-30,23.799999999999997
2014-10-01,28.88
2014-10-02,16.72
2014-10-03,31.92
2014-10-04,39.52
2014-10-05,43.32
2014-10-06,10.64
2014-10-07,12.16
2014-10-08,29.64
2014-10-09,23.56
2014-10-10,25.080000000000002
2014-10-11,37.24
2014-10-12,15.96
2014-10-13,0.0
2014-10-14,12.92
2014-10-15,19.0
2014-10-16,0.0
2014-10-17,24.32
2014-10-18,18.240000000000002
2014-10-19,14.44
2014-10-20,26.6
2014-10-21,45.6
2014-10-22,63.08
2014-10-23,47.12
2014-10-24,76.0
2014-10-25,0.0
2014-10-26,18.240000000000002
2014-10-27,24.32
2014-10-28,26.6
2014-10-29,25.84
2014-10-30,29.64
2014-10-31,28.88
2014-11-01,63.24
2014-11-02,52.36000000000001
2014-11-03,24.48
2014-11-04,30.6
2014-11-05,39.440000000000005
2014-11-06,44.2
2014-11-07,0.0
2014-11-08,31.28
2014-11-09,68.0
2014-11-10,41.480000000000004
2014-11-11,59.84
2014-11-12,53.040000000000006
2014-11-13,27.200000000000003
2014-11-14,29.92
2014-11-15,0.0
2014-11-16,0.0
2014-11-17,43.52
2014-11-18,31.96
2014-11-19,0.0
2014-11-20,55.760000000000005
2014-11-21,59.160000000000004
2014-11-22,0.0
2014-11-23,38.080000000000005
2014-11-24,25.16
2014-11-25,19.720000000000002
2014-11-26,27.200000000000003
2014-11-27,0.0
2014-11-28,0.0
2014-11-29,0.0
2014-11-30,53.720000000000006
2014-12-01,26.64
2014-12-02,48.96
2014-12-03,68.39999999999999
2014-12-04,19.439999999999998
2014-12-05,63.36
2014-12-06,41.76
2014-12-07,0.0
2014-12-08,48.96
2014-12-09,36.72
2014-12-10,40.32
2014-12-11,70.56
2014-12-12,0.0
2014-12-13,42.48
2014-12-14,33.839999999999996
2014-12-15,0.0
2014-12-16,0.0
2014-12-17,46.08
2014-12-18,26.64
2014-12-19,54.72
2014-12-20,43.92
2014-12-21,0.0
2014-12-22,72.0
2014-12-23,51.839999999999996
2014-12-24,0.0
2014-12-25,34.56
2014-12-26,25.2
2014-12-27,38.16
2014-12-28,55.44
2014-12-29,42.48
2014-12-30,59.04
2014-12-31,41.76
2015-01-01,0.0
2015-01-02,0.0
2015-01-03,54.75
2015-01-04,49.64
2015-01-05,0.0
2015-01-06,66.42999999999999
2015-01-07,64.97
2015-01-08,28.47
2015-01-09,32.12
2015-01-10,0.0
2015-01-11,33.58
2015-01-12,0.0
2015-01-13,59.86
2015-01-14,27.009999999999998
2015-01-15,21.9
2015-01-16,20.439999999999998
2015-01-17,0.0
2015-01-18,40.15
2015-01-19,52.56
2015-01-20,40.879999999999995
2015-01-21,21.169999999999998
2015-01-22,61.32
2015-01-23,0.0
2015-01-24,43.07
2015-01-25,19.71
2015-01-26,35.04
2015-01-27,0.0
2015-01-28,22.63
2015-01-29,27.74
2015-01-30,0.0
2015-01-31,73.0
2015-02-01,22.110000000000003
2015-02-02,29.48
2015-02-03,15.41
2015-02-04,0.0
2015-02-05,28.14
2015-02-06,49.580000000000005
2015-02-07,0.0
2015-02-08,26.8
2015-02-09,0.0
2015-02-10,0.0
2015-02-11,55.61000000000001
2015-02-12,32.830000000000005
2015-02-13,36.18
2015-02-14,19.43
2015-02-15,35.510000000000005
2015-02-16,28.14
2015-02-17,14.74
2015-02-18,44.220000000000006
2015-02-19,67.0
2015-02-20,36.85
2015-02-21,0.0
2015-02-22,60.300000000000004
2015-02-23,51.59
2015-02-24,30.82
2015-02-25,29.48
2015-02-26,37.52
2015-02-27,18.09
2015-02-28,32.160000000000004
2015-03-01,29.6
2015-03-02,58.400000000000006
2015-03-03,20.0
2015-03-04,56.0
2015-03-05,44.800000000000004
2015-03-06,23.200000000000003
2015-03-07,15.200000000000001
2015-03-08,26.400000000000002
2015-03-09,27.200000000000003
2015-03-10,24.8
2015-03-11,48.0
2015-03-12,66.4
2015-03-13,32.800000000000004
2015-03-14,18.400000000000002
2015-03-15,43.2
2015-03-16,24.0
2015-03-17,26.400000000000002
2015-03-18,17.6
2015-03-19,39.2
2015-03-20,37.6
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,26.400000000000002
2015-03-24,32.800000000000004
2015-03-25,28.8
2015-03-26,28.8
2015-03-27,80.0
2015-03-28,56.0
2015-03-29,33.6
2015-03-30,44.0
2015-03-31,41.6
2015-04-01,37.260000000000005
2015-04-02,12.96
2015-04-03,0.0
2015-04-04,22.68
2015-04-05,81.0
2015-04-06,0.0
2015-04-07,51.84
2015-04-08,35.64
2015-04-09,20.25
2015-04-10,21.87
2015-04-11,45.36
2015-04-12,0.0
2015-04-13,22.68
2015-04-14,41.31
2015-04-15,42.93
2015-04-16,74.52000000000001
2015-04-17,0.0
2015-04-18,18.630000000000003
2015-04-19,19.44
2015-04-20,38.07
2015-04-21,34.830000000000005
2015-04-22,44.550000000000004
2015-04-23,25.110000000000003
2015-04-24,32.400000000000006
2015-04-25,0.0
2015-04-26,27.540000000000003
2015-04-27,11.34
2015-04-28,50.220000000000006
2015-04-29,28.35
2015-04-30,21.87
2015-05-01,10.2
2015-05-02,17.4
2015-05-03,18.599999999999998
2015-05-04,0.0
2015-05-05,17.4
2015-05-06,16.2
2015-05-07,0.0
2015-05-08,30.599999999999998
2015-05-09,12.0
2015-05-10,28.799999999999997
2015-05-11,33.6
2015-05-12,22.2
2015-05-13,27.599999999999998
2015-05-14,60.0
2015-05-15,28.2
2015-05-16,0.0
2015-05-17,25.8
2015-05-18,51.0
2015-05-19,9.0
2015-05-20,42.0
2015-05-21,15.6
2015-05-22,16.2
2015-05-23,12.0
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,9.0
2015-05-29,30.0
2015-05-30,31.2
2015-05-31,0.0
2015-06-01,32.76
2015-06-02,28.080000000000002
2015-06-03,0.0
2015-06-04,53.82
2015-06-05,28.86
2015-06-06,35.1
2015-06-07,0.0
2015-06-08,67.86
2015-06-09,0.0
2015-06-10,0.0
2015-06-11,26.52
2015-06-12,47.58
2015-06-13,78.0
2015-06-14,56.940000000000005
2015-06-15,0.0
2015-06-16,0.0
2015-06-17,25.740000000000002
2015-06-18,61.620000000000005
2015-06-19,33.54
2015-06-20,28.86
2015-06-21,0.0
2015-06-22,18.72
2015-06-23,36.660000000000004
2015-06-24,39.78
2015-06-25,27.3
2015-06-26,42.120000000000005
2015-06-27,29.64
2015-06-28,25.740000000000002
2015-06-29,29.64
2015-06-30,71.76
2015-07-01,12.540000000000001
2015-07-02,20.46
2015-07-03,26.400000000000002
2015-07-04,0.0
2015-07-05,34.32
2015-07-06,14.520000000000001
2015-07-07,66.0
2015-07-08,30.360000000000003
2015-07-09,9.9
2015-07-10,10.56
2015-07-11,0.0
2015-07-12,0.0
2015-07-13,29.040000000000003
2015-07-14,12.540000000000001
2015-07-15,21.12
2015-07-16,0.0
2015-07-17,17.82
2015-07-18,19.8
2015-07-19,29.040000000000003
2015-07-20,20.46
2015-07-21,24.42
2015-07-22,44.88
2015-07-23,11.22
2015-07-24,25.080000000000002
2015-07-25,28.380000000000003
2015-07-26,11.22
2015-07-27,9.9
2015-07-28,9.9
2015-07-29,15.180000000000001
2015-07-30,19.14
2015-07-31,0.0
2015-08-01,72.0
2015-08-02,0.0
2015-08-03,18.0
2015-08-04,25.2
2015-08-05,11.52
2015-08-06,0.0
2015-08-07,43.92
2015-08-08,25.2
2015-08-09,33.12
2015-08-10,0.0
2015-08-11,25.919999999999998
2015-08-12,11.52
2015-08-13,23.04
2015-08-14,0.0
2015-08-15,18.0
2015-08-16,0.0
2015-08-17,31.68
2015-08-18,0.0
2015-08-19,24.48
2015-08-20,25.2
2015-08-21,25.919999999999998
2015-08-22,31.68
2015-08-23,16.56
2015-08-24,47.519999999999996
2015-08-25,17.28
2015-08-26,0.0
2015-08-27,54.72
2015-08-28,0.0
2015-08-29,28.08
2015-08-30,20.16
2015-08-31,30.959999999999997
2015-09-01,41.3
2015-09-02,25.9
2015-09-03,37.8
2015-09-04,0.0
2015-09-05,23.799999999999997
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,33.599999999999994
2015-09-10,0.0
2015-09-11,27.299999999999997
2015-09-12,30.099999999999998
2015-09-13,54.599999999999994
2015-09-14,49.0
2015-09-15,28.0
2015-09-16,56.699999999999996
2015-09-17,32.9
2015-09-18,56.0
2015-09-19,44.099999999999994
2015-09-20,0.0
2015-09-21,70.0
2015-09-22,30.099999999999998
2015-09-23,30.099999999999998
2015-09-24,0.0
2015-09-25,0.0
2015-09-26,0.0
2015-09-27,20.299999999999997
2015-09-28,60.9
2015-09-29,30.099999999999998
2015-09-30,33.599999999999994
2015-10-01,54.779999999999994
2015-10-02,25.73
2015-10-03,79.67999999999999
2015-10-04,82.17
2015-10-05,18.259999999999998
2015-10-06,21.58
2015-10-07,24.9
2015-10-08,0.0
2015-10-09,39.839999999999996
2015-10-10,0.0
2015-10-11,39.839999999999996
2015-10-12,14.94
2015-10-13,29.049999999999997
2015-10-14,48.14
2015-10-15,21.58
2015-10-16,71.38
2015-10-17,44.82
2015-10-18,51.46
2015-10-19,57.269999999999996
2015-10-20,37.35
2015-10-21,11.62
2015-10-22,18.259999999999998
2015-10-23,14.94
2015-10-24,78.85
2015-10-25,0.0
2015-10-26,58.099999999999994
2015-10-27,56.44
2015-10-28,30.709999999999997
2015-10-29,54.779999999999994
2015-10-30,83.0
2015-10-31,68.89
2015-11-01,29.25
2015-11-02,32.5
2015-11-03,15.600000000000001
2015-11-04,14.950000000000001
2015-11-05,0.0
2015-11-06,50.7
2015-11-07,18.2
2015-11-08,0.0
2015-11-09,0.0
2015-11-10,18.85
2015-11-11,20.8
2015-11-12,45.5
2015-11-13,52.0
2015-11-14,0.0
2015-11-15,27.3
2015-11-16,40.300000000000004
2015-11-17,27.3
2015-11-18,33.800000000000004
2015-11-19,65.0
2015-11-20,22.75
2015-11-21,32.5
2015-11-22,0.0
2015-11-23,11.700000000000001
2015-11-24,21.45
2015-11-25,29.25
2015-11-26,22.1
2015-11-27,20.8
2015-11-28,0.0
2015-11-29,23.400000000000002
2015-11-30,16.900000000000002
2015-12-01,34.0
2015-12-02,43.52
2015-12-03,34.68
2015-12-04,29.92
2015-12-05,21.080000000000002
2015-12-06,18.360000000000003
2015-12-07,44.2
2015-12-08,46.24
2015-12-09,23.8
2015-12-10,26.520000000000003
2015-12-11,19.720000000000002
2015-12-12,31.28
2015-12-13,20.400000000000002
2015-12-14,16.32
2015-12-15,23.12
2015-12-16,59.84
2015-12-17,27.880000000000003
2015-12-18,28.560000000000002
2015-12-19,68.0
2015-12-20,26.520000000000003
2015-12-21,44.2
2015-12-22,52.36000000000001
2015-12-23,0.0
2015-12-24,21.080000000000002
2015-12-25,61.88
2015-12-26,39.440000000000005
2015-12-27,15.64
2015-12-28,61.88
2015-12-29,0.0
2015-12-30,25.16
2015-12-31,55.760000000000005
2016-01-01,59.2
2016-01-02,16.8
2016-01-03,41.6
2016-01-04,27.200000000000003
2016-01-05,56.0
2016-01-06,48.800000000000004
2016-01-07,60.800000000000004
2016-01-08,51.2
2016-01-09,0.0
2016-01-10,56.0
2016-01-11,48.0
2016-01-12,33.6
2016-01-13,20.8
2016-01-14,29.6
2016-01-15,32.0
2016-01-16,80.0
2016-01-17,32.800000000000004
2016-01-18,12.0
2016-01-19,25.6
2016-01-20,42.400000000000006
2016-01-21,52.800000000000004
2016-01-22,26.400000000000002
2016-01-23,21.6
2016-01-24,22.400000000000002
2016-01-25,59.2
2016-01-26,22.400000000000002
2016-01-27,26.400000000000002
2016-01-28,29.6
2016-01-29,63.2
2016-01-30,12.8
2016-01-31,38.400000000000006
2016-02-01,54.0
2016-02-02,28.5
2016-02-03,53.25
2016-02-04,21.75
2016-02-05,29.25
2016-02-06,54.75
2016-02-07,0.0
2016-02-08,18.75
2016-02-09,32.25
2016-02-10,32.25
2016-02-11,18.0
2016-02-12,44.25
2016-02-13,16.5
2016-02-14,60.75
2016-02-15,30.75
2016-02-16,53.25
2016-02-17,11.25
2016-02-18,75.0
2016-02-19,23.25
2016-02-20,66.0
2016-02-21,15.0
2016-02-22,33.0
2016-02-23,37.5
2016-02-24,33.75
2016-02-25,27.0
2016-02-26,71.25
2016-02-27,27.75
2016-02-28,67.5
2016-02-29,33.75
2016-03-01,68.06
2016-03-02,41.5
2016-03-03,21.58
2016-03-04,53.949999999999996
2016-03-05,25.73
2016-03-06,43.16
2016-03-07,25.73
2016-03-08,28.22
2016-03-09,35.69
2016-03-10,41.5
2016-03-11,55.61
2016-03-12,33.199999999999996
2016-03-13,68.89
2016-03-14,36.519999999999996
2016-03-15,34.86
2016-03-16,83.0
2016-03-17,35.69
2016-03-18,62.25
2016-03-19,24.07
