date,HD
2014-05-27,46.199999999999996
2014-05-28,46.199999999999996
2014-05-29,48.0
2014-05-30,45.0
2014-05-31,53.4
2014-06-01,58.96
2014-06-02,49.580000000000005
2014-06-03,51.59
2014-06-04,50.25
2014-06-05,56.95
2014-06-06,56.95
2014-06-07,64.32000000000001
2014-06-08,64.99000000000001
2014-06-09,55.61000000000001
2014-06-10,47.57
2014-06-11,53.6
2014-06-12,51.59
2014-06-13,62.31
2014-06-14,63.650000000000006
2014-06-15,67.0
2014-06-16,54.27
2014-06-17,50.25
2014-06-18,48.24
2014-06-19,54.27
2014-06-20,56.95
2014-06-21,62.31
2014-06-22,64.32000000000001
2014-06-23,48.24
2014-06-24,55.61000000000001
2014-06-25,56.28
2014-06-26,51.59
2014-06-27,55.61000000000001
2014-06-28,63.650000000000006
2014-06-29,59.63
2014-06-30,46.230000000000004
2014-07-01,51.68000000000001
2014-07-02,50.32
2014-07-03,52.36000000000001
2014-07-04,56.440000000000005
2014-07-05,54.400000000000006
2014-07-06,60.52
2014-07-07,52.36000000000001
2014-07-08,45.56
2014-07-09,51.00000000000001
2014-07-10,50.32
2014-07-11,52.36000000000001
2014-07-12,59.84
2014-07-13,57.800000000000004
2014-07-14,51.00000000000001
2014-07-15,51.00000000000001
2014-07-16,53.720000000000006
2014-07-17,50.32
2014-07-18,55.080000000000005
2014-07-19,59.84
2014-07-20,68.0
2014-07-21,47.6
2014-07-22,51.68000000000001
2014-07-23,48.28
2014-07-24,48.96
2014-07-25,52.36000000000001
2014-07-26,48.96
2014-07-27,57.800000000000004
2014-07-28,49.64
2014-07-29,53.040000000000006
2014-07-30,51.00000000000001
2014-07-31,50.32
2014-08-01,55.44
2014-08-02,66.24
2014-08-03,61.919999999999995
2014-08-04,59.04
2014-08-05,57.599999999999994
2014-08-06,54.72
2014-08-07,48.239999999999995
2014-08-08,58.32
2014-08-09,72.0
2014-08-10,66.24
2014-08-11,48.96
2014-08-12,52.559999999999995
2014-08-13,53.28
2014-08-14,56.879999999999995
2014-08-15,57.599999999999994
2014-08-16,60.48
2014-08-17,66.96
2014-08-18,55.44
2014-08-19,51.12
2014-08-20,53.28
2014-08-21,55.44
2014-08-22,56.16
2014-08-23,66.24
2014-08-24,61.919999999999995
2014-08-25,54.72
2014-08-26,54.0
2014-08-27,51.839999999999996
2014-08-28,56.16
2014-08-29,57.599999999999994
2014-08-30,65.52
2014-08-31,66.96
2014-09-01,51.85
2014-09-02,43.31
2014-09-03,43.31
2014-09-04,44.53
2014-09-05,47.58
2014-09-06,53.68
2014-09-07,53.68
2014-09-08,43.92
2014-09-09,43.31
2014-09-10,45.75
2014-09-11,43.31
2014-09-12,43.92
2014-09-13,53.07
2014-09-14,53.68
2014-09-15,42.089999999999996
2014-09-16,44.53
2014-09-17,46.36
2014-09-18,45.75
2014-09-19,51.24
2014-09-20,54.9
2014-09-21,56.73
2014-09-22,45.75
2014-09-23,46.97
2014-09-24,46.36
2014-09-25,45.14
2014-09-26,43.31
2014-09-27,53.07
2014-09-28,61.0
2014-09-29,42.699999999999996
2014-09-30,42.699999999999996
2014-10-01,49.77
2014-10-02,45.99
2014-10-03,51.03
2014-10-04,54.18
2014-10-05,56.07
2014-10-06,47.25
2014-10-07,46.62
2014-10-08,45.99
2014-10-09,47.88
2014-10-10,47.88
2014-10-11,55.44
2014-10-12,63.0
2014-10-13,49.14
2014-10-14,45.36
2014-10-15,44.73
2014-10-16,44.73
2014-10-17,47.25
2014-10-18,54.81
2014-10-19,61.11
2014-10-20,47.25
2014-10-21,44.73
2014-10-22,43.47
2014-10-23,45.99
2014-10-24,49.14
2014-10-25,61.11
2014-10-26,56.7
2014-10-27,47.25
2014-10-28,47.25
2014-10-29,44.73
2014-10-30,49.77
2014-10-31,49.14
2014-11-01,47.6
2014-11-02,47.6
2014-11-03,37.400000000000006
2014-11-04,40.120000000000005
2014-11-05,38.760000000000005
2014-11-06,38.080000000000005
2014-11-07,37.400000000000006
2014-11-08,47.6
2014-11-09,48.28
2014-11-10,42.160000000000004
2014-11-11,39.440000000000005
2014-11-12,39.440000000000005
2014-11-13,38.080000000000005
2014-11-14,38.760000000000005
2014-11-15,46.24
2014-11-16,48.28
2014-11-17,41.480000000000004
2014-11-18,38.080000000000005
2014-11-19,38.760000000000005
2014-11-20,40.120000000000005
2014-11-21,40.800000000000004
2014-11-22,45.56
2014-11-23,48.28
2014-11-24,44.2
2014-11-25,42.160000000000004
2014-11-26,44.88
2014-11-27,57.800000000000004
2014-11-28,68.0
2014-11-29,59.160000000000004
2014-11-30,53.720000000000006
2014-12-01,54.510000000000005
2014-12-02,50.56
2014-12-03,49.77
2014-12-04,51.35
2014-12-05,51.35
2014-12-06,58.46
2014-12-07,59.25
2014-12-08,50.56
2014-12-09,52.93
2014-12-10,53.72
2014-12-11,47.400000000000006
2014-12-12,52.14
2014-12-13,61.620000000000005
2014-12-14,69.52000000000001
2014-12-15,48.980000000000004
2014-12-16,51.35
2014-12-17,53.72
2014-12-18,52.93
2014-12-19,53.72
2014-12-20,67.15
2014-12-21,63.2
2014-12-22,56.09
2014-12-23,56.88
2014-12-24,65.57000000000001
2014-12-25,79.0
2014-12-26,78.21000000000001
2014-12-27,71.89
2014-12-28,65.57000000000001
2014-12-29,60.040000000000006
2014-12-30,56.88
2014-12-31,67.15
2015-01-01,65.86
2015-01-02,63.64
2015-01-03,68.08
2015-01-04,67.34
2015-01-05,58.46
2015-01-06,53.28
2015-01-07,55.5
2015-01-08,53.28
2015-01-09,65.12
2015-01-10,65.86
2015-01-11,71.03999999999999
2015-01-12,53.28
2015-01-13,51.06
2015-01-14,53.28
2015-01-15,54.76
2015-01-16,56.24
2015-01-17,65.12
2015-01-18,68.82
2015-01-19,62.16
2015-01-20,57.72
2015-01-21,55.5
2015-01-22,59.94
2015-01-23,57.72
2015-01-24,71.78
2015-01-25,74.0
2015-01-26,54.019999999999996
2015-01-27,57.72
2015-01-28,56.24
2015-01-29,54.76
2015-01-30,58.46
2015-01-31,63.64
2015-02-01,73.0
2015-02-02,49.64
2015-02-03,54.019999999999996
2015-02-04,50.37
2015-02-05,50.37
2015-02-06,54.75
2015-02-07,60.589999999999996
2015-02-08,70.81
2015-02-09,52.56
2015-02-10,54.019999999999996
2015-02-11,49.64
2015-02-12,51.83
2015-02-13,54.75
2015-02-14,71.53999999999999
2015-02-15,70.08
2015-02-16,59.129999999999995
2015-02-17,54.75
2015-02-18,56.94
2015-02-19,51.1
2015-02-20,54.019999999999996
2015-02-21,72.27
2015-02-22,64.24
2015-02-23,52.56
2015-02-24,53.29
2015-02-25,54.019999999999996
2015-02-26,54.75
2015-02-27,53.29
2015-02-28,64.97
2015-03-01,70.68
2015-03-02,57.0
2015-03-03,54.72
2015-03-04,61.56
2015-03-05,63.08
2015-03-06,60.04
2015-03-07,76.0
2015-03-08,75.24
2015-03-09,62.32
2015-03-10,64.6
2015-03-11,56.24
2015-03-12,51.68
2015-03-13,65.36
2015-03-14,73.72
2015-03-15,71.44
2015-03-16,61.56
2015-03-17,61.56
2015-03-18,60.04
2015-03-19,62.32
2015-03-20,57.0
2015-03-21,69.92
2015-03-22,69.92
2015-03-23,58.52
2015-03-24,55.480000000000004
2015-03-25,63.08
2015-03-26,57.76
2015-03-27,60.04
2015-03-28,73.72
2015-03-29,72.2
2015-03-30,53.96
2015-03-31,57.0
2015-04-01,49.64
2015-04-02,56.21
2015-04-03,60.589999999999996
2015-04-04,73.0
2015-04-05,68.62
2015-04-06,58.4
2015-04-07,52.56
2015-04-08,52.56
2015-04-09,54.75
2015-04-10,59.129999999999995
2015-04-11,66.42999999999999
2015-04-12,69.35
2015-04-13,54.75
2015-04-14,52.56
2015-04-15,51.1
2015-04-16,52.56
2015-04-17,56.21
2015-04-18,68.62
2015-04-19,67.89
2015-04-20,54.75
2015-04-21,48.91
2015-04-22,52.56
2015-04-23,53.29
2015-04-24,54.019999999999996
2015-04-25,60.589999999999996
2015-04-26,71.53999999999999
2015-04-27,48.91
2015-04-28,64.97
2015-04-29,51.1
2015-04-30,49.64
2015-05-01,54.76
2015-05-02,66.6
2015-05-03,68.08
2015-05-04,54.76
2015-05-05,52.54
2015-05-06,54.76
2015-05-07,53.28
2015-05-08,56.98
2015-05-09,67.34
2015-05-10,74.0
2015-05-11,54.76
2015-05-12,55.5
2015-05-13,51.06
2015-05-14,54.019999999999996
2015-05-15,56.98
2015-05-16,67.34
2015-05-17,68.08
2015-05-18,54.019999999999996
2015-05-19,51.8
2015-05-20,54.019999999999996
2015-05-21,57.72
2015-05-22,59.94
2015-05-23,68.82
2015-05-24,70.3
2015-05-25,65.12
2015-05-26,57.72
2015-05-27,56.24
2015-05-28,61.42
2015-05-29,56.98
2015-05-30,68.08
2015-05-31,72.52
2015-06-01,55.44
2015-06-02,65.45
2015-06-03,53.9
2015-06-04,59.29
2015-06-05,62.370000000000005
2015-06-06,67.76
2015-06-07,66.99
2015-06-08,56.21
2015-06-09,60.83
2015-06-10,58.52
2015-06-11,62.370000000000005
2015-06-12,55.44
2015-06-13,77.0
2015-06-14,70.84
2015-06-15,57.75
2015-06-16,59.29
2015-06-17,59.29
2015-06-18,64.68
2015-06-19,60.06
2015-06-20,74.69
2015-06-21,72.38
2015-06-22,63.910000000000004
2015-06-23,66.22
2015-06-24,57.75
2015-06-25,53.13
2015-06-26,51.59
2015-06-27,56.980000000000004
2015-06-28,60.83
2015-06-29,50.050000000000004
2015-06-30,48.51
2015-07-01,50.92
2015-07-02,50.25
2015-07-03,57.620000000000005
2015-07-04,59.63
2015-07-05,62.31
2015-07-06,48.24
2015-07-07,49.580000000000005
2015-07-08,49.580000000000005
2015-07-09,54.940000000000005
2015-07-10,54.940000000000005
2015-07-11,58.96
2015-07-12,53.6
2015-07-13,49.580000000000005
2015-07-14,47.57
2015-07-15,59.63
2015-07-16,51.59
2015-07-17,50.92
2015-07-18,62.980000000000004
2015-07-19,67.0
2015-07-20,52.260000000000005
2015-07-21,50.25
2015-07-22,49.580000000000005
2015-07-23,48.24
2015-07-24,52.93
2015-07-25,62.980000000000004
2015-07-26,65.66000000000001
2015-07-27,49.580000000000005
2015-07-28,55.61000000000001
2015-07-29,53.6
2015-07-30,51.59
2015-07-31,52.260000000000005
2015-08-01,76.23
2015-08-02,68.53
2015-08-03,67.76
2015-08-04,60.83
2015-08-05,64.68
2015-08-06,57.75
2015-08-07,63.910000000000004
2015-08-08,72.38
2015-08-09,73.15
2015-08-10,60.83
2015-08-11,68.53
2015-08-12,60.83
2015-08-13,63.910000000000004
2015-08-14,65.45
2015-08-15,72.38
2015-08-16,69.3
2015-08-17,62.370000000000005
2015-08-18,63.14
2015-08-19,60.83
2015-08-20,60.06
2015-08-21,60.83
2015-08-22,75.46000000000001
2015-08-23,76.23
2015-08-24,64.68
2015-08-25,57.75
2015-08-26,57.75
2015-08-27,57.75
2015-08-28,60.83
2015-08-29,70.84
2015-08-30,77.0
2015-08-31,64.68
2015-09-01,48.84
2015-09-02,50.82
2015-09-03,52.14
2015-09-04,53.46
2015-09-05,64.02
2015-09-06,64.68
2015-09-07,64.02
2015-09-08,55.440000000000005
2015-09-09,51.480000000000004
2015-09-10,54.78
2015-09-11,50.82
2015-09-12,62.040000000000006
2015-09-13,64.02
2015-09-14,44.88
2015-09-15,48.18
2015-09-16,48.84
2015-09-17,50.82
2015-09-18,56.760000000000005
2015-09-19,60.06
2015-09-20,66.0
2015-09-21,52.14
2015-09-22,50.160000000000004
2015-09-23,49.5
2015-09-24,54.78
2015-09-25,50.160000000000004
2015-09-26,62.040000000000006
2015-09-27,62.040000000000006
2015-09-28,50.160000000000004
2015-09-29,50.160000000000004
2015-09-30,50.160000000000004
2015-10-01,41.580000000000005
2015-10-02,42.9
2015-10-03,53.46
2015-10-04,50.82
2015-10-05,39.6
2015-10-06,43.56
2015-10-07,42.9
2015-10-08,43.56
2015-10-09,47.52
2015-10-10,50.160000000000004
2015-10-11,54.78
2015-10-12,45.54
2015-10-13,41.580000000000005
2015-10-14,42.24
2015-10-15,44.22
2015-10-16,46.2
2015-10-17,62.7
2015-10-18,58.080000000000005
2015-10-19,43.56
2015-10-20,50.160000000000004
2015-10-21,44.88
2015-10-22,49.5
2015-10-23,46.2
2015-10-24,56.760000000000005
2015-10-25,61.38
2015-10-26,46.86
2015-10-27,46.2
2015-10-28,46.86
2015-10-29,50.160000000000004
2015-10-30,50.82
2015-10-31,66.0
2015-11-01,68.08
2015-11-02,50.6
2015-11-03,51.52
2015-11-04,49.68
2015-11-05,53.36
2015-11-06,53.36
2015-11-07,62.56
2015-11-08,72.68
2015-11-09,53.36
2015-11-10,53.36
2015-11-11,59.800000000000004
2015-11-12,57.96
2015-11-13,63.480000000000004
2015-11-14,72.68
2015-11-15,69.0
2015-11-16,62.56
2015-11-17,57.96
2015-11-18,62.56
2015-11-19,66.24000000000001
2015-11-20,69.0
2015-11-21,89.24000000000001
2015-11-22,90.16000000000001
2015-11-23,69.92
2015-11-24,67.16
2015-11-25,69.92
2015-11-26,88.32000000000001
2015-11-27,92.0
2015-11-28,91.08
2015-11-29,88.32000000000001
2015-11-30,75.44
2015-12-01,74.0
2015-12-02,69.0
2015-12-03,70.0
2015-12-04,75.0
2015-12-05,87.0
2015-12-06,100.0
2015-12-07,70.0
2015-12-08,72.0
2015-12-09,72.0
2015-12-10,78.0
2015-12-11,76.0
2015-12-12,88.0
2015-12-13,93.0
2015-12-14,74.0
2015-12-15,73.0
2015-12-16,74.0
2015-12-17,70.0
2015-12-18,68.0
2015-12-19,90.0
2015-12-20,83.0
2015-12-21,80.0
2015-12-22,77.0
2015-12-23,81.0
2015-12-24,94.0
2015-12-25,100.0
2015-12-26,97.0
2015-12-27,90.0
2015-12-28,80.0
2015-12-29,82.0
2015-12-30,89.0
2015-12-31,78.0
2016-01-01,68.0
2016-01-02,61.88
2016-01-03,61.88
2016-01-04,54.400000000000006
2016-01-05,54.400000000000006
2016-01-06,49.64
2016-01-07,50.32
2016-01-08,48.28
2016-01-09,63.24
2016-01-10,61.2
2016-01-11,50.32
2016-01-12,53.720000000000006
2016-01-13,49.64
2016-01-14,48.28
2016-01-15,51.00000000000001
2016-01-16,63.24
2016-01-17,59.160000000000004
2016-01-18,56.440000000000005
2016-01-19,53.040000000000006
2016-01-20,50.32
2016-01-21,51.68000000000001
2016-01-22,48.96
2016-01-23,62.56
2016-01-24,61.2
2016-01-25,48.28
2016-01-26,53.040000000000006
2016-01-27,49.64
2016-01-28,46.24
2016-01-29,51.68000000000001
2016-01-30,59.84
2016-01-31,58.480000000000004
2016-02-01,45.1
2016-02-02,47.300000000000004
2016-02-03,43.45
2016-02-04,48.400000000000006
2016-02-05,44.550000000000004
2016-02-06,55.00000000000001
2016-02-07,52.25000000000001
2016-02-08,41.25
2016-02-09,39.050000000000004
2016-02-10,42.900000000000006
2016-02-11,44.550000000000004
2016-02-12,47.300000000000004
2016-02-13,52.800000000000004
2016-02-14,52.800000000000004
2016-02-15,51.150000000000006
2016-02-16,44.0
2016-02-17,44.550000000000004
2016-02-18,45.650000000000006
2016-02-19,45.650000000000006
2016-02-20,53.35
2016-02-21,53.900000000000006
2016-02-22,44.0
2016-02-23,45.1
2016-02-24,46.75000000000001
2016-02-25,45.650000000000006
2016-02-26,47.300000000000004
2016-02-27,53.900000000000006
2016-02-28,53.900000000000006
2016-02-29,44.550000000000004
2016-03-01,49.8
2016-03-02,46.8
2016-03-03,43.199999999999996
2016-03-04,48.6
2016-03-05,58.199999999999996
2016-03-06,58.199999999999996
2016-03-07,48.0
2016-03-08,46.8
