date,CSCO
2014-05-16,32.76
2014-05-17,8.19
2014-05-18,3.7800000000000002
2014-05-19,21.42
2014-05-20,13.23
2014-05-21,16.38
2014-05-22,13.86
2014-05-23,13.23
2014-05-24,9.45
2014-05-25,0.0
2014-05-26,0.0
2014-05-27,20.16
2014-05-28,20.79
2014-05-29,15.75
2014-05-30,17.64
2014-05-31,4.41
2014-06-01,8.74
2014-06-02,30.360000000000003
2014-06-03,29.900000000000002
2014-06-04,29.900000000000002
2014-06-05,23.46
2014-06-06,27.14
2014-06-07,13.8
2014-06-08,5.5200000000000005
2014-06-09,25.3
2014-06-10,46.0
2014-06-11,33.58
2014-06-12,30.360000000000003
2014-06-13,26.68
2014-06-14,18.86
2014-06-15,9.66
2014-06-16,28.52
2014-06-17,32.660000000000004
2014-06-18,24.380000000000003
2014-06-19,28.52
2014-06-20,20.240000000000002
2014-06-21,11.96
2014-06-22,0.0
2014-06-23,14.72
2014-06-24,23.0
2014-06-25,23.0
2014-06-26,15.64
2014-06-27,26.220000000000002
2014-06-28,9.66
2014-06-29,6.9
2014-06-30,27.14
2014-07-01,48.0
2014-07-02,41.76
2014-07-03,39.36
2014-07-04,6.24
2014-07-05,15.84
2014-07-06,6.72
2014-07-07,20.16
2014-07-08,14.879999999999999
2014-07-09,44.64
2014-07-10,36.0
2014-07-11,28.799999999999997
2014-07-12,0.0
2014-07-13,12.0
2014-07-14,15.84
2014-07-15,36.96
2014-07-16,41.76
2014-07-17,43.199999999999996
2014-07-18,36.0
2014-07-19,21.599999999999998
2014-07-20,12.959999999999999
2014-07-21,35.04
2014-07-22,37.92
2014-07-23,38.4
2014-07-24,34.08
2014-07-25,33.6
2014-07-26,19.2
2014-07-27,11.04
2014-07-28,27.84
2014-07-29,41.28
2014-07-30,25.439999999999998
2014-07-31,27.84
2014-08-01,13.5
2014-08-02,9.18
2014-08-03,0.0
2014-08-04,11.88
2014-08-05,11.88
2014-08-06,11.88
2014-08-07,19.44
2014-08-08,8.64
2014-08-09,11.34
2014-08-10,0.0
2014-08-11,17.82
2014-08-12,13.5
2014-08-13,54.0
2014-08-14,49.68000000000001
2014-08-15,17.28
2014-08-16,7.5600000000000005
2014-08-17,2.16
2014-08-18,18.900000000000002
2014-08-19,13.5
2014-08-20,18.900000000000002
2014-08-21,17.28
2014-08-22,10.8
2014-08-23,0.0
2014-08-24,2.16
2014-08-25,2.16
2014-08-26,9.72
2014-08-27,11.88
2014-08-28,12.96
2014-08-29,16.200000000000003
2014-08-30,0.0
2014-08-31,5.4
2014-09-01,0.0
2014-09-02,10.89
2014-09-03,19.8
2014-09-04,25.740000000000002
2014-09-05,16.5
2014-09-06,0.0
2014-09-07,3.6300000000000003
2014-09-08,16.17
2014-09-09,22.44
2014-09-10,24.09
2014-09-11,33.0
2014-09-12,15.510000000000002
2014-09-13,3.6300000000000003
2014-09-14,0.0
2014-09-15,11.22
2014-09-16,22.44
2014-09-17,20.790000000000003
2014-09-18,25.740000000000002
2014-09-19,17.16
2014-09-20,5.28
2014-09-21,0.0
2014-09-22,17.490000000000002
2014-09-23,27.720000000000002
2014-09-24,16.17
2014-09-25,29.37
2014-09-26,20.130000000000003
2014-09-27,8.58
2014-09-28,4.95
2014-09-29,12.540000000000001
