date,IBM
2014-05-14,78.11999999999999
2014-05-15,72.24
2014-05-16,70.56
2014-05-17,29.4
2014-05-18,31.919999999999998
2014-05-19,72.24
2014-05-20,83.16
2014-05-21,73.08
2014-05-22,70.56
2014-05-23,73.08
2014-05-24,30.24
2014-05-25,26.04
2014-05-26,33.6
2014-05-27,72.24
2014-05-28,82.32
2014-05-29,78.11999999999999
2014-05-30,66.36
2014-05-31,32.76
2014-06-01,28.44
2014-06-02,76.63000000000001
2014-06-03,78.21000000000001
2014-06-04,75.84
2014-06-05,71.10000000000001
2014-06-06,69.52000000000001
2014-06-07,28.44
2014-06-08,30.020000000000003
2014-06-09,79.0
2014-06-10,74.26
2014-06-11,75.84
2014-06-12,72.68
2014-06-13,74.26
2014-06-14,28.44
2014-06-15,30.020000000000003
2014-06-16,70.31
2014-06-17,75.84
2014-06-18,74.26
2014-06-19,68.73
2014-06-20,62.410000000000004
2014-06-21,30.020000000000003
2014-06-22,29.23
2014-06-23,65.57000000000001
2014-06-24,73.47
2014-06-25,75.84
2014-06-26,68.73
2014-06-27,64.78
2014-06-28,26.86
2014-06-29,29.23
2014-06-30,67.94
2014-07-01,44.59
2014-07-02,52.78
2014-07-03,47.32
2014-07-04,22.75
2014-07-05,14.56
2014-07-06,19.11
2014-07-07,48.230000000000004
2014-07-08,45.5
2014-07-09,50.96
2014-07-10,53.690000000000005
2014-07-11,45.5
2014-07-12,20.02
2014-07-13,19.11
2014-07-14,50.96
2014-07-15,65.52
2014-07-16,91.0
2014-07-17,79.17
2014-07-18,62.79
2014-07-19,28.21
2014-07-20,22.75
2014-07-21,55.510000000000005
2014-07-22,55.510000000000005
2014-07-23,60.06
2014-07-24,55.510000000000005
2014-07-25,48.230000000000004
2014-07-26,27.3
2014-07-27,21.84
2014-07-28,46.410000000000004
2014-07-29,48.230000000000004
2014-07-30,53.690000000000005
2014-07-31,52.78
2014-08-01,72.0
2014-08-02,27.0
2014-08-03,25.5
2014-08-04,66.75
2014-08-05,72.75
2014-08-06,74.25
2014-08-07,67.5
2014-08-08,72.0
2014-08-09,33.75
2014-08-10,28.5
2014-08-11,66.75
2014-08-12,68.25
2014-08-13,71.25
2014-08-14,65.25
2014-08-15,58.5
2014-08-16,27.75
