date,Walmart Stock Price
2014-03-21,7.52
2014-03-22,0.0
2014-03-23,1.92
2014-03-24,4.24
2014-03-25,4.48
2014-03-26,2.32
2014-03-27,5.68
2014-03-28,4.96
2014-03-29,3.76
2014-03-30,0.0
2014-03-31,1.44
2014-04-01,4.8
2014-04-02,3.44
2014-04-03,2.96
2014-04-04,0.0
2014-04-05,3.44
2014-04-06,2.32
2014-04-07,5.84
2014-04-08,0.0
2014-04-09,2.0
2014-04-10,5.04
2014-04-11,5.68
2014-04-12,0.0
2014-04-13,0.0
2014-04-14,4.8
2014-04-15,2.0
2014-04-16,4.08
2014-04-17,3.92
2014-04-18,3.76
2014-04-19,4.64
2014-04-20,0.0
2014-04-21,3.28
2014-04-22,1.52
2014-04-23,2.16
2014-04-24,8.0
2014-04-25,4.08
2014-04-26,3.04
2014-04-27,2.56
2014-04-28,2.24
2014-04-29,3.2
2014-04-30,5.92
2014-05-01,1.3
2014-05-02,3.4000000000000004
2014-05-03,1.3
2014-05-04,2.2
2014-05-05,3.8
2014-05-06,3.3000000000000003
2014-05-07,0.0
2014-05-08,3.3000000000000003
2014-05-09,4.1000000000000005
2014-05-10,2.9000000000000004
2014-05-11,0.0
2014-05-12,2.3000000000000003
2014-05-13,5.1000000000000005
2014-05-14,7.5
2014-05-15,10.0
2014-05-16,0.0
2014-05-17,6.9
2014-05-18,1.6
2014-05-19,5.800000000000001
2014-05-20,6.4
2014-05-21,4.9
2014-05-22,1.9
2014-05-23,0.0
2014-05-24,3.2
2014-05-25,0.0
2014-05-26,0.0
2014-05-27,1.3
2014-05-28,1.3
2014-05-29,3.8
2014-05-30,3.3000000000000003
2014-05-31,0.0
2014-06-01,4.08
2014-06-02,3.04
2014-06-03,3.36
2014-06-04,3.76
2014-06-05,3.92
2014-06-06,2.32
2014-06-07,2.56
2014-06-08,0.0
2014-06-09,4.08
2014-06-10,2.8000000000000003
2014-06-11,4.16
2014-06-12,2.64
2014-06-13,3.6
2014-06-14,0.0
2014-06-15,0.0
2014-06-16,1.28
2014-06-17,2.72
2014-06-18,1.44
2014-06-19,2.56
2014-06-20,3.44
2014-06-21,2.32
2014-06-22,0.0
2014-06-23,0.0
2014-06-24,1.68
2014-06-25,0.0
2014-06-26,0.0
2014-06-27,2.0
2014-06-28,0.0
2014-06-29,8.0
2014-06-30,5.04
2014-07-01,4.5600000000000005
2014-07-02,0.0
2014-07-03,5.12
2014-07-04,4.64
2014-07-05,3.04
2014-07-06,0.0
2014-07-07,3.76
2014-07-08,7.12
2014-07-09,1.76
2014-07-10,5.44
2014-07-11,4.32
2014-07-12,0.0
2014-07-13,0.0
2014-07-14,4.24
2014-07-15,3.84
2014-07-16,2.48
2014-07-17,4.5600000000000005
2014-07-18,5.44
2014-07-19,3.68
2014-07-20,2.16
2014-07-21,2.4
2014-07-22,8.0
2014-07-23,7.28
2014-07-24,6.5600000000000005
2014-07-25,5.76
2014-07-26,0.0
2014-07-27,5.2
2014-07-28,5.04
2014-07-29,2.08
2014-07-30,8.0
2014-07-31,1.52
2014-08-01,0.0
2014-08-02,3.87
2014-08-03,0.0
2014-08-04,1.89
2014-08-05,1.44
2014-08-06,2.7
2014-08-07,3.78
2014-08-08,5.94
2014-08-09,3.69
2014-08-10,0.0
2014-08-11,4.41
2014-08-12,5.49
2014-08-13,5.4
2014-08-14,6.39
2014-08-15,4.5
2014-08-16,0.0
2014-08-17,4.32
2014-08-18,3.78
2014-08-19,2.52
2014-08-20,7.47
2014-08-21,2.43
2014-08-22,9.0
2014-08-23,1.98
2014-08-24,2.7
2014-08-25,6.48
2014-08-26,5.94
2014-08-27,4.14
2014-08-28,1.71
2014-08-29,3.33
2014-08-30,4.32
2014-08-31,2.43
2014-09-01,0.0
2014-09-02,1.76
2014-09-03,4.08
2014-09-04,8.0
2014-09-05,0.0
2014-09-06,0.0
2014-09-07,2.72
2014-09-08,3.04
2014-09-09,6.0
2014-09-10,1.84
2014-09-11,4.96
2014-09-12,2.32
2014-09-13,4.88
2014-09-14,0.0
2014-09-15,1.76
2014-09-16,3.36
2014-09-17,1.6
2014-09-18,3.84
2014-09-19,2.56
2014-09-20,5.36
2014-09-21,0.0
2014-09-22,5.2
2014-09-23,4.0
2014-09-24,4.64
2014-09-25,5.76
2014-09-26,2.08
2014-09-27,2.32
2014-09-28,3.84
2014-09-29,2.64
2014-09-30,1.84
2014-10-01,1.44
2014-10-02,0.0
2014-10-03,3.6
2014-10-04,3.06
2014-10-05,1.89
2014-10-06,5.13
2014-10-07,3.51
2014-10-08,3.42
2014-10-09,4.23
2014-10-10,4.05
2014-10-11,0.0
2014-10-12,2.79
2014-10-13,0.0
2014-10-14,4.95
2014-10-15,4.32
2014-10-16,3.06
2014-10-17,5.76
2014-10-18,2.34
2014-10-19,0.0
2014-10-20,3.51
2014-10-21,3.33
2014-10-22,4.14
2014-10-23,5.4
2014-10-24,3.87
2014-10-25,2.07
2014-10-26,0.0
2014-10-27,5.13
2014-10-28,9.0
2014-10-29,6.48
2014-10-30,3.96
2014-10-31,4.5
2014-11-01,3.12
2014-11-02,3.12
2014-11-03,8.06
2014-11-04,3.38
2014-11-05,2.21
2014-11-06,4.94
2014-11-07,5.2
2014-11-08,2.73
2014-11-09,2.73
2014-11-10,8.71
2014-11-11,13.0
2014-11-12,4.94
2014-11-13,11.31
2014-11-14,7.15
2014-11-15,3.9
2014-11-16,3.64
2014-11-17,3.38
2014-11-18,9.75
2014-11-19,6.76
2014-11-20,8.58
2014-11-21,8.84
2014-11-22,4.68
2014-11-23,3.25
2014-11-24,6.890000000000001
2014-11-25,5.98
2014-11-26,5.59
2014-11-27,5.07
2014-11-28,4.16
2014-11-29,5.98
2014-11-30,0.0
2014-12-01,7.000000000000001
2014-12-02,14.000000000000002
2014-12-03,6.86
2014-12-04,7.56
2014-12-05,5.6000000000000005
2014-12-06,9.66
2014-12-07,1.6800000000000002
2014-12-08,8.680000000000001
2014-12-09,1.96
2014-12-10,6.300000000000001
2014-12-11,6.86
2014-12-12,4.62
2014-12-13,6.580000000000001
2014-12-14,4.9
2014-12-15,6.44
2014-12-16,7.000000000000001
2014-12-17,4.0600000000000005
2014-12-18,9.1
2014-12-19,8.680000000000001
2014-12-20,6.580000000000001
2014-12-21,3.3600000000000003
2014-12-22,5.040000000000001
2014-12-23,4.62
2014-12-24,9.94
2014-12-25,4.48
2014-12-26,7.840000000000001
2014-12-27,2.24
2014-12-28,0.0
2014-12-29,4.62
2014-12-30,5.32
2014-12-31,7.56
2015-01-01,5.46
2015-01-02,0.0
2015-01-03,3.38
2015-01-04,5.07
2015-01-05,3.77
2015-01-06,10.66
2015-01-07,7.15
2015-01-08,9.62
2015-01-09,10.53
2015-01-10,5.46
2015-01-11,0.0
2015-01-12,10.92
2015-01-13,11.57
2015-01-14,11.96
2015-01-15,10.14
2015-01-16,13.0
2015-01-17,6.63
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,6.5
2015-01-21,9.36
2015-01-22,8.97
2015-01-23,6.5
2015-01-24,9.23
2015-01-25,5.8500000000000005
2015-01-26,11.31
2015-01-27,12.87
2015-01-28,10.27
2015-01-29,10.14
2015-01-30,5.8500000000000005
2015-01-31,2.21
2015-02-01,3.48
2015-02-02,0.0
2015-02-03,6.0
2015-02-04,5.4
2015-02-05,6.72
2015-02-06,4.56
2015-02-07,3.0
2015-02-08,0.0
2015-02-09,4.56
2015-02-10,5.04
2015-02-11,4.8
2015-02-12,3.24
2015-02-13,12.0
2015-02-14,1.44
2015-02-15,1.92
2015-02-16,3.12
2015-02-17,4.56
2015-02-18,4.56
2015-02-19,8.28
2015-02-20,4.8
2015-02-21,5.04
2015-02-22,3.36
2015-02-23,6.72
2015-02-24,4.32
2015-02-25,4.44
2015-02-26,8.16
2015-02-27,4.92
2015-02-28,1.2
2015-03-01,1.87
2015-03-02,5.83
2015-03-03,6.16
2015-03-04,6.16
2015-03-05,4.84
2015-03-06,5.5
2015-03-07,2.42
2015-03-08,2.2
2015-03-09,5.94
2015-03-10,6.49
2015-03-11,2.86
2015-03-12,7.04
2015-03-13,9.79
2015-03-14,3.63
2015-03-15,0.0
2015-03-16,4.95
2015-03-17,7.15
2015-03-18,7.37
2015-03-19,7.04
2015-03-20,6.05
2015-03-21,6.49
2015-03-22,3.08
2015-03-23,11.0
2015-03-24,7.59
2015-03-25,4.73
2015-03-26,3.52
2015-03-27,3.85
2015-03-28,7.48
2015-03-29,0.0
2015-03-30,4.07
2015-03-31,1.65
2015-04-01,7.54
2015-04-02,0.0
2015-04-03,11.05
2015-04-04,0.0
2015-04-05,0.0
2015-04-06,0.0
2015-04-07,10.01
2015-04-08,8.84
2015-04-09,7.67
2015-04-10,8.97
2015-04-11,8.58
2015-04-12,6.24
2015-04-13,4.8100000000000005
2015-04-14,13.0
2015-04-15,5.2
2015-04-16,5.2
2015-04-17,11.31
2015-04-18,0.0
2015-04-19,7.67
2015-04-20,6.76
2015-04-21,8.32
2015-04-22,12.09
2015-04-23,6.76
2015-04-24,11.05
2015-04-25,0.0
2015-04-26,5.98
2015-04-27,10.14
2015-04-28,8.58
2015-04-29,8.06
2015-04-30,5.98
2015-05-01,6.63
2015-05-02,2.73
2015-05-03,4.8100000000000005
2015-05-04,6.890000000000001
2015-05-05,8.71
2015-05-06,9.49
2015-05-07,3.9
2015-05-08,7.0200000000000005
2015-05-09,6.63
2015-05-10,4.8100000000000005
2015-05-11,8.06
2015-05-12,5.07
2015-05-13,6.11
2015-05-14,2.8600000000000003
2015-05-15,11.96
2015-05-16,4.8100000000000005
2015-05-17,0.0
2015-05-18,7.930000000000001
2015-05-19,5.07
2015-05-20,11.57
2015-05-21,13.0
2015-05-22,8.450000000000001
2015-05-23,4.68
2015-05-24,0.0
2015-05-25,2.21
2015-05-26,5.8500000000000005
2015-05-27,4.8100000000000005
2015-05-28,6.5
2015-05-29,10.4
2015-05-30,0.0
2015-05-31,2.99
2015-06-01,2.64
2015-06-02,11.0
2015-06-03,10.45
2015-06-04,5.94
2015-06-05,8.03
2015-06-06,4.51
2015-06-07,7.59
2015-06-08,4.95
2015-06-09,4.4
2015-06-10,6.2700000000000005
2015-06-11,9.02
