date,Intel Stock Price_unscaled,Intel Stock Price_monthly,scale,Intel Stock Price
2004-05-12,0,0.0,0.0,0.0
2004-05-13,0,0.0,0.0,0.0
2004-05-14,0,0.0,0.0,0.0
2004-05-15,0,0.0,0.0,0.0
2004-05-16,0,0.0,0.0,0.0
2004-05-17,39,0.0,0.0,0.0
2004-05-18,0,0.0,0.0,0.0
2004-05-19,27,0.0,0.0,0.0
2004-05-20,0,0.0,0.0,0.0
2004-05-21,0,0.0,0.0,0.0
2004-05-22,0,0.0,0.0,0.0
2004-05-23,0,0.0,0.0,0.0
2004-05-24,0,0.0,0.0,0.0
2004-05-25,0,0.0,0.0,0.0
2004-05-26,33,0.0,0.0,0.0
2004-05-27,63,0.0,0.0,0.0
2004-05-28,0,0.0,0.0,0.0
2004-05-29,0,0.0,0.0,0.0
2004-05-30,60,0.0,0.0,0.0
2004-05-31,100,0.0,0.0,0.0
2004-06-01,0,0.0,0.0,0.0
2004-06-02,0,0.0,0.0,0.0
2004-06-03,0,0.0,0.0,0.0
2004-06-04,0,0.0,0.0,0.0
2004-06-05,0,0.0,0.0,0.0
2004-06-06,0,0.0,0.0,0.0
2004-06-07,68,0.0,0.0,0.0
2004-06-08,0,0.0,0.0,0.0
2004-06-09,0,0.0,0.0,0.0
2004-06-10,0,0.0,0.0,0.0
2004-06-11,80,0.0,0.0,0.0
2004-06-12,100,0.0,0.0,0.0
2004-06-13,0,0.0,0.0,0.0
2004-06-14,0,0.0,0.0,0.0
2004-06-15,0,0.0,0.0,0.0
2004-06-16,0,0.0,0.0,0.0
2004-06-17,0,0.0,0.0,0.0
2004-06-18,0,0.0,0.0,0.0
2004-06-19,0,0.0,0.0,0.0
2004-06-20,0,0.0,0.0,0.0
2004-06-21,0,0.0,0.0,0.0
2004-06-22,90,0.0,0.0,0.0
2004-06-23,0,0.0,0.0,0.0
2004-06-24,0,0.0,0.0,0.0
2004-06-25,0,0.0,0.0,0.0
2004-06-26,0,0.0,0.0,0.0
2004-06-27,0,0.0,0.0,0.0
2004-06-28,0,0.0,0.0,0.0
2004-06-29,0,0.0,0.0,0.0
2004-06-30,0,0.0,0.0,0.0
2004-07-01,0,0.0,0.0,0.0
2004-07-02,49,0.0,0.0,0.0
2004-07-03,0,0.0,0.0,0.0
2004-07-04,85,0.0,0.0,0.0
2004-07-05,0,0.0,0.0,0.0
2004-07-06,0,0.0,0.0,0.0
2004-07-07,0,0.0,0.0,0.0
2004-07-08,42,0.0,0.0,0.0
2004-07-09,0,0.0,0.0,0.0
2004-07-10,0,0.0,0.0,0.0
2004-07-11,0,0.0,0.0,0.0
2004-07-12,0,0.0,0.0,0.0
2004-07-13,0,0.0,0.0,0.0
2004-07-14,100,0.0,0.0,0.0
2004-07-15,0,0.0,0.0,0.0
2004-07-16,0,0.0,0.0,0.0
2004-07-17,0,0.0,0.0,0.0
2004-07-18,0,0.0,0.0,0.0
2004-07-19,0,0.0,0.0,0.0
2004-07-20,0,0.0,0.0,0.0
2004-07-21,0,0.0,0.0,0.0
2004-07-22,0,0.0,0.0,0.0
2004-07-23,0,0.0,0.0,0.0
2004-07-24,24,0.0,0.0,0.0
2004-07-25,0,0.0,0.0,0.0
2004-07-26,0,0.0,0.0,0.0
2004-07-27,0,0.0,0.0,0.0
2004-07-28,0,0.0,0.0,0.0
2004-07-29,0,0.0,0.0,0.0
2004-07-30,0,0.0,0.0,0.0
2004-07-31,0,0.0,0.0,0.0
2004-08-01,0,0.0,0.0,0.0
2004-08-02,0,0.0,0.0,0.0
2004-08-03,0,0.0,0.0,0.0
2004-08-04,0,0.0,0.0,0.0
2004-08-05,0,0.0,0.0,0.0
2004-08-06,0,0.0,0.0,0.0
2004-08-07,0,0.0,0.0,0.0
2004-08-08,100,0.0,0.0,0.0
2004-08-09,19,0.0,0.0,0.0
2004-08-10,0,0.0,0.0,0.0
2004-08-11,0,0.0,0.0,0.0
2004-08-12,0,0.0,0.0,0.0
2004-08-13,18,0.0,0.0,0.0
2004-08-14,0,0.0,0.0,0.0
2004-08-15,0,0.0,0.0,0.0
2004-08-16,0,0.0,0.0,0.0
2004-08-17,0,0.0,0.0,0.0
2004-08-18,0,0.0,0.0,0.0
2004-08-19,0,0.0,0.0,0.0
2004-08-20,0,0.0,0.0,0.0
2004-08-21,0,0.0,0.0,0.0
2004-08-22,32,0.0,0.0,0.0
2004-08-23,32,0.0,0.0,0.0
2004-08-24,0,0.0,0.0,0.0
2004-08-25,31,0.0,0.0,0.0
2004-08-26,0,0.0,0.0,0.0
2004-08-27,27,0.0,0.0,0.0
2004-08-28,0,0.0,0.0,0.0
2004-08-29,0,0.0,0.0,0.0
2004-08-30,0,0.0,0.0,0.0
2004-08-31,0,0.0,0.0,0.0
2004-09-01,0,9.0,0.09,0.0
2004-09-02,35,9.0,0.09,3.15
2004-09-03,0,9.0,0.09,0.0
2004-09-04,100,9.0,0.09,9.0
2004-09-05,0,9.0,0.09,0.0
2004-09-06,0,9.0,0.09,0.0
2004-09-07,31,9.0,0.09,2.79
2004-09-08,0,9.0,0.09,0.0
2004-09-09,39,9.0,0.09,3.51
2004-09-10,0,9.0,0.09,0.0
2004-09-11,0,9.0,0.09,0.0
2004-09-12,0,9.0,0.09,0.0
2004-09-13,0,9.0,0.09,0.0
2004-09-14,0,9.0,0.09,0.0
2004-09-15,30,9.0,0.09,2.6999999999999997
2004-09-16,0,9.0,0.09,0.0
2004-09-17,0,9.0,0.09,0.0
2004-09-18,0,9.0,0.09,0.0
2004-09-19,0,9.0,0.09,0.0
2004-09-20,0,9.0,0.09,0.0
2004-09-21,0,9.0,0.09,0.0
2004-09-22,0,9.0,0.09,0.0
2004-09-23,0,9.0,0.09,0.0
2004-09-24,0,9.0,0.09,0.0
2004-09-25,0,9.0,0.09,0.0
2004-09-26,0,9.0,0.09,0.0
2004-09-27,0,9.0,0.09,0.0
2004-09-28,0,9.0,0.09,0.0
2004-09-29,0,9.0,0.09,0.0
2004-09-30,0,9.0,0.09,0.0
2004-10-01,0,8.0,0.08,0.0
2004-10-02,0,8.0,0.08,0.0
2004-10-03,0,8.0,0.08,0.0
2004-10-04,0,8.0,0.08,0.0
2004-10-05,0,8.0,0.08,0.0
2004-10-06,0,8.0,0.08,0.0
2004-10-07,0,8.0,0.08,0.0
2004-10-08,0,8.0,0.08,0.0
2004-10-09,0,8.0,0.08,0.0
2004-10-10,59,8.0,0.08,4.72
2004-10-11,57,8.0,0.08,4.5600000000000005
2004-10-12,0,8.0,0.08,0.0
2004-10-13,76,8.0,0.08,6.08
2004-10-14,0,8.0,0.08,0.0
2004-10-15,0,8.0,0.08,0.0
2004-10-16,0,8.0,0.08,0.0
2004-10-17,0,8.0,0.08,0.0
2004-10-18,60,8.0,0.08,4.8
2004-10-19,0,8.0,0.08,0.0
2004-10-20,0,8.0,0.08,0.0
2004-10-21,0,8.0,0.08,0.0
2004-10-22,0,8.0,0.08,0.0
2004-10-23,0,8.0,0.08,0.0
2004-10-24,0,8.0,0.08,0.0
2004-10-25,0,8.0,0.08,0.0
2004-10-26,0,8.0,0.08,0.0
2004-10-27,0,8.0,0.08,0.0
2004-10-28,0,8.0,0.08,0.0
2004-10-29,100,8.0,0.08,8.0
2004-10-30,0,8.0,0.08,0.0
2004-10-31,0,8.0,0.08,0.0
2004-11-01,0,6.0,0.06,0.0
2004-11-02,0,6.0,0.06,0.0
2004-11-03,0,6.0,0.06,0.0
2004-11-04,0,6.0,0.06,0.0
2004-11-05,0,6.0,0.06,0.0
2004-11-06,0,6.0,0.06,0.0
2004-11-07,74,6.0,0.06,4.4399999999999995
2004-11-08,100,6.0,0.06,6.0
2004-11-09,0,6.0,0.06,0.0
2004-11-10,0,6.0,0.06,0.0
2004-11-11,19,6.0,0.06,1.14
2004-11-12,27,6.0,0.06,1.6199999999999999
2004-11-13,0,6.0,0.06,0.0
2004-11-14,0,6.0,0.06,0.0
2004-11-15,0,6.0,0.06,0.0
2004-11-16,30,6.0,0.06,1.7999999999999998
2004-11-17,0,6.0,0.06,0.0
2004-11-18,0,6.0,0.06,0.0
2004-11-19,0,6.0,0.06,0.0
2004-11-20,0,6.0,0.06,0.0
2004-11-21,27,6.0,0.06,1.6199999999999999
2004-11-22,0,6.0,0.06,0.0
2004-11-23,0,6.0,0.06,0.0
2004-11-24,19,6.0,0.06,1.14
2004-11-25,0,6.0,0.06,0.0
2004-11-26,0,6.0,0.06,0.0
2004-11-27,0,6.0,0.06,0.0
2004-11-28,36,6.0,0.06,2.16
2004-11-29,0,6.0,0.06,0.0
2004-11-30,0,6.0,0.06,0.0
2004-12-01,0,18.0,0.18,0.0
2004-12-02,0,18.0,0.18,0.0
2004-12-03,0,18.0,0.18,0.0
2004-12-04,0,18.0,0.18,0.0
2004-12-05,0,18.0,0.18,0.0
2004-12-06,0,18.0,0.18,0.0
2004-12-07,51,18.0,0.18,9.18
2004-12-08,15,18.0,0.18,2.6999999999999997
2004-12-09,19,18.0,0.18,3.42
2004-12-10,0,18.0,0.18,0.0
2004-12-11,43,18.0,0.18,7.739999999999999
2004-12-12,0,18.0,0.18,0.0
2004-12-13,0,18.0,0.18,0.0
2004-12-14,0,18.0,0.18,0.0
2004-12-15,14,18.0,0.18,2.52
2004-12-16,0,18.0,0.18,0.0
2004-12-17,0,18.0,0.18,0.0
2004-12-18,0,18.0,0.18,0.0
2004-12-19,0,18.0,0.18,0.0
2004-12-20,0,18.0,0.18,0.0
2004-12-21,16,18.0,0.18,2.88
2004-12-22,0,18.0,0.18,0.0
2004-12-23,0,18.0,0.18,0.0
2004-12-24,0,18.0,0.18,0.0
2004-12-25,100,18.0,0.18,18.0
2004-12-26,0,18.0,0.18,0.0
2004-12-27,0,18.0,0.18,0.0
2004-12-28,38,18.0,0.18,6.84
2004-12-29,0,18.0,0.18,0.0
2004-12-30,0,18.0,0.18,0.0
2004-12-31,0,18.0,0.18,0.0
2005-01-01,100,12.0,0.12,12.0
2005-01-02,0,12.0,0.12,0.0
2005-01-03,0,12.0,0.12,0.0
2005-01-04,0,12.0,0.12,0.0
2005-01-05,0,12.0,0.12,0.0
2005-01-06,0,12.0,0.12,0.0
2005-01-07,0,12.0,0.12,0.0
2005-01-08,48,12.0,0.12,5.76
2005-01-09,0,12.0,0.12,0.0
2005-01-10,0,12.0,0.12,0.0
2005-01-11,45,12.0,0.12,5.3999999999999995
2005-01-12,0,12.0,0.12,0.0
2005-01-13,0,12.0,0.12,0.0
2005-01-14,0,12.0,0.12,0.0
2005-01-15,0,12.0,0.12,0.0
2005-01-16,0,12.0,0.12,0.0
2005-01-17,0,12.0,0.12,0.0
2005-01-18,0,12.0,0.12,0.0
2005-01-19,26,12.0,0.12,3.12
2005-01-20,0,12.0,0.12,0.0
2005-01-21,0,12.0,0.12,0.0
2005-01-22,0,12.0,0.12,0.0
2005-01-23,0,12.0,0.12,0.0
2005-01-24,0,12.0,0.12,0.0
2005-01-25,0,12.0,0.12,0.0
2005-01-26,0,12.0,0.12,0.0
2005-01-27,0,12.0,0.12,0.0
2005-01-28,0,12.0,0.12,0.0
2005-01-29,0,12.0,0.12,0.0
2005-01-30,0,12.0,0.12,0.0
2005-01-31,43,12.0,0.12,5.16
2005-02-01,30,14.0,0.14,4.2
2005-02-02,0,14.0,0.14,0.0
2005-02-03,0,14.0,0.14,0.0
2005-02-04,17,14.0,0.14,2.3800000000000003
2005-02-05,0,14.0,0.14,0.0
2005-02-06,0,14.0,0.14,0.0
2005-02-07,0,14.0,0.14,0.0
2005-02-08,0,14.0,0.14,0.0
2005-02-09,0,14.0,0.14,0.0
2005-02-10,0,14.0,0.14,0.0
2005-02-11,0,14.0,0.14,0.0
2005-02-12,0,14.0,0.14,0.0
2005-02-13,0,14.0,0.14,0.0
2005-02-14,0,14.0,0.14,0.0
2005-02-15,0,14.0,0.14,0.0
2005-02-16,39,14.0,0.14,5.460000000000001
2005-02-17,0,14.0,0.14,0.0
2005-02-18,12,14.0,0.14,1.6800000000000002
2005-02-19,0,14.0,0.14,0.0
2005-02-20,0,14.0,0.14,0.0
2005-02-21,0,14.0,0.14,0.0
2005-02-22,0,14.0,0.14,0.0
2005-02-23,24,14.0,0.14,3.3600000000000003
2005-02-24,0,14.0,0.14,0.0
2005-02-25,0,14.0,0.14,0.0
2005-02-26,0,14.0,0.14,0.0
2005-02-27,100,14.0,0.14,14.000000000000002
2005-02-28,0,14.0,0.14,0.0
2005-03-01,0,0.0,0.0,0.0
2005-03-02,31,0.0,0.0,0.0
2005-03-03,0,0.0,0.0,0.0
2005-03-04,0,0.0,0.0,0.0
2005-03-05,41,0.0,0.0,0.0
2005-03-06,0,0.0,0.0,0.0
2005-03-07,0,0.0,0.0,0.0
2005-03-08,0,0.0,0.0,0.0
2005-03-09,0,0.0,0.0,0.0
2005-03-10,0,0.0,0.0,0.0
2005-03-11,0,0.0,0.0,0.0
2005-03-12,0,0.0,0.0,0.0
2005-03-13,0,0.0,0.0,0.0
2005-03-14,0,0.0,0.0,0.0
2005-03-15,35,0.0,0.0,0.0
2005-03-16,0,0.0,0.0,0.0
2005-03-17,0,0.0,0.0,0.0
2005-03-18,0,0.0,0.0,0.0
2005-03-19,0,0.0,0.0,0.0
2005-03-20,0,0.0,0.0,0.0
2005-03-21,0,0.0,0.0,0.0
2005-03-22,0,0.0,0.0,0.0
2005-03-23,0,0.0,0.0,0.0
2005-03-24,100,0.0,0.0,0.0
2005-03-25,0,0.0,0.0,0.0
2005-03-26,0,0.0,0.0,0.0
2005-03-27,0,0.0,0.0,0.0
2005-03-28,0,0.0,0.0,0.0
2005-03-29,0,0.0,0.0,0.0
2005-03-30,0,0.0,0.0,0.0
2005-03-31,0,0.0,0.0,0.0
2005-04-01,0,0.0,0.0,0.0
2005-04-02,0,0.0,0.0,0.0
2005-04-03,76,0.0,0.0,0.0
2005-04-04,0,0.0,0.0,0.0
2005-04-05,0,0.0,0.0,0.0
2005-04-06,0,0.0,0.0,0.0
2005-04-07,0,0.0,0.0,0.0
2005-04-08,0,0.0,0.0,0.0
2005-04-09,100,0.0,0.0,0.0
2005-04-10,0,0.0,0.0,0.0
2005-04-11,0,0.0,0.0,0.0
2005-04-12,0,0.0,0.0,0.0
2005-04-13,0,0.0,0.0,0.0
2005-04-14,0,0.0,0.0,0.0
2005-04-15,0,0.0,0.0,0.0
2005-04-16,0,0.0,0.0,0.0
2005-04-17,0,0.0,0.0,0.0
2005-04-18,0,0.0,0.0,0.0
2005-04-19,0,0.0,0.0,0.0
2005-04-20,59,0.0,0.0,0.0
2005-04-21,0,0.0,0.0,0.0
2005-04-22,0,0.0,0.0,0.0
2005-04-23,0,0.0,0.0,0.0
2005-04-24,0,0.0,0.0,0.0
2005-04-25,55,0.0,0.0,0.0
2005-04-26,0,0.0,0.0,0.0
2005-04-27,0,0.0,0.0,0.0
2005-04-28,0,0.0,0.0,0.0
2005-04-29,0,0.0,0.0,0.0
2005-04-30,0,0.0,0.0,0.0
2005-05-01,0,8.0,0.08,0.0
2005-05-02,0,8.0,0.08,0.0
2005-05-03,0,8.0,0.08,0.0
2005-05-04,0,8.0,0.08,0.0
2005-05-05,0,8.0,0.08,0.0
2005-05-06,0,8.0,0.08,0.0
2005-05-07,0,8.0,0.08,0.0
2005-05-08,0,8.0,0.08,0.0
2005-05-09,0,8.0,0.08,0.0
2005-05-10,0,8.0,0.08,0.0
2005-05-11,56,8.0,0.08,4.48
2005-05-12,0,8.0,0.08,0.0
2005-05-13,0,8.0,0.08,0.0
2005-05-14,100,8.0,0.08,8.0
2005-05-15,0,8.0,0.08,0.0
2005-05-16,0,8.0,0.08,0.0
2005-05-17,78,8.0,0.08,6.24
2005-05-18,0,8.0,0.08,0.0
2005-05-19,0,8.0,0.08,0.0
2005-05-20,0,8.0,0.08,0.0
2005-05-21,0,8.0,0.08,0.0
2005-05-22,88,8.0,0.08,7.04
2005-05-23,30,8.0,0.08,2.4
2005-05-24,0,8.0,0.08,0.0
2005-05-25,0,8.0,0.08,0.0
2005-05-26,0,8.0,0.08,0.0
2005-05-27,32,8.0,0.08,2.56
2005-05-28,77,8.0,0.08,6.16
2005-05-29,0,8.0,0.08,0.0
2005-05-30,0,8.0,0.08,0.0
2005-05-31,0,8.0,0.08,0.0
2005-06-01,0,5.0,0.05,0.0
2005-06-02,0,5.0,0.05,0.0
2005-06-03,0,5.0,0.05,0.0
2005-06-04,0,5.0,0.05,0.0
2005-06-05,0,5.0,0.05,0.0
2005-06-06,41,5.0,0.05,2.0500000000000003
2005-06-07,0,5.0,0.05,0.0
2005-06-08,0,5.0,0.05,0.0
2005-06-09,91,5.0,0.05,4.55
2005-06-10,0,5.0,0.05,0.0
2005-06-11,0,5.0,0.05,0.0
2005-06-12,0,5.0,0.05,0.0
2005-06-13,57,5.0,0.05,2.85
2005-06-14,0,5.0,0.05,0.0
2005-06-15,0,5.0,0.05,0.0
2005-06-16,0,5.0,0.05,0.0
2005-06-17,0,5.0,0.05,0.0
2005-06-18,0,5.0,0.05,0.0
2005-06-19,100,5.0,0.05,5.0
2005-06-20,0,5.0,0.05,0.0
2005-06-21,47,5.0,0.05,2.35
2005-06-22,0,5.0,0.05,0.0
2005-06-23,0,5.0,0.05,0.0
2005-06-24,45,5.0,0.05,2.25
2005-06-25,0,5.0,0.05,0.0
2005-06-26,0,5.0,0.05,0.0
2005-06-27,0,5.0,0.05,0.0
2005-06-28,0,5.0,0.05,0.0
2005-06-29,0,5.0,0.05,0.0
2005-06-30,48,5.0,0.05,2.4000000000000004
2005-07-01,0,9.0,0.09,0.0
2005-07-02,0,9.0,0.09,0.0
2005-07-03,0,9.0,0.09,0.0
2005-07-04,92,9.0,0.09,8.28
2005-07-05,91,9.0,0.09,8.19
2005-07-06,0,9.0,0.09,0.0
2005-07-07,27,9.0,0.09,2.4299999999999997
2005-07-08,0,9.0,0.09,0.0
2005-07-09,41,9.0,0.09,3.69
2005-07-10,0,9.0,0.09,0.0
2005-07-11,0,9.0,0.09,0.0
2005-07-12,35,9.0,0.09,3.15
2005-07-13,0,9.0,0.09,0.0
2005-07-14,0,9.0,0.09,0.0
2005-07-15,43,9.0,0.09,3.8699999999999997
2005-07-16,0,9.0,0.09,0.0
2005-07-17,100,9.0,0.09,9.0
2005-07-18,0,9.0,0.09,0.0
2005-07-19,0,9.0,0.09,0.0
2005-07-20,0,9.0,0.09,0.0
2005-07-21,0,9.0,0.09,0.0
2005-07-22,0,9.0,0.09,0.0
2005-07-23,0,9.0,0.09,0.0
2005-07-24,0,9.0,0.09,0.0
2005-07-25,34,9.0,0.09,3.06
2005-07-26,0,9.0,0.09,0.0
2005-07-27,0,9.0,0.09,0.0
2005-07-28,0,9.0,0.09,0.0
2005-07-29,0,9.0,0.09,0.0
2005-07-30,0,9.0,0.09,0.0
2005-07-31,0,9.0,0.09,0.0
2005-08-01,0,0.0,0.0,0.0
2005-08-02,33,0.0,0.0,0.0
2005-08-03,0,0.0,0.0,0.0
2005-08-04,0,0.0,0.0,0.0
2005-08-05,27,0.0,0.0,0.0
2005-08-06,0,0.0,0.0,0.0
2005-08-07,100,0.0,0.0,0.0
2005-08-08,23,0.0,0.0,0.0
2005-08-09,0,0.0,0.0,0.0
2005-08-10,0,0.0,0.0,0.0
2005-08-11,29,0.0,0.0,0.0
2005-08-12,0,0.0,0.0,0.0
2005-08-13,0,0.0,0.0,0.0
2005-08-14,0,0.0,0.0,0.0
2005-08-15,48,0.0,0.0,0.0
2005-08-16,0,0.0,0.0,0.0
2005-08-17,0,0.0,0.0,0.0
2005-08-18,0,0.0,0.0,0.0
2005-08-19,0,0.0,0.0,0.0
2005-08-20,0,0.0,0.0,0.0
2005-08-21,0,0.0,0.0,0.0
2005-08-22,31,0.0,0.0,0.0
2005-08-23,0,0.0,0.0,0.0
2005-08-24,0,0.0,0.0,0.0
2005-08-25,80,0.0,0.0,0.0
2005-08-26,55,0.0,0.0,0.0
2005-08-27,0,0.0,0.0,0.0
2005-08-28,0,0.0,0.0,0.0
2005-08-29,0,0.0,0.0,0.0
2005-08-30,92,0.0,0.0,0.0
2005-08-31,0,0.0,0.0,0.0
2005-09-01,81,4.0,0.04,3.24
2005-09-02,0,4.0,0.04,0.0
2005-09-03,0,4.0,0.04,0.0
2005-09-04,100,4.0,0.04,4.0
2005-09-05,0,4.0,0.04,0.0
2005-09-06,0,4.0,0.04,0.0
2005-09-07,0,4.0,0.04,0.0
2005-09-08,0,4.0,0.04,0.0
2005-09-09,0,4.0,0.04,0.0
2005-09-10,0,4.0,0.04,0.0
2005-09-11,0,4.0,0.04,0.0
2005-09-12,0,4.0,0.04,0.0
2005-09-13,50,4.0,0.04,2.0
2005-09-14,0,4.0,0.04,0.0
2005-09-15,0,4.0,0.04,0.0
2005-09-16,42,4.0,0.04,1.68
2005-09-17,0,4.0,0.04,0.0
2005-09-18,0,4.0,0.04,0.0
2005-09-19,0,4.0,0.04,0.0
2005-09-20,46,4.0,0.04,1.84
2005-09-21,0,4.0,0.04,0.0
2005-09-22,0,4.0,0.04,0.0
2005-09-23,0,4.0,0.04,0.0
2005-09-24,0,4.0,0.04,0.0
2005-09-25,0,4.0,0.04,0.0
2005-09-26,0,4.0,0.04,0.0
2005-09-27,0,4.0,0.04,0.0
2005-09-28,0,4.0,0.04,0.0
2005-09-29,77,4.0,0.04,3.08
2005-09-30,0,4.0,0.04,0.0
2005-10-01,0,5.0,0.05,0.0
2005-10-02,0,5.0,0.05,0.0
2005-10-03,0,5.0,0.05,0.0
2005-10-04,0,5.0,0.05,0.0
2005-10-05,0,5.0,0.05,0.0
2005-10-06,0,5.0,0.05,0.0
2005-10-07,31,5.0,0.05,1.55
2005-10-08,66,5.0,0.05,3.3000000000000003
2005-10-09,0,5.0,0.05,0.0
2005-10-10,0,5.0,0.05,0.0
2005-10-11,0,5.0,0.05,0.0
2005-10-12,0,5.0,0.05,0.0
2005-10-13,0,5.0,0.05,0.0
2005-10-14,0,5.0,0.05,0.0
2005-10-15,70,5.0,0.05,3.5
2005-10-16,0,5.0,0.05,0.0
2005-10-17,0,5.0,0.05,0.0
2005-10-18,0,5.0,0.05,0.0
2005-10-19,0,5.0,0.05,0.0
