date,Merck Stock Price
2014-07-18,0.0
2014-07-19,0.0
2014-07-20,0.0
2014-07-21,0.0
2014-07-22,0.0
2014-07-23,1.54
2014-07-24,0.0
2014-07-25,0.0
2014-07-26,5.17
2014-07-27,0.0
2014-07-28,0.0
2014-07-29,0.0
2014-07-30,11.0
2014-07-31,0.0
2014-08-01,0.0
2014-08-02,0.0
2014-08-03,0.0
2014-08-04,0.0
2014-08-05,8.03
2014-08-06,5.83
2014-08-07,0.0
2014-08-08,3.63
2014-08-09,8.25
2014-08-10,0.0
2014-08-11,0.0
2014-08-12,0.0
2014-08-13,5.83
2014-08-14,0.0
2014-08-15,0.0
2014-08-16,7.48
2014-08-17,0.0
2014-08-18,0.0
2014-08-19,4.29
2014-08-20,8.8
2014-08-21,0.0
2014-08-22,6.82
2014-08-23,4.29
2014-08-24,11.0
2014-08-25,4.07
2014-08-26,6.71
2014-08-27,5.83
2014-08-28,3.85
2014-08-29,4.29
2014-08-30,0.0
2014-08-31,0.0
2014-09-01,0.0
2014-09-02,0.0
2014-09-03,5.33
2014-09-04,12.74
2014-09-05,11.7
2014-09-06,5.8500000000000005
2014-09-07,0.0
2014-09-08,3.12
2014-09-09,0.0
2014-09-10,0.0
2014-09-11,3.77
2014-09-12,0.0
2014-09-13,5.59
2014-09-14,10.14
2014-09-15,5.46
2014-09-16,8.84
2014-09-17,2.8600000000000003
2014-09-18,0.0
2014-09-19,0.0
2014-09-20,0.0
2014-09-21,0.0
2014-09-22,3.12
2014-09-23,3.9
2014-09-24,13.0
2014-09-25,0.0
2014-09-26,9.88
2014-09-27,0.0
2014-09-28,0.0
2014-09-29,0.0
2014-09-30,0.0
2014-10-01,6.2700000000000005
2014-10-02,0.0
2014-10-03,7.15
2014-10-04,0.0
2014-10-05,0.0
2014-10-06,8.47
2014-10-07,10.89
2014-10-08,5.39
2014-10-09,0.0
2014-10-10,0.0
2014-10-11,0.0
2014-10-12,0.0
2014-10-13,11.0
2014-10-14,6.16
2014-10-15,0.0
2014-10-16,0.0
2014-10-17,0.0
2014-10-18,0.0
2014-10-19,0.0
2014-10-20,4.18
2014-10-21,0.0
2014-10-22,0.0
2014-10-23,4.95
2014-10-24,6.38
2014-10-25,0.0
2014-10-26,4.84
2014-10-27,0.0
2014-10-28,0.0
2014-10-29,0.0
2014-10-30,5.28
2014-10-31,5.39
2014-11-01,0.0
2014-11-02,4.56
2014-11-03,3.12
2014-11-04,4.32
2014-11-05,3.96
2014-11-06,0.0
2014-11-07,0.0
2014-11-08,6.12
2014-11-09,0.0
2014-11-10,4.56
2014-11-11,0.0
2014-11-12,2.64
2014-11-13,4.44
2014-11-14,4.92
2014-11-15,11.76
2014-11-16,0.0
2014-11-17,4.68
2014-11-18,4.44
2014-11-19,7.319999999999999
2014-11-20,0.0
2014-11-21,2.88
2014-11-22,0.0
2014-11-23,12.0
2014-11-24,0.0
2014-11-25,0.0
2014-11-26,0.0
2014-11-27,0.0
2014-11-28,0.0
2014-11-29,0.0
2014-11-30,7.199999999999999
2014-12-01,2.1
2014-12-02,4.35
2014-12-03,15.0
2014-12-04,0.0
2014-12-05,4.35
2014-12-06,0.0
2014-12-07,0.0
2014-12-08,7.05
2014-12-09,2.1
2014-12-10,0.0
