date,Verizon Stock Price
2014-04-27,0.0
2014-04-28,8.1
2014-04-29,6.12
2014-04-30,5.94
2014-05-01,6.0
2014-05-02,8.8
2014-05-03,0.0
2014-05-04,10.2
2014-05-05,10.4
2014-05-06,6.6000000000000005
2014-05-07,9.8
2014-05-08,3.8
2014-05-09,11.0
2014-05-10,0.0
2014-05-11,0.0
2014-05-12,9.6
2014-05-13,11.2
2014-05-14,5.2
2014-05-15,8.4
2014-05-16,19.6
2014-05-17,6.800000000000001
2014-05-18,5.2
2014-05-19,8.8
2014-05-20,10.0
2014-05-21,12.2
2014-05-22,8.8
2014-05-23,6.2
2014-05-24,6.4
2014-05-25,0.0
2014-05-26,8.4
2014-05-27,20.0
2014-05-28,16.0
2014-05-29,17.400000000000002
2014-05-30,8.8
2014-05-31,0.0
2014-06-01,11.2
2014-06-02,7.6
2014-06-03,13.4
2014-06-04,16.2
2014-06-05,15.0
2014-06-06,14.8
2014-06-07,14.8
2014-06-08,0.0
2014-06-09,15.6
2014-06-10,0.0
2014-06-11,9.8
2014-06-12,14.6
2014-06-13,12.4
2014-06-14,0.0
2014-06-15,8.200000000000001
2014-06-16,9.2
2014-06-17,5.6000000000000005
2014-06-18,16.2
2014-06-19,17.0
2014-06-20,16.0
2014-06-21,0.0
2014-06-22,9.4
2014-06-23,11.8
2014-06-24,10.8
2014-06-25,20.0
2014-06-26,12.0
2014-06-27,13.8
2014-06-28,7.6
2014-06-29,0.0
2014-06-30,0.0
2014-07-01,10.92
2014-07-02,0.0
2014-07-03,3.78
2014-07-04,6.3
2014-07-05,0.0
2014-07-06,0.0
2014-07-07,0.0
2014-07-08,0.0
2014-07-09,7.979999999999999
2014-07-10,8.4
2014-07-11,4.83
2014-07-12,0.0
2014-07-13,14.07
2014-07-14,11.13
2014-07-15,7.77
2014-07-16,6.93
2014-07-17,10.08
2014-07-18,5.46
2014-07-19,20.37
2014-07-20,0.0
2014-07-21,3.57
2014-07-22,16.169999999999998
2014-07-23,9.87
2014-07-24,0.0
2014-07-25,10.92
2014-07-26,0.0
2014-07-27,0.0
2014-07-28,4.2
2014-07-29,21.0
2014-07-30,0.0
2014-07-31,7.979999999999999
2014-08-01,20.7
2014-08-02,0.0
2014-08-03,0.0
2014-08-04,0.0
2014-08-05,14.49
