date,Home Depot Stock Price
2015-06-30,6.12
2015-07-01,0.0
2015-07-02,0.0
2015-07-03,13.11
2015-07-04,7.79
2015-07-05,0.0
2015-07-06,13.87
2015-07-07,0.0
2015-07-08,11.02
2015-07-09,7.22
2015-07-10,13.87
2015-07-11,0.0
2015-07-12,0.0
2015-07-13,19.0
2015-07-14,9.69
2015-07-15,3.61
2015-07-16,9.88
2015-07-17,4.75
2015-07-18,13.11
2015-07-19,7.79
2015-07-20,12.35
2015-07-21,9.5
2015-07-22,11.59
2015-07-23,0.0
2015-07-24,16.53
2015-07-25,10.64
2015-07-26,0.0
2015-07-27,13.3
2015-07-28,0.0
2015-07-29,8.17
2015-07-30,15.77
2015-07-31,10.64
2015-08-01,8.399999999999999
2015-08-02,0.0
2015-08-03,13.65
2015-08-04,4.55
2015-08-05,19.25
2015-08-06,8.399999999999999
2015-08-07,6.3
2015-08-08,0.0
2015-08-09,10.85
2015-08-10,5.949999999999999
2015-08-11,10.5
2015-08-12,6.65
2015-08-13,10.85
2015-08-14,7.0
2015-08-15,9.8
2015-08-16,0.0
2015-08-17,15.749999999999998
2015-08-18,10.5
2015-08-19,10.15
2015-08-20,16.45
2015-08-21,19.25
2015-08-22,10.5
2015-08-23,0.0
2015-08-24,34.3
2015-08-25,35.0
2015-08-26,23.1
2015-08-27,17.5
2015-08-28,18.9
2015-08-29,9.1
2015-08-30,5.949999999999999
2015-08-31,18.9
2015-09-01,9.88
2015-09-02,14.25
2015-09-03,11.4
2015-09-04,6.08
2015-09-05,5.89
2015-09-06,0.0
2015-09-07,7.41
2015-09-08,9.5
2015-09-09,13.68
2015-09-10,8.36
2015-09-11,11.4
2015-09-12,9.69
2015-09-13,0.0
2015-09-14,0.0
2015-09-15,7.79
2015-09-16,6.65
2015-09-17,5.32
2015-09-18,11.59
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,5.13
2015-09-22,13.87
2015-09-23,15.39
2015-09-24,19.0
2015-09-25,0.0
2015-09-26,5.13
2015-09-27,0.0
2015-09-28,8.74
2015-09-29,10.83
2015-09-30,11.02
2015-10-01,0.0
2015-10-02,4.140000000000001
2015-10-03,0.0
2015-10-04,0.0
2015-10-05,5.75
2015-10-06,13.11
2015-10-07,7.590000000000001
2015-10-08,9.2
2015-10-09,8.280000000000001
2015-10-10,5.5200000000000005
2015-10-11,4.37
2015-10-12,11.27
2015-10-13,18.17
2015-10-14,8.51
2015-10-15,13.8
2015-10-16,19.55
2015-10-17,0.0
2015-10-18,0.0
2015-10-19,8.74
2015-10-20,4.140000000000001
2015-10-21,11.73
2015-10-22,17.71
2015-10-23,23.0
2015-10-24,0.0
2015-10-25,0.0
2015-10-26,16.1
2015-10-27,16.79
2015-10-28,8.280000000000001
2015-10-29,8.74
2015-10-30,15.41
2015-10-31,14.95
2015-11-01,9.75
2015-11-02,4.0
2015-11-03,9.75
2015-11-04,11.75
2015-11-05,10.25
2015-11-06,19.25
2015-11-07,4.25
2015-11-08,25.0
2015-11-09,13.25
2015-11-10,8.0
2015-11-11,9.0
2015-11-12,17.75
2015-11-13,16.75
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,4.0
2015-11-17,16.5
2015-11-18,17.5
2015-11-19,13.25
2015-11-20,12.25
2015-11-21,0.0
2015-11-22,15.25
2015-11-23,10.5
2015-11-24,6.75
2015-11-25,20.25
2015-11-26,9.0
2015-11-27,7.5
2015-11-28,13.25
2015-11-29,4.25
2015-11-30,18.0
2015-12-01,7.26
2015-12-02,6.82
2015-12-03,9.46
2015-12-04,9.02
2015-12-05,5.72
2015-12-06,0.0
2015-12-07,5.94
2015-12-08,15.62
2015-12-09,7.26
2015-12-10,11.88
2015-12-11,0.0
2015-12-12,0.0
2015-12-13,0.0
2015-12-14,6.6
2015-12-15,11.44
2015-12-16,7.04
2015-12-17,4.18
2015-12-18,5.06
2015-12-19,4.18
2015-12-20,3.52
2015-12-21,9.9
2015-12-22,7.48
2015-12-23,22.0
2015-12-24,14.3
2015-12-25,8.36
2015-12-26,15.84
2015-12-27,0.0
2015-12-28,3.08
2015-12-29,3.08
2015-12-30,6.6
2015-12-31,12.98
2016-01-01,6.48
2016-01-02,5.52
2016-01-03,0.0
2016-01-04,13.44
2016-01-05,12.96
2016-01-06,13.44
2016-01-07,16.08
2016-01-08,24.0
2016-01-09,4.8
2016-01-10,0.0
2016-01-11,13.68
2016-01-12,12.24
2016-01-13,0.0
2016-01-14,15.6
2016-01-15,19.68
2016-01-16,9.84
2016-01-17,0.0
2016-01-18,4.08
2016-01-19,15.6
2016-01-20,18.72
2016-01-21,16.32
2016-01-22,16.8
2016-01-23,0.0
2016-01-24,5.76
2016-01-25,8.879999999999999
2016-01-26,13.68
2016-01-27,12.96
2016-01-28,7.199999999999999
2016-01-29,17.759999999999998
2016-01-30,11.76
2016-01-31,0.0
2016-02-01,0.0
2016-02-02,16.740000000000002
2016-02-03,10.260000000000002
2016-02-04,22.68
2016-02-05,17.55
2016-02-06,12.96
2016-02-07,0.0
2016-02-08,12.96
2016-02-09,24.57
2016-02-10,27.0
2016-02-11,19.98
2016-02-12,11.88
2016-02-13,9.18
2016-02-14,13.5
2016-02-15,16.470000000000002
2016-02-16,25.380000000000003
2016-02-17,24.3
2016-02-18,21.87
2016-02-19,25.65
2016-02-20,0.0
2016-02-21,9.45
2016-02-22,17.28
2016-02-23,17.82
2016-02-24,26.46
2016-02-25,9.72
2016-02-26,13.77
2016-02-27,10.260000000000002
2016-02-28,8.64
2016-02-29,18.9
2016-03-01,10.12
2016-03-02,9.24
2016-03-03,11.88
2016-03-04,9.68
2016-03-05,10.34
2016-03-06,0.0
2016-03-07,15.4
2016-03-08,14.74
2016-03-09,11.22
2016-03-10,12.98
2016-03-11,15.62
2016-03-12,7.48
2016-03-13,0.0
2016-03-14,6.82
2016-03-15,9.46
2016-03-16,20.24
2016-03-17,20.02
2016-03-18,14.3
2016-03-19,5.28
2016-03-20,0.0
2016-03-21,12.98
2016-03-22,17.82
2016-03-23,11.22
2016-03-24,13.2
2016-03-25,3.74
2016-03-26,8.14
2016-03-27,6.38
2016-03-28,22.0
2016-03-29,9.68
2016-03-30,6.16
2016-03-31,0.0
2016-04-01,22.0
2016-04-02,0.0
2016-04-03,0.0
2016-04-04,20.75
2016-04-05,16.75
2016-04-06,16.5
2016-04-07,11.25
2016-04-08,24.0
2016-04-09,5.25
2016-04-10,3.75
2016-04-11,11.75
2016-04-12,18.5
2016-04-13,16.5
2016-04-14,12.75
2016-04-15,10.25
2016-04-16,0.0
2016-04-17,0.0
2016-04-18,16.0
2016-04-19,15.5
2016-04-20,16.75
2016-04-21,16.75
2016-04-22,18.5
2016-04-23,4.75
2016-04-24,0.0
2016-04-25,11.0
2016-04-26,11.75
2016-04-27,25.0
2016-04-28,13.5
2016-04-29,9.5
2016-04-30,0.0
2016-05-01,0.0
2016-05-02,14.3
2016-05-03,11.18
2016-05-04,7.800000000000001
2016-05-05,16.64
