gvkey,datadate,fqtr,tic,conm,net_income,revenue,total_assets,shareholders_equity,total_liabilities,total_debt,sales,operating_activities_cf,capital_expenditures,interest_expense,common_shares_outstanding,earnings_per_share,dividends_per_share
002817,2020-06-30,2,CAT,CATERPILLAR INC,458.0,9997.0,76566.0,13734.0,62789.0,26907.0,9997.0,2521.0,998.0,284.0,541.507,0.84,1.03
002817,2020-09-30,3,CAT,CATERPILLAR INC,668.0,9881.0,76741.0,14949.0,61747.0,26107.0,9881.0,4255.0,1491.0,273.0,543.258,1.23,1.03
002817,2020-12-31,4,CAT,CATERPILLAR INC,780.0,11235.0,78324.0,15331.0,62946.0,26456.0,11235.0,6327.0,2115.0,258.0,545.304,1.43,1.03
002817,2021-03-31,1,CAT,CATERPILLAR INC,1530.0,11887.0,80729.0,16573.0,64112.0,26356.0,11887.0,1928.0,504.0,267.0,547.764,2.8,1.03
002817,2021-06-30,2,CAT,CATERPILLAR INC,1413.0,12889.0,81697.0,16833.0,64817.0,26204.0,12889.0,4046.0,1100.0,236.0,547.471,2.58,1.03
002817,2021-09-30,3,CAT,CATERPILLAR INC,1426.0,12397.0,80784.0,16665.0,64089.0,27154.0,12397.0,5786.0,1687.0,225.0,540.942,2.62,1.11
002817,2021-12-31,4,CAT,CATERPILLAR INC,2120.0,13798.0,82793.0,16484.0,66277.0,26517.0,13798.0,7198.0,2472.0,215.0,535.888,3.94,1.11
002817,2022-03-31,1,CAT,CATERPILLAR INC,1537.0,13589.0,82276.0,17065.0,65179.0,25277.0,13589.0,313.0,679.0,215.0,533.353,2.88,1.11
002817,2022-06-30,2,CAT,CATERPILLAR INC,1673.0,14247.0,81107.0,15727.0,65348.0,26219.0,14247.0,2546.0,1274.0,228.0,527.91,3.15,1.11
002817,2022-09-30,3,CAT,CATERPILLAR INC,2041.0,14994.0,80907.0,15591.0,65285.0,25509.0,14994.0,5027.0,1891.0,260.0,520.409,3.89,1.2
002817,2022-12-31,4,CAT,CATERPILLAR INC,1454.0,16597.0,81943.0,15869.0,66052.0,26142.0,16597.0,7766.0,2599.0,305.0,516.346,2.81,1.2
002817,2023-03-31,1,CAT,CATERPILLAR INC,1943.0,15862.0,83649.0,18149.0,65479.0,24873.0,15862.0,1573.0,750.0,346.0,515.92,3.76,1.2
002817,2023-06-30,2,CAT,CATERPILLAR INC,2922.0,17318.0,85427.0,18235.0,67171.0,22985.0,17318.0,4822.0,1457.0,372.0,510.143,5.7,1.2
002817,2023-09-30,3,CAT,CATERPILLAR INC,2794.0,16810.0,86791.0,20489.0,66284.0,24259.0,16810.0,8882.0,2238.0,409.0,509.085,5.48,1.3
002817,2023-12-31,4,CAT,CATERPILLAR INC,2676.0,17070.0,87476.0,19494.0,67973.0,24899.0,17070.0,12885.0,3092.0,414.0,499.377,5.31,1.3
157855,2013-01-31,4,CRM,SALESFORCE INC,-20.844,834.681,5528.956,2317.633,3157.711,,834.681,736.897,179.707,8.555,146.407,-0.14,0.0
157855,2013-04-30,1,CRM,SALESFORCE INC,-67.721,892.633,6513.709,2462.796,4003.833,1029.495,892.633,283.189,54.01,11.883,590.0,-0.12,0.0
157855,2013-07-31,2,CRM,SALESFORCE INC,76.603,957.094,7969.896,2818.649,5110.748,1305.271,957.094,466.372,156.559,19.656,596.0,0.13,0.0
157855,2013-10-31,3,CRM,SALESFORCE INC,-124.434,1076.034,8097.634,2912.356,5151.547,1303.583,1076.034,604.231,229.261,22.929,603.0,-0.21,0.0
157855,2014-01-31,4,CRM,SALESFORCE INC,-116.623,1145.242,9152.93,3038.51,6087.715,1342.101,1145.242,875.469,299.11,22.743,610.143,-0.19,0.0
157855,2014-04-30,1,CRM,SALESFORCE INC,-96.911,1226.772,8641.344,3131.914,5499.487,1353.246,1226.772,473.087,60.098,20.359,614.0,-0.16,0.0
157855,2014-07-31,2,CRM,SALESFORCE INC,-61.088,1318.551,9009.828,3300.568,5703.082,1371.956,1318.551,718.98,131.674,18.314,619.0,-0.1,0.0
157855,2014-10-31,3,CRM,SALESFORCE INC,-38.924,1383.655,9412.663,3790.614,5620.167,1467.658,1383.655,841.491,205.1,17.682,631.0,-0.06,0.0
157855,2015-01-31,4,CRM,SALESFORCE INC,-65.765,1444.608,10692.982,3975.183,6717.799,1495.981,1444.608,1173.714,290.454,16.882,650.596,-0.1,0.0
157855,2015-04-30,1,CRM,SALESFORCE INC,4.092,1511.167,10365.682,4235.203,6130.479,1420.758,1511.167,730.857,71.087,16.675,656.0,0.01,0.0
157855,2015-07-31,2,CRM,SALESFORCE INC,-0.852,1634.684,10793.977,4535.803,6258.174,1439.174,1634.684,1035.268,135.97,18.096,660.0,0.0,0.0
157855,2015-10-31,3,CRM,SALESFORCE INC,-25.157,1711.967,10911.966,4749.954,6162.012,1482.111,1711.967,1153.175,216.011,18.249,664.0,-0.04,0.0
157855,2016-01-31,4,CRM,SALESFORCE INC,-25.509,1809.398,12770.772,5002.869,7767.903,1490.658,1809.398,1612.585,284.476,19.465,670.929,-0.04,0.0
157855,2016-04-30,1,CRM,SALESFORCE INC,38.759,1916.603,12817.27,5584.264,7233.006,1495.416,1916.603,1051.062,83.301,22.011,677.5,0.06,0.0
157855,2016-07-31,2,CRM,SALESFORCE INC,229.622,2036.618,14381.314,6132.576,8248.738,1998.708,2036.618,1301.74,179.331,20.708,685.0,0.34,0.0
157855,2016-10-31,3,CRM,SALESFORCE INC,-37.309,2144.775,14387.669,6806.037,7581.632,2005.654,2144.775,1456.052,319.984,21.946,696.7,-0.05,0.0
157855,2017-01-31,4,CRM,SALESFORCE INC,-51.44,2293.988,17584.923,7500.127,10084.796,2209.102,2293.988,2162.198,463.958,24.323,707.46,-0.07,0.0
157855,2017-04-30,1,CRM,SALESFORCE INC,1.0,2397.0,17058.93,7934.488,9124.442,895.974,2397.0,1229.584,156.602,22.0,712.2,0.0,0.0
157855,2017-07-31,2,CRM,SALESFORCE INC,46.0,2577.0,17418.803,8451.314,8967.489,912.961,2577.0,1560.853,284.99,22.0,718.7,0.06,0.0
157855,2017-10-31,3,CRM,SALESFORCE INC,107.0,2701.0,17490.036,8829.37,8660.666,906.255,2701.0,1686.645,396.268,21.0,722.3,0.15,0.0
157855,2018-01-31,4,CRM,SALESFORCE INC,206.0,2865.0,21009.802,9388.496,11621.306,896.874,2865.0,2737.965,534.027,22.0,729.853,0.28,0.0
157855,2018-04-30,1,CRM,SALESFORCE INC,344.0,3006.0,22963.0,11060.0,11903.0,3369.0,3006.0,1466.0,122.0,34.0,733.9,0.47,0.0
157855,2018-07-31,2,CRM,SALESFORCE INC,299.0,3281.0,25823.0,13528.0,12295.0,3370.0,3281.0,1924.0,292.0,39.0,756.7,0.4,0.0
157855,2018-10-31,3,CRM,SALESFORCE INC,105.0,3392.0,26588.0,14693.0,11895.0,3369.0,3392.0,2067.0,428.0,40.0,765.0,0.14,0.0
157855,2019-01-31,4,CRM,SALESFORCE INC,362.0,3603.0,30737.0,15605.0,15132.0,3173.0,3603.0,3398.0,595.0,41.0,770.0,0.47,0.0
157855,2019-04-30,1,CRM,SALESFORCE INC,392.0,3737.0,33154.0,16446.0,16708.0,5915.0,3737.0,1965.0,159.0,35.0,775.0,0.51,0.0
157855,2019-07-31,2,CRM,SALESFORCE INC,91.0,3997.0,33336.0,17166.0,16170.0,5650.0,3997.0,2401.0,337.0,34.0,780.0,0.12,0.0
157855,2019-10-31,3,CRM,SALESFORCE INC,-109.0,4513.0,49942.0,33279.0,16663.0,5693.0,4513.0,2699.0,507.0,32.0,886.0,-0.12,0.0
157855,2020-01-31,4,CRM,SALESFORCE INC,-248.0,4851.0,55126.0,33885.0,21241.0,5450.0,4851.0,4331.0,643.0,30.0,893.0,-0.28,0.0
157855,2020-04-30,1,CRM,SALESFORCE INC,99.0,4865.0,53623.0,34565.0,19058.0,5095.0,4865.0,1859.0,323.0,29.0,899.0,0.11,0.0
157855,2020-07-31,2,CRM,SALESFORCE INC,2625.0,5151.0,57780.0,38440.0,19340.0,5080.0,5151.0,2288.0,437.0,29.0,908.0,2.9,0.0
157855,2020-10-31,3,CRM,SALESFORCE INC,1081.0,5419.0,59136.0,40310.0,18826.0,5075.0,5419.0,2627.0,561.0,29.0,914.0,1.19,0.0
157855,2021-01-31,4,CRM,SALESFORCE INC,267.0,5817.0,66301.0,41493.0,24808.0,5608.0,5817.0,4801.0,710.0,39.0,919.0,0.29,0.0
157855,2021-04-30,1,CRM,SALESFORCE INC,469.0,5963.0,64885.0,42567.0,22318.0,5406.0,5963.0,3228.0,171.0,34.0,925.0,0.51,0.0
157855,2021-07-31,2,CRM,SALESFORCE INC,535.0,6340.0,88658.0,55520.0,33138.0,13467.0,6340.0,3614.0,384.0,41.0,978.0,0.57,0.0
157855,2021-10-31,3,CRM,SALESFORCE INC,468.0,6863.0,87436.0,57054.0,30382.0,13313.0,6863.0,4018.0,550.0,72.0,984.0,0.48,0.0
157855,2022-01-31,4,CRM,SALESFORCE INC,-28.0,7326.0,95209.0,58131.0,37078.0,13566.0,7326.0,6000.0,717.0,73.0,989.0,-0.03,0.0
157855,2022-04-30,1,CRM,SALESFORCE INC,28.0,7411.0,93022.0,58876.0,34146.0,12325.0,7411.0,3676.0,179.0,74.0,994.0,0.03,0.0
157855,2022-07-31,2,CRM,SALESFORCE INC,68.0,7720.0,94148.0,60098.0,34050.0,11996.0,7720.0,4010.0,382.0,76.0,999.0,0.07,0.0
157855,2022-10-31,3,CRM,SALESFORCE INC,210.0,7837.0,91884.0,59351.0,32533.0,12249.0,7837.0,4323.0,580.0,74.0,991.0,0.21,0.0
157855,2023-01-31,4,CRM,SALESFORCE INC,-98.0,8384.0,98849.0,58359.0,40490.0,12850.0,8384.0,7111.0,798.0,73.0,981.0,-0.1,0.0
157855,2023-04-30,1,CRM,SALESFORCE INC,199.0,8247.0,93541.0,57412.0,36129.0,12301.0,8247.0,4491.0,243.0,74.0,977.0,0.2,0.0
157855,2023-07-31,2,CRM,SALESFORCE INC,1267.0,8603.0,92447.0,58082.0,34365.0,11291.0,8603.0,5299.0,423.0,70.0,975.0,1.3,0.0
157855,2023-10-31,3,CRM,SALESFORCE INC,1224.0,8720.0,91022.0,58090.0,32932.0,11190.0,8720.0,6831.0,589.0,69.0,969.0,1.26,0.0
020779,2013-01-31,2,CSCO,CISCO SYSTEMS INC,3143.0,12098.0,96378.0,55515.0,40853.0,16254.0,12098.0,5814.0,552.0,147.0,5323.0,0.59,0.14
020779,2013-04-30,3,CSCO,CISCO SYSTEMS INC,2478.0,12216.0,97084.0,56788.0,40286.0,12956.0,12216.0,8908.0,843.0,145.0,5315.0,0.47,0.17
020779,2013-07-31,4,CSCO,CISCO SYSTEMS INC,2270.0,12417.0,101191.0,59120.0,42063.0,12928.0,12417.0,12894.0,1160.0,143.0,5389.0,0.42,0.17
020779,2013-10-31,1,CSCO,CISCO SYSTEMS INC,1996.0,12085.0,100741.0,58897.0,41832.0,12947.0,12085.0,2649.0,315.0,140.0,5351.0,0.37,0.17
020779,2014-01-31,2,CSCO,CISCO SYSTEMS INC,1429.0,11155.0,98427.0,56069.0,42343.0,12385.0,11155.0,5522.0,577.0,136.0,5191.0,0.27,0.17
020779,2014-04-30,3,CSCO,CISCO SYSTEMS INC,2181.0,11545.0,101856.0,55787.0,46060.0,20384.0,11545.0,8720.0,950.0,146.0,5116.0,0.42,0.19
020779,2014-07-31,4,CSCO,CISCO SYSTEMS INC,2247.0,12357.0,105134.0,56654.0,48473.0,20401.0,12357.0,12332.0,1275.0,142.0,5107.0,0.44,0.19
020779,2014-10-31,1,CSCO,CISCO SYSTEMS INC,1828.0,12245.0,103978.0,56708.0,47263.0,19615.0,12245.0,2491.0,285.0,139.0,5109.0,0.36,0.19
020779,2015-01-31,2,CSCO,CISCO SYSTEMS INC,2397.0,11936.0,104922.0,57718.0,47189.0,19667.0,11936.0,5374.0,550.0,139.0,5107.0,0.47,0.19
020779,2015-04-30,3,CSCO,CISCO SYSTEMS INC,2437.0,12137.0,106212.0,58823.0,47379.0,16586.0,12137.0,8414.0,907.0,139.0,5093.0,0.48,0.21
020779,2015-07-31,4,CSCO,CISCO SYSTEMS INC,2319.0,12843.0,113481.0,59698.0,53774.0,21457.0,12843.0,12552.0,1227.0,149.0,5085.0,0.46,0.21
020779,2015-10-31,1,CSCO,CISCO SYSTEMS INC,2430.0,12682.0,111773.0,59977.0,51788.0,21594.0,12682.0,2766.0,262.0,159.0,5082.0,0.48,0.21
020779,2016-01-31,2,CSCO,CISCO SYSTEMS INC,3147.0,11927.0,112642.0,60871.0,51764.0,21591.0,11927.0,6688.0,576.0,162.0,5052.0,0.62,0.21
020779,2016-04-30,3,CSCO,CISCO SYSTEMS INC,2349.0,12000.0,118654.0,62358.0,56296.0,24431.0,12000.0,9752.0,880.0,175.0,5034.0,0.47,0.26
020779,2016-07-31,4,CSCO,CISCO SYSTEMS INC,2813.0,12638.0,121652.0,63586.0,58067.0,24483.0,12638.0,13570.0,1146.0,180.0,5029.0,0.56,0.26
020779,2016-10-31,1,CSCO,CISCO SYSTEMS INC,2322.0,12352.0,126287.0,63406.0,62874.0,30634.0,12352.0,2730.0,275.0,198.0,5024.0,0.46,0.26
020779,2017-01-31,2,CSCO,CISCO SYSTEMS INC,2348.0,11580.0,126248.0,63811.0,62430.0,30471.0,11580.0,6502.0,526.0,222.0,5007.0,0.47,0.26
020779,2017-04-30,3,CSCO,CISCO SYSTEMS INC,2515.0,11940.0,125950.0,65382.0,60568.0,28222.0,11940.0,9875.0,756.0,219.0,4998.0,0.5,0.29
020779,2017-07-31,4,CSCO,CISCO SYSTEMS INC,2424.0,12133.0,129818.0,66137.0,63681.0,25725.0,12133.0,13876.0,964.0,222.0,4983.0,0.49,0.29
020779,2017-10-31,1,CSCO,CISCO SYSTEMS INC,2394.0,12136.0,130522.0,65550.0,64972.0,25684.0,12136.0,3080.0,168.0,235.0,4951.0,0.48,0.29
020779,2018-01-31,2,CSCO,CISCO SYSTEMS INC,-8778.0,11887.0,131510.0,51982.0,79528.0,25625.0,11887.0,7150.0,379.0,247.0,4868.0,-1.78,0.29
020779,2018-04-30,3,CSCO,CISCO SYSTEMS INC,2691.0,12463.0,114008.0,46661.0,67347.0,20336.0,12463.0,9566.0,620.0,237.0,4734.0,0.56,0.33
020779,2018-07-31,4,CSCO,CISCO SYSTEMS INC,3803.0,12844.0,108784.0,43204.0,65580.0,20331.0,12844.0,13666.0,834.0,224.0,4614.0,0.81,0.33
020779,2018-10-31,1,CSCO,CISCO SYSTEMS INC,3549.0,13072.0,105429.0,43848.0,61581.0,18323.0,13072.0,3763.0,212.0,221.0,4517.0,0.78,0.33
020779,2019-01-31,2,CSCO,CISCO SYSTEMS INC,2822.0,12446.0,102462.0,40789.0,61673.0,15893.0,12446.0,7560.0,473.0,223.0,4424.0,0.63,0.33
020779,2019-04-30,3,CSCO,CISCO SYSTEMS INC,3044.0,12958.0,97287.0,36804.0,60483.0,15921.0,12958.0,11889.0,701.0,211.0,4313.0,0.7,0.35
020779,2019-07-31,4,CSCO,CISCO SYSTEMS INC,2206.0,13428.0,97793.0,33571.0,64222.0,14475.0,13428.0,15831.0,909.0,204.0,4250.0,0.52,0.35
020779,2019-10-31,1,CSCO,CISCO SYSTEMS INC,2926.0,13159.0,92492.0,34423.0,58069.0,15277.0,13159.0,3587.0,202.0,182.0,4241.0,0.69,0.35
020779,2020-01-31,2,CSCO,CISCO SYSTEMS INC,2878.0,12005.0,90426.0,35533.0,54893.0,15192.0,12005.0,7387.0,391.0,158.0,4241.0,0.68,0.35
020779,2020-04-30,3,CSCO,CISCO SYSTEMS INC,2774.0,11983.0,91394.0,35708.0,55686.0,11932.0,11983.0,11624.0,562.0,130.0,4220.0,0.66,0.36
020779,2020-07-31,4,CSCO,CISCO SYSTEMS INC,2636.0,12154.0,94853.0,37920.0,56933.0,12239.0,12154.0,15426.0,770.0,119.0,4237.0,0.62,0.36
020779,2020-10-31,1,CSCO,CISCO SYSTEMS INC,2174.0,11929.0,95003.0,38157.0,56846.0,10259.0,11929.0,4096.0,171.0,112.0,4222.0,0.51,0.36
020779,2021-01-31,2,CSCO,CISCO SYSTEMS INC,2545.0,11960.0,95601.0,39121.0,56480.0,10242.0,11960.0,7070.0,358.0,113.0,4221.0,0.6,0.36
020779,2021-04-30,3,CSCO,CISCO SYSTEMS INC,2863.0,12803.0,93896.0,40205.0,53691.0,10203.0,12803.0,10950.0,530.0,111.0,4215.0,0.68,0.37
020779,2021-07-31,4,CSCO,CISCO SYSTEMS INC,3009.0,13126.0,97497.0,41275.0,56222.0,9849.0,13126.0,15454.0,692.0,98.0,4217.0,0.71,0.37
020779,2021-10-31,1,CSCO,CISCO SYSTEMS INC,2980.0,12900.0,95981.0,42701.0,53280.0,9830.0,12900.0,3427.0,122.0,89.0,4217.0,0.71,0.37
020779,2022-01-31,2,CSCO,CISCO SYSTEMS INC,2973.0,12720.0,94262.0,39496.0,54766.0,9732.0,12720.0,5888.0,232.0,88.0,4151.0,0.71,0.37
020779,2022-04-30,3,CSCO,CISCO SYSTEMS INC,3044.0,12835.0,92797.0,40400.0,52397.0,9157.0,12835.0,9549.0,338.0,90.0,4149.0,0.73,0.38
020779,2022-07-31,4,CSCO,CISCO SYSTEMS INC,2815.0,13102.0,94002.0,39773.0,54229.0,9140.0,13102.0,13226.0,477.0,93.0,4110.0,0.68,0.38
020779,2022-10-31,1,CSCO,CISCO SYSTEMS INC,2670.0,13632.0,93054.0,40272.0,52782.0,8296.0,13632.0,3962.0,176.0,100.0,4103.0,0.65,0.38
020779,2023-01-31,2,CSCO,CISCO SYSTEMS INC,2773.0,13592.0,95840.0,41474.0,54366.0,8328.0,13592.0,8701.0,346.0,107.0,4095.0,0.68,0.38
020779,2023-04-30,3,CSCO,CISCO SYSTEMS INC,3212.0,14571.0,97529.0,42295.0,55234.0,7405.0,14571.0,13920.0,616.0,109.0,4075.0,0.79,0.39
020779,2023-07-31,4,CSCO,CISCO SYSTEMS INC,3958.0,15203.0,101852.0,44353.0,57499.0,7365.0,15203.0,19886.0,849.0,111.0,4066.0,0.97,0.39
020779,2023-10-31,1,CSCO,CISCO SYSTEMS INC,3638.0,14668.0,98782.0,45210.0,53572.0,7401.0,14668.0,2371.0,134.0,111.0,4049.0,0.9,0.39
002991,2013-03-31,1,CVX,CHEVRON CORP,6178.0,52263.0,237410.0,140134.0,95924.0,12053.0,52263.0,5714.0,8192.0,56.0,1938.978,3.2,0.9
002991,2013-06-30,2,CVX,CHEVRON CORP,5365.0,53199.0,244048.0,142841.0,99884.0,18051.0,53199.0,14234.0,16765.0,53.0,1932.024,2.8,1.0
002991,2013-09-30,3,CVX,CHEVRON CORP,4950.0,54380.0,247838.0,144779.0,101765.0,18054.0,54380.0,24550.0,26372.0,87.0,1923.173,2.58,1.0
002991,2013-12-31,4,CVX,CHEVRON CORP,4930.0,51822.0,253753.0,149113.0,103326.0,20057.0,51822.0,35002.0,37985.0,88.0,1913.603,2.6,1.0
002991,2014-03-31,1,CVX,CHEVRON CORP,4512.0,49032.0,258238.0,150661.0,106428.0,20046.0,49032.0,8417.0,8544.0,88.0,1903.65,2.38,1.0
002991,2014-06-30,2,CVX,CHEVRON CORP,5665.0,53463.0,262045.0,153581.0,107298.0,20050.0,53463.0,16298.0,17475.0,89.0,1898.932,3.0,1.07
002991,2014-09-30,3,CVX,CHEVRON CORP,5593.0,49706.0,265431.0,156140.0,108124.0,20044.0,49706.0,24978.0,25739.0,88.0,1890.424,2.97,1.07
002991,2014-12-31,4,CVX,CHEVRON CORP,3471.0,40107.0,266026.0,155028.0,109835.0,24028.0,40107.0,31475.0,35407.0,93.0,1879.649,1.86,1.07
