date,AAPL
2014-07-10,19.24
2014-07-11,20.8
2014-07-12,6.76
2014-07-13,4.16
2014-07-14,24.44
2014-07-15,24.96
2014-07-16,30.16
2014-07-17,23.92
2014-07-18,20.8
2014-07-19,6.76
2014-07-20,4.68
2014-07-21,23.92
2014-07-22,52.0
2014-07-23,50.440000000000005
2014-07-24,28.6
2014-07-25,25.48
2014-07-26,8.32
2014-07-27,5.2
2014-07-28,24.96
2014-07-29,29.12
2014-07-30,23.4
2014-07-31,22.880000000000003
2014-08-01,31.05
2014-08-02,8.55
2014-08-03,6.3
2014-08-04,26.55
2014-08-05,29.7
2014-08-06,30.6
2014-08-07,28.8
2014-08-08,27.45
2014-08-09,8.55
2014-08-10,5.8500000000000005
2014-08-11,25.2
2014-08-12,24.75
2014-08-13,27.45
2014-08-14,25.2
2014-08-15,26.1
2014-08-16,8.55
2014-08-17,5.8500000000000005
2014-08-18,28.8
2014-08-19,45.0
2014-08-20,36.45
2014-08-21,32.85
2014-08-22,36.0
2014-08-23,10.8
2014-08-24,7.2
2014-08-25,33.75
2014-08-26,32.4
2014-08-27,33.300000000000004
2014-08-28,34.65
2014-08-29,32.4
2014-08-30,10.35
2014-08-31,7.2
2014-09-01,5.44
2014-09-02,20.4
2014-09-03,29.24
2014-09-04,29.92
2014-09-05,25.840000000000003
2014-09-06,7.48
2014-09-07,4.760000000000001
2014-09-08,25.16
2014-09-09,68.0
2014-09-10,44.88
2014-09-11,29.24
2014-09-12,27.200000000000003
2014-09-13,9.52
2014-09-14,5.44
2014-09-15,25.16
2014-09-16,24.48
2014-09-17,21.76
2014-09-18,20.4
2014-09-19,21.76
2014-09-20,6.800000000000001
2014-09-21,4.08
2014-09-22,21.76
2014-09-23,19.72
2014-09-24,21.08
2014-09-25,27.880000000000003
2014-09-26,23.8
2014-09-27,6.12
2014-09-28,4.08
2014-09-29,17.68
2014-09-30,18.360000000000003
2014-10-01,27.0
2014-10-02,26.0
2014-10-03,25.5
2014-10-04,7.5
2014-10-05,6.0
2014-10-06,24.0
2014-10-07,25.0
2014-10-08,26.0
2014-10-09,31.0
2014-10-10,25.5
2014-10-11,6.5
2014-10-12,4.5
2014-10-13,23.5
2014-10-14,24.5
2014-10-15,29.5
2014-10-16,34.0
2014-10-17,28.0
2014-10-18,8.0
2014-10-19,5.0
2014-10-20,49.5
2014-10-21,50.0
2014-10-22,32.5
2014-10-23,34.0
2014-10-24,32.5
2014-10-25,9.0
2014-10-26,5.5
2014-10-27,24.5
2014-10-28,29.0
2014-10-29,27.0
2014-10-30,32.5
2014-10-31,30.5
2014-11-01,12.3
2014-11-02,9.02
2014-11-03,39.36
2014-11-04,41.0
2014-11-05,34.44
2014-11-06,36.08
2014-11-07,32.8
2014-11-08,11.48
2014-11-09,7.38
2014-11-10,32.39
2014-11-11,30.75
2014-11-12,34.03
2014-11-13,38.95
2014-11-14,38.95
2014-11-15,12.3
2014-11-16,6.97
2014-11-17,33.21
2014-11-18,38.13
2014-11-19,36.08
2014-11-20,37.72
2014-11-21,34.03
2014-11-22,12.71
2014-11-23,7.789999999999999
2014-11-24,33.21
2014-11-25,41.0
2014-11-26,35.669999999999995
2014-11-27,13.53
2014-11-28,22.96
2014-11-29,10.25
2014-11-30,5.739999999999999
2014-12-01,41.0
2014-12-02,38.95
2014-12-03,40.59
2014-12-04,34.44
2014-12-05,32.8
2014-12-06,10.25
2014-12-07,7.789999999999999
2014-12-08,34.03
2014-12-09,37.72
2014-12-10,34.03
2014-12-11,32.8
2014-12-12,31.57
2014-12-13,10.66
2014-12-14,7.38
2014-12-15,31.98
2014-12-16,35.26
2014-12-17,36.49
2014-12-18,38.13
2014-12-19,37.31
2014-12-20,12.3
2014-12-21,6.56
2014-12-22,29.52
2014-12-23,33.62
2014-12-24,25.83
2014-12-25,9.43
2014-12-26,22.55
2014-12-27,11.89
2014-12-28,7.38
2014-12-29,27.88
2014-12-30,32.8
2014-12-31,27.88
2015-01-01,4.140000000000001
2015-01-02,12.42
2015-01-03,3.68
2015-01-04,1.84
2015-01-05,14.26
2015-01-06,13.8
2015-01-07,12.88
2015-01-08,14.72
2015-01-09,14.26
2015-01-10,4.140000000000001
2015-01-11,2.3000000000000003
2015-01-12,11.5
2015-01-13,13.8
2015-01-14,13.8
2015-01-15,12.42
2015-01-16,13.34
2015-01-17,4.6000000000000005
2015-01-18,2.76
2015-01-19,5.98
2015-01-20,13.8
2015-01-21,15.18
2015-01-22,15.18
2015-01-23,14.26
2015-01-24,5.0600000000000005
2015-01-25,2.76
2015-01-26,14.72
2015-01-27,38.18
2015-01-28,46.0
2015-01-29,27.14
2015-01-30,23.46
2015-01-31,7.36
2015-02-01,7.04
2015-02-02,29.48
2015-02-03,33.0
2015-02-04,33.88
2015-02-05,30.8
2015-02-06,32.12
2015-02-07,9.68
2015-02-08,6.16
2015-02-09,25.52
2015-02-10,30.36
2015-02-11,40.92
2015-02-12,43.12
2015-02-13,38.72
2015-02-14,14.52
2015-02-15,9.24
2015-02-16,18.04
2015-02-17,38.28
2015-02-18,38.28
2015-02-19,33.44
2015-02-20,34.76
2015-02-21,14.52
2015-02-22,8.36
2015-02-23,37.4
2015-02-24,44.0
2015-02-25,37.4
2015-02-26,37.4
2015-02-27,35.64
2015-02-28,11.44
2015-03-01,5.4
2015-03-02,24.3
2015-03-03,24.75
2015-03-04,23.4
2015-03-05,22.5
2015-03-06,29.7
2015-03-07,8.1
2015-03-08,6.3
2015-03-09,45.0
2015-03-10,33.75
2015-03-11,30.6
2015-03-12,25.2
2015-03-13,25.2
2015-03-14,8.55
2015-03-15,4.05
2015-03-16,21.6
2015-03-17,22.95
2015-03-18,22.95
2015-03-19,22.95
2015-03-20,23.85
2015-03-21,8.1
2015-03-22,6.3
2015-03-23,22.05
2015-03-24,20.25
2015-03-25,16.650000000000002
2015-03-26,23.4
2015-03-27,18.0
2015-03-28,5.8500000000000005
2015-03-29,3.6
2015-03-30,21.15
2015-03-31,21.15
2015-04-01,14.4
2015-04-02,13.92
2015-04-03,10.56
2015-04-04,2.88
2015-04-05,2.88
2015-04-06,14.88
2015-04-07,15.84
2015-04-08,14.88
2015-04-09,15.36
2015-04-10,20.64
2015-04-11,6.72
2015-04-12,4.32
2015-04-13,19.68
2015-04-14,16.8
2015-04-15,15.84
2015-04-16,15.36
2015-04-17,16.32
2015-04-18,5.76
2015-04-19,2.4
2015-04-20,18.24
2015-04-21,15.84
2015-04-22,14.88
2015-04-23,20.16
2015-04-24,24.0
2015-04-25,7.199999999999999
2015-04-26,5.76
2015-04-27,47.52
2015-04-28,48.0
2015-04-29,25.92
2015-04-30,24.0
2015-05-01,38.0
2015-05-02,11.78
2015-05-03,7.22
2015-05-04,34.96
2015-05-05,32.3
2015-05-06,36.1
2015-05-07,31.54
2015-05-08,34.58
2015-05-09,10.26
2015-05-10,7.6
2015-05-11,30.02
2015-05-12,27.74
2015-05-13,27.74
2015-05-14,31.16
2015-05-15,29.64
2015-05-16,6.46
2015-05-17,6.84
2015-05-18,31.92
2015-05-19,33.44
2015-05-20,28.88
2015-05-21,28.5
2015-05-22,33.44
2015-05-23,10.26
2015-05-24,6.46
2015-05-25,7.6
2015-05-26,32.3
2015-05-27,30.02
2015-05-28,32.68
2015-05-29,25.46
2015-05-30,7.6
2015-05-31,7.6
2015-06-01,29.4
2015-06-02,29.75
2015-06-03,29.4
2015-06-04,28.0
2015-06-05,28.35
2015-06-06,9.45
2015-06-07,5.949999999999999
2015-06-08,35.0
2015-06-09,34.3
2015-06-10,32.55
2015-06-11,29.4
2015-06-12,27.3
2015-06-13,8.399999999999999
2015-06-14,4.9
2015-06-15,26.6
2015-06-16,25.9
2015-06-17,25.9
2015-06-18,29.4
2015-06-19,24.15
2015-06-20,5.6
2015-06-21,6.3
2015-06-22,25.9
2015-06-23,26.95
2015-06-24,31.15
2015-06-25,29.75
2015-06-26,25.2
2015-06-27,7.35
2015-06-28,5.6
2015-06-29,32.2
2015-06-30,33.95
2015-07-01,16.24
2015-07-02,13.34
2015-07-03,6.959999999999999
2015-07-04,1.7399999999999998
2015-07-05,2.9
2015-07-06,15.079999999999998
2015-07-07,16.24
2015-07-08,18.56
2015-07-09,20.3
2015-07-10,22.04
2015-07-11,5.8
2015-07-12,2.9
2015-07-13,19.72
2015-07-14,19.72
2015-07-15,17.4
2015-07-16,18.56
2015-07-17,22.62
2015-07-18,8.7
2015-07-19,4.06
2015-07-20,26.1
2015-07-21,53.36
2015-07-22,57.99999999999999
2015-07-23,31.32
2015-07-24,23.2
2015-07-25,6.38
2015-07-26,3.4799999999999995
2015-07-27,20.3
2015-07-28,17.98
2015-07-29,17.98
2015-07-30,16.82
2015-07-31,17.4
2015-08-01,5.9
2015-08-02,4.13
2015-08-03,22.42
2015-08-04,36.58
2015-08-05,33.629999999999995
2015-08-06,27.14
2015-08-07,23.6
2015-08-08,6.489999999999999
2015-08-09,4.13
2015-08-10,24.19
2015-08-11,29.5
2015-08-12,30.09
2015-08-13,25.37
2015-08-14,22.42
2015-08-15,7.08
2015-08-16,4.13
2015-08-17,20.65
2015-08-18,18.88
2015-08-19,17.7
2015-08-20,20.06
2015-08-21,31.27
2015-08-22,12.39
2015-08-23,7.08
2015-08-24,59.0
2015-08-25,51.33
2015-08-26,38.35
2015-08-27,37.17
2015-08-28,27.73
2015-08-29,6.489999999999999
2015-08-30,4.72
2015-08-31,21.83
2015-09-01,25.76
2015-09-02,24.84
2015-09-03,22.540000000000003
2015-09-04,19.32
2015-09-05,7.36
2015-09-06,4.140000000000001
2015-09-07,5.5200000000000005
2015-09-08,24.380000000000003
2015-09-09,46.0
2015-09-10,33.58
2015-09-11,23.0
2015-09-12,7.36
2015-09-13,5.5200000000000005
2015-09-14,24.380000000000003
2015-09-15,23.46
2015-09-16,22.08
2015-09-17,22.540000000000003
2015-09-18,20.24
2015-09-19,5.5200000000000005
2015-09-20,2.76
2015-09-21,18.86
2015-09-22,19.32
2015-09-23,17.48
2015-09-24,17.02
2015-09-25,17.48
2015-09-26,5.5200000000000005
2015-09-27,4.140000000000001
2015-09-28,18.86
2015-09-29,20.7
2015-09-30,20.7
2015-10-01,16.4
2015-10-02,14.35
2015-10-03,4.51
2015-10-04,3.28
2015-10-05,15.579999999999998
2015-10-06,16.4
2015-10-07,13.94
2015-10-08,14.76
2015-10-09,13.53
2015-10-10,4.1
2015-10-11,2.46
2015-10-12,12.3
2015-10-13,14.76
2015-10-14,13.53
2015-10-15,13.94
2015-10-16,13.12
2015-10-17,3.28
2015-10-18,2.05
2015-10-19,13.12
2015-10-20,14.35
2015-10-21,13.94
2015-10-22,14.76
2015-10-23,18.86
2015-10-24,5.739999999999999
2015-10-25,4.51
2015-10-26,18.86
2015-10-27,41.0
2015-10-28,38.13
2015-10-29,20.91
2015-10-30,20.5
2015-10-31,4.51
2015-11-01,4.65
2015-11-02,28.83
2015-11-03,29.45
2015-11-04,31.0
2015-11-05,27.9
2015-11-06,25.42
2015-11-07,7.13
2015-11-08,4.34
2015-11-09,24.49
2015-11-10,30.38
2015-11-11,27.9
2015-11-12,25.11
2015-11-13,23.25
2015-11-14,6.82
2015-11-15,4.03
2015-11-16,22.63
2015-11-17,21.7
2015-11-18,26.35
2015-11-19,26.66
2015-11-20,26.04
2015-11-21,8.06
2015-11-22,4.34
2015-11-23,23.25
2015-11-24,24.18
2015-11-25,22.01
2015-11-26,6.51
2015-11-27,13.64
2015-11-28,6.2
2015-11-29,4.03
2015-11-30,18.6
2015-12-01,21.33
2015-12-02,22.14
2015-12-03,20.520000000000003
2015-12-04,21.33
2015-12-05,8.100000000000001
2015-12-06,5.130000000000001
2015-12-07,22.14
2015-12-08,21.06
2015-12-09,21.6
2015-12-10,20.520000000000003
2015-12-11,21.06
2015-12-12,6.210000000000001
2015-12-13,4.050000000000001
2015-12-14,22.41
2015-12-15,24.03
2015-12-16,27.0
2015-12-17,26.46
2015-12-18,25.92
2015-12-19,7.0200000000000005
2015-12-20,6.48
2015-12-21,26.19
2015-12-22,26.73
2015-12-23,22.68
2015-12-24,18.09
2015-12-25,7.290000000000001
2015-12-26,5.4
2015-12-27,5.130000000000001
2015-12-28,19.44
2015-12-29,22.950000000000003
2015-12-30,19.17
2015-12-31,21.06
2016-01-01,3.78
2016-01-02,3.24
2016-01-03,3.24
2016-01-04,19.44
2016-01-05,22.14
2016-01-06,30.24
2016-01-07,34.56
2016-01-08,32.400000000000006
2016-01-09,6.48
2016-01-10,3.78
2016-01-11,21.06
2016-01-12,24.3
2016-01-13,24.840000000000003
2016-01-14,19.44
2016-01-15,24.840000000000003
2016-01-16,6.48
2016-01-17,3.78
2016-01-18,7.56
2016-01-19,18.9
2016-01-20,25.380000000000003
2016-01-21,21.6
2016-01-22,25.380000000000003
2016-01-23,6.48
2016-01-24,3.78
2016-01-25,21.06
2016-01-26,46.98
2016-01-27,54.0
2016-01-28,31.860000000000003
2016-01-29,26.46
2016-01-30,8.100000000000001
2016-01-31,4.32
2016-02-01,35.72
2016-02-02,36.48
2016-02-03,34.58
2016-02-04,34.58
2016-02-05,33.06
2016-02-06,9.5
2016-02-07,5.32
2016-02-08,31.54
2016-02-09,32.68
2016-02-10,29.26
2016-02-11,28.5
2016-02-12,30.78
2016-02-13,8.74
2016-02-14,5.7
2016-02-15,12.54
2016-02-16,30.78
2016-02-17,38.0
2016-02-18,31.54
2016-02-19,28.12
2016-02-20,7.22
2016-02-21,4.18
2016-02-22,27.74
2016-02-23,29.26
2016-02-24,28.12
2016-02-25,28.5
2016-02-26,27.36
2016-02-27,7.6
2016-02-28,3.04
2016-02-29,26.22
2016-03-01,24.12
2016-03-02,21.96
2016-03-03,22.68
2016-03-04,21.96
2016-03-05,5.76
2016-03-06,3.96
2016-03-07,21.6
2016-03-08,19.08
2016-03-09,18.36
2016-03-10,16.919999999999998
2016-03-11,17.64
2016-03-12,4.32
2016-03-13,2.88
2016-03-14,17.64
2016-03-15,22.32
2016-03-16,21.6
2016-03-17,21.96
2016-03-18,20.16
2016-03-19,4.32
2016-03-20,3.96
2016-03-21,36.0
2016-03-22,25.56
2016-03-23,21.24
2016-03-24,18.36
2016-03-25,10.08
2016-03-26,3.6
2016-03-27,2.52
2016-03-28,17.64
2016-03-29,22.32
2016-03-30,27.0
2016-03-31,22.32
2016-04-01,12.32
2016-04-02,3.08
2016-04-03,1.76
2016-04-04,13.64
2016-04-05,13.64
2016-04-06,12.76
2016-04-07,11.44
2016-04-08,10.56
2016-04-09,2.64
2016-04-10,2.2
2016-04-11,11.88
2016-04-12,11.44
2016-04-13,12.76
2016-04-14,12.32
2016-04-15,11.88
2016-04-16,3.52
2016-04-17,2.64
2016-04-18,12.76
2016-04-19,13.64
2016-04-20,12.32
2016-04-21,11.44
2016-04-22,11.0
2016-04-23,3.08
2016-04-24,2.64
2016-04-25,13.64
2016-04-26,36.52
2016-04-27,44.0
2016-04-28,25.52
2016-04-29,23.76
2016-04-30,5.28
2016-05-01,6.24
2016-05-02,37.92
2016-05-03,41.28
2016-05-04,29.76
2016-05-05,27.84
2016-05-06,29.28
2016-05-07,8.64
2016-05-08,4.8
2016-05-09,26.88
2016-05-10,27.84
2016-05-11,25.92
2016-05-12,38.88
2016-05-13,37.44
2016-05-14,8.64
2016-05-15,4.32
