date,HON
2015-01-12,31.24
2015-01-13,30.8
2015-01-14,35.64
2015-01-15,38.28
2015-01-16,34.76
2015-01-17,34.76
2015-01-18,36.52
2015-01-19,36.96
2015-01-20,44.0
2015-01-21,30.36
2015-01-22,33.44
2015-01-23,40.04
2015-01-24,30.36
2015-01-25,38.72
2015-01-26,34.32
2015-01-27,36.08
2015-01-28,39.16
2015-01-29,35.2
2015-01-30,34.76
2015-01-31,30.36
2015-02-01,33.11
2015-02-02,34.83
2015-02-03,37.41
2015-02-04,41.28
2015-02-05,28.38
2015-02-06,34.4
2015-02-07,32.25
2015-02-08,21.93
2015-02-09,32.68
2015-02-10,33.11
2015-02-11,31.82
2015-02-12,37.41
2015-02-13,34.4
2015-02-14,32.25
2015-02-15,31.39
2015-02-16,33.11
2015-02-17,35.69
2015-02-18,36.12
2015-02-19,32.68
2015-02-20,43.0
2015-02-21,27.95
2015-02-22,32.25
2015-02-23,34.4
2015-02-24,30.1
2015-02-25,30.1
2015-02-26,35.69
2015-02-27,38.27
2015-02-28,35.69
2015-03-01,33.0
2015-03-02,37.0
2015-03-03,31.0
2015-03-04,39.5
2015-03-05,37.0
2015-03-06,33.0
2015-03-07,36.5
2015-03-08,33.0
2015-03-09,33.5
2015-03-10,32.0
2015-03-11,39.5
2015-03-12,45.0
2015-03-13,43.0
2015-03-14,33.5
2015-03-15,30.5
2015-03-16,37.0
2015-03-17,37.5
2015-03-18,40.0
2015-03-19,38.0
2015-03-20,36.5
2015-03-21,34.5
2015-03-22,30.5
2015-03-23,36.5
2015-03-24,42.0
2015-03-25,36.5
2015-03-26,39.0
2015-03-27,37.5
2015-03-28,50.0
2015-03-29,37.0
2015-03-30,37.5
2015-03-31,37.0
2015-04-01,36.12
2015-04-02,39.56
2015-04-03,35.69
2015-04-04,35.26
2015-04-05,30.53
2015-04-06,37.41
2015-04-07,31.82
2015-04-08,36.12
2015-04-09,43.0
2015-04-10,36.55
2015-04-11,30.1
2015-04-12,28.81
2015-04-13,31.39
2015-04-14,35.26
2015-04-15,35.69
2015-04-16,37.41
2015-04-17,38.7
2015-04-18,33.97
2015-04-19,33.54
2015-04-20,33.97
2015-04-21,36.98
2015-04-22,31.82
2015-04-23,35.69
2015-04-24,32.25
2015-04-25,27.52
2015-04-26,29.67
2015-04-27,30.96
2015-04-28,33.54
2015-04-29,33.97
2015-04-30,35.26
2015-05-01,32.68
2015-05-02,36.98
2015-05-03,27.52
2015-05-04,31.82
2015-05-05,39.13
2015-05-06,39.99
2015-05-07,39.99
2015-05-08,38.7
2015-05-09,31.39
2015-05-10,31.82
2015-05-11,33.97
2015-05-12,39.13
2015-05-13,34.4
2015-05-14,35.69
2015-05-15,43.0
2015-05-16,33.11
2015-05-17,30.96
2015-05-18,42.14
2015-05-19,36.55
2015-05-20,40.42
2015-05-21,29.67
2015-05-22,40.42
2015-05-23,30.1
2015-05-24,27.09
2015-05-25,27.95
2015-05-26,30.96
2015-05-27,28.81
2015-05-28,34.4
2015-05-29,32.25
2015-05-30,32.68
2015-05-31,21.07
2015-06-01,36.08
2015-06-02,33.62
2015-06-03,36.9
2015-06-04,31.57
2015-06-05,34.85
2015-06-06,27.88
2015-06-07,27.06
2015-06-08,34.03
2015-06-09,36.49
2015-06-10,38.54
2015-06-11,39.77
2015-06-12,41.0
2015-06-13,37.72
2015-06-14,29.93
2015-06-15,31.57
2015-06-16,29.11
2015-06-17,32.8
2015-06-18,35.26
2015-06-19,30.34
2015-06-20,29.93
2015-06-21,29.93
2015-06-22,34.44
2015-06-23,37.72
2015-06-24,38.95
2015-06-25,38.54
2015-06-26,37.31
2015-06-27,31.57
2015-06-28,26.65
2015-06-29,32.8
2015-06-30,38.13
2015-07-01,29.6
2015-07-02,28.8
2015-07-03,27.200000000000003
2015-07-04,22.8
2015-07-05,30.4
2015-07-06,29.6
2015-07-07,34.800000000000004
2015-07-08,40.0
2015-07-09,31.200000000000003
2015-07-10,32.4
2015-07-11,28.0
2015-07-12,28.0
2015-07-13,29.6
2015-07-14,32.800000000000004
2015-07-15,31.200000000000003
2015-07-16,33.6
2015-07-17,36.0
2015-07-18,17.6
2015-07-19,24.4
2015-07-20,30.0
2015-07-21,36.8
2015-07-22,35.6
2015-07-23,32.0
2015-07-24,32.800000000000004
2015-07-25,27.200000000000003
2015-07-26,23.6
2015-07-27,30.0
2015-07-28,32.0
2015-07-29,37.2
2015-07-30,27.6
2015-07-31,30.0
2015-08-01,26.22
2015-08-02,22.8
2015-08-03,24.32
2015-08-04,38.0
2015-08-05,26.98
2015-08-06,31.16
2015-08-07,33.82
2015-08-08,20.14
2015-08-09,32.3
2015-08-10,31.54
2015-08-11,35.34
2015-08-12,26.98
2015-08-13,29.64
2015-08-14,34.58
2015-08-15,21.66
2015-08-16,24.7
2015-08-17,28.5
2015-08-18,34.2
2015-08-19,31.54
2015-08-20,24.32
2015-08-21,32.68
2015-08-22,23.18
2015-08-23,28.5
2015-08-24,32.3
2015-08-25,32.68
2015-08-26,31.54
2015-08-27,28.5
2015-08-28,28.88
2015-08-29,24.32
2015-08-30,18.24
2015-08-31,23.56
2015-09-01,24.9
2015-09-02,26.7
2015-09-03,23.7
2015-09-04,29.7
2015-09-05,22.2
2015-09-06,23.4
2015-09-07,21.6
2015-09-08,25.8
2015-09-09,27.3
2015-09-10,27.9
2015-09-11,25.2
2015-09-12,18.6
2015-09-13,15.9
2015-09-14,25.5
2015-09-15,24.3
2015-09-16,30.0
2015-09-17,21.3
2015-09-18,20.7
