date,stock_name,name_price_attention
2015-04-04,MSFT,1.52
2015-04-05,MSFT,0.0
2015-04-06,MSFT,3.52
2015-04-07,MSFT,1.76
2015-04-08,MSFT,3.6
2015-04-09,MSFT,3.04
2015-04-10,MSFT,1.36
2015-04-11,MSFT,4.64
2015-04-12,MSFT,3.6
2015-04-13,MSFT,2.88
2015-04-14,MSFT,3.84
2015-04-15,MSFT,3.76
2015-04-16,MSFT,2.64
2015-04-17,MSFT,4.64
2015-04-18,MSFT,1.6
2015-04-19,MSFT,0.0
2015-04-20,MSFT,2.4
2015-04-21,MSFT,4.48
2015-04-22,MSFT,2.48
2015-04-23,MSFT,4.48
2015-04-24,MSFT,7.6
2015-04-25,MSFT,1.36
2015-04-26,MSFT,1.68
2015-04-27,MSFT,7.84
2015-04-28,MSFT,5.28
2015-04-29,MSFT,5.12
2015-04-30,MSFT,8.0
2015-05-01,MSFT,5.2
2015-05-02,MSFT,2.48
2015-05-03,MSFT,4.64
2015-05-04,MSFT,5.6000000000000005
2015-05-05,MSFT,3.12
2015-05-06,MSFT,5.28
2015-05-07,MSFT,2.24
2015-05-08,MSFT,4.08
2015-05-09,MSFT,6.48
2015-05-10,MSFT,1.68
2015-05-11,MSFT,5.68
2015-05-12,MSFT,0.0
2015-05-13,MSFT,2.56
2015-05-14,MSFT,3.2
2015-05-15,MSFT,3.68
2015-05-16,MSFT,0.0
2015-05-17,MSFT,0.0
2015-05-18,MSFT,4.5600000000000005
2015-05-19,MSFT,5.2
2015-05-20,MSFT,8.0
2015-05-21,MSFT,1.2
2015-05-22,MSFT,3.12
2015-05-23,MSFT,3.52
2015-05-24,MSFT,0.0
2015-05-25,MSFT,2.16
2015-05-26,MSFT,4.08
2015-05-27,MSFT,3.04
2015-05-28,MSFT,4.5600000000000005
2015-05-29,MSFT,1.92
2015-05-30,MSFT,0.0
2015-05-31,MSFT,1.36
2015-06-01,MSFT,0.0
2015-06-02,MSFT,3.92
2015-06-03,MSFT,2.31
2015-06-04,MSFT,4.9
2015-06-05,MSFT,2.8000000000000003
2015-06-06,MSFT,3.5000000000000004
2015-06-07,MSFT,0.0
2015-06-08,MSFT,0.0
2015-06-09,MSFT,1.54
2015-06-10,MSFT,7.000000000000001
2015-06-11,MSFT,1.89
2015-06-12,MSFT,0.0
2015-06-13,MSFT,3.01
2015-06-14,MSFT,0.0
2015-06-15,MSFT,1.4700000000000002
2015-06-16,MSFT,3.5700000000000003
2015-06-17,MSFT,3.78
2015-06-18,MSFT,3.3600000000000003
2015-06-19,MSFT,6.44
2015-06-20,MSFT,0.0
2015-06-21,MSFT,0.0
2015-06-22,MSFT,1.12
2015-06-23,MSFT,2.8000000000000003
2015-06-24,MSFT,2.66
2015-06-25,MSFT,0.0
2015-06-26,MSFT,4.760000000000001
2015-06-27,MSFT,0.0
2015-06-28,MSFT,3.78
2015-06-29,MSFT,3.08
2015-06-30,MSFT,3.99
