date,CAT
2014-07-23,50.37
2014-07-24,55.2
2014-07-25,57.96
2014-07-26,60.03
2014-07-27,57.27
2014-07-28,46.92
2014-07-29,55.2
2014-07-30,51.74999999999999
2014-07-31,53.13
2014-08-01,50.7
2014-08-02,57.85
2014-08-03,57.2
2014-08-04,50.7
2014-08-05,48.75
2014-08-06,52.0
2014-08-07,51.35
2014-08-08,65.0
2014-08-09,61.75
2014-08-10,57.85
2014-08-11,47.45
2014-08-12,45.5
2014-08-13,49.4
2014-08-14,48.75
2014-08-15,48.1
2014-08-16,55.9
2014-08-17,59.8
2014-08-18,47.45
2014-08-19,44.85
2014-08-20,49.4
2014-08-21,46.8
2014-08-22,51.35
2014-08-23,55.25
2014-08-24,55.25
2014-08-25,47.45
2014-08-26,45.5
2014-08-27,47.45
2014-08-28,54.6
2014-08-29,53.3
2014-08-30,55.25
2014-08-31,50.7
2014-09-01,59.78
2014-09-02,50.02
2014-09-03,49.41
2014-09-04,45.75
2014-09-05,46.97
2014-09-06,57.95
2014-09-07,55.51
2014-09-08,51.24
2014-09-09,45.75
2014-09-10,51.85
2014-09-11,48.19
2014-09-12,52.46
2014-09-13,55.51
2014-09-14,59.78
2014-09-15,46.97
2014-09-16,51.85
2014-09-17,46.36
2014-09-18,51.85
2014-09-19,52.46
2014-09-20,57.34
2014-09-21,54.9
2014-09-22,54.9
2014-09-23,51.24
2014-09-24,53.68
2014-09-25,52.46
2014-09-26,51.24
2014-09-27,58.56
2014-09-28,61.0
2014-09-29,52.46
2014-09-30,56.12
2014-10-01,35.1
2014-10-02,37.7
2014-10-03,36.4
2014-10-04,40.95
2014-10-05,40.95
2014-10-06,31.200000000000003
2014-10-07,33.800000000000004
2014-10-08,33.800000000000004
2014-10-09,37.05
2014-10-10,37.7
2014-10-11,40.3
2014-10-12,39.65
2014-10-13,34.45
2014-10-14,35.1
2014-10-15,31.85
2014-10-16,35.1
2014-10-17,37.05
2014-10-18,44.85
2014-10-19,38.35
2014-10-20,34.45
2014-10-21,37.05
2014-10-22,37.7
2014-10-23,38.35
2014-10-24,39.65
2014-10-25,43.55
2014-10-26,44.2
2014-10-27,37.05
2014-10-28,41.6
2014-10-29,52.0
2014-10-30,50.7
2014-10-31,65.0
2014-11-01,64.02
2014-11-02,59.400000000000006
2014-11-03,49.5
2014-11-04,51.48
2014-11-05,47.52
2014-11-06,50.16
2014-11-07,47.52
2014-11-08,58.080000000000005
2014-11-09,58.74
2014-11-10,50.16
2014-11-11,53.46
2014-11-12,50.82
2014-11-13,51.48
2014-11-14,52.14
2014-11-15,57.42
2014-11-16,57.42
2014-11-17,48.84
2014-11-18,52.8
2014-11-19,52.8
2014-11-20,49.5
2014-11-21,54.120000000000005
2014-11-22,61.38
2014-11-23,60.06
2014-11-24,51.48
2014-11-25,50.82
2014-11-26,47.52
2014-11-27,59.400000000000006
2014-11-28,56.760000000000005
2014-11-29,63.36
2014-11-30,66.0
2014-12-01,55.25
2014-12-02,50.7
2014-12-03,55.25
2014-12-04,55.9
2014-12-05,55.9
2014-12-06,59.8
2014-12-07,56.55
2014-12-08,57.85
2014-12-09,65.0
2014-12-10,56.55
2014-12-11,52.65
2014-12-12,56.55
2014-12-13,61.1
2014-12-14,63.7
2014-12-15,55.25
2014-12-16,55.9
2014-12-17,55.9
2014-12-18,55.9
2014-12-19,53.95
2014-12-20,63.7
2014-12-21,65.0
2014-12-22,52.65
2014-12-23,56.55
2014-12-24,60.45
2014-12-25,61.75
2014-12-26,60.45
2014-12-27,62.400000000000006
2014-12-28,54.6
2014-12-29,52.0
2014-12-30,52.0
2014-12-31,55.25
2015-01-01,56.12
2015-01-02,45.14
2015-01-03,52.46
2015-01-04,57.34
2015-01-05,46.36
2015-01-06,48.19
2015-01-07,46.97
2015-01-08,46.97
2015-01-09,48.19
2015-01-10,53.07
2015-01-11,53.68
2015-01-12,45.75
2015-01-13,45.14
2015-01-14,46.36
2015-01-15,47.58
2015-01-16,48.19
2015-01-17,55.51
2015-01-18,51.85
2015-01-19,61.0
2015-01-20,45.14
2015-01-21,43.92
2015-01-22,48.19
2015-01-23,45.14
2015-01-24,51.85
2015-01-25,53.07
2015-01-26,46.97
2015-01-27,45.14
2015-01-28,47.58
2015-01-29,51.24
2015-01-30,52.46
2015-01-31,59.78
2015-02-01,49.88
2015-02-02,43.5
2015-02-03,43.5
2015-02-04,42.92
2015-02-05,42.92
2015-02-06,44.08
2015-02-07,48.13999999999999
2015-02-08,46.4
2015-02-09,40.6
2015-02-10,42.34
2015-02-11,40.6
2015-02-12,42.34
2015-02-13,43.5
2015-02-14,46.4
2015-02-15,52.2
2015-02-16,43.5
2015-02-17,42.34
2015-02-18,42.92
2015-02-19,45.82
2015-02-20,46.4
2015-02-21,44.66
2015-02-22,53.94
2015-02-23,41.18
2015-02-24,42.92
2015-02-25,45.82
2015-02-26,48.72
2015-02-27,50.46
2015-02-28,57.99999999999999
2015-03-01,63.0
2015-03-02,47.88
2015-03-03,44.73
2015-03-04,44.1
2015-03-05,40.95
2015-03-06,43.47
2015-03-07,44.73
2015-03-08,45.99
2015-03-09,37.17
2015-03-10,34.65
2015-03-11,34.02
2015-03-12,37.17
2015-03-13,41.58
2015-03-14,43.47
2015-03-15,39.06
2015-03-16,34.65
2015-03-17,34.65
2015-03-18,33.39
2015-03-19,35.28
2015-03-20,38.43
2015-03-21,38.43
2015-03-22,39.69
2015-03-23,32.76
2015-03-24,34.65
2015-03-25,34.65
2015-03-26,34.02
2015-03-27,35.28
2015-03-28,39.69
2015-03-29,42.21
2015-03-30,34.02
2015-03-31,34.02
2015-04-01,51.46
2015-04-02,46.5
2015-04-03,50.84
2015-04-04,57.66
2015-04-05,60.14
2015-04-06,47.74
2015-04-07,47.74
2015-04-08,55.18
2015-04-09,55.18
2015-04-10,55.18
