date,MSFT,AAPL,Visa,JPM,UNH,WMT,JNJ,PG,INTC,DIS,VZ,AMGN,IBM,CAT,NKE,AXP,HON,BA,GS,MMM,TRV,DOW
2004-03-11,0.0,2.28,46.2,0.0,0.0,0.0,3.87,35.0,0.0,8.200000000000001,0.0,0.0,0.0,41.4,0.0,0.0,0.0,0.0,50.400000000000006,10.8,0.0,0.0
2004-03-12,0.0,0.0,66.5,0.0,10.8,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,24.75,0.0,0.0,0.0,9.3,16.8,4.2,0.0,2.61
2004-03-13,5.52,0.0,64.39999999999999,0.0,0.0,0.0,0.0,15.4,0.0,8.6,14.26,0.0,0.0,29.7,0.0,0.0,0.0,0.0,51.52,0.0,0.0,1.11
2004-03-14,0.0,0.99,55.3,5.59,22.14,0.0,0.0,8.75,9.12,0.0,0.0,0.0,0.0,26.55,0.0,0.0,25.6,13.5,56.00000000000001,0.0,0.0,1.08
2004-03-15,0.0,1.35,65.1,0.0,7.0200000000000005,0.0,0.0,21.35,0.0,7.2,0.0,0.0,0.0,24.3,0.0,0.0,21.44,13.8,15.68,0.0,0.0,2.19
2004-03-16,3.36,1.08,58.8,0.0,0.0,1.6800000000000002,0.0,12.6,0.0,4.2,0.0,0.0,0.0,24.3,0.0,14.580000000000002,16.0,17.099999999999998,47.040000000000006,2.64,0.0,2.07
2004-03-17,0.0,0.0,61.6,0.0,16.200000000000003,2.24,0.0,24.5,0.0,4.4,0.0,0.0,0.0,31.05,0.0,0.0,12.8,12.6,39.760000000000005,2.04,0.0,2.04
2004-03-18,0.0,0.0,60.9,0.0,10.260000000000002,0.0,0.0,7.699999999999999,0.0,5.4,0.0,0.0,0.0,25.2,0.0,0.0,11.2,8.7,33.6,3.6,29.0,2.13
2004-03-19,2.04,0.0,58.8,2.6,10.260000000000002,8.120000000000001,0.0,18.2,0.0,5.2,8.05,0.0,0.0,23.85,0.0,0.0,32.0,9.9,30.800000000000004,0.0,12.0,2.46
2004-03-20,7.199999999999999,0.0,56.7,0.0,27.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,0.0,28.8,0.0,0.0,26.24,7.5,39.2,0.0,34.0,1.35
2004-03-21,5.279999999999999,0.0,55.3,13.0,0.0,0.0,0.0,10.15,0.0,0.0,0.0,0.0,0.0,28.35,0.0,54.0,14.72,12.0,33.040000000000006,0.0,0.0,1.53
2004-03-22,0.0,0.0,46.9,0.0,0.0,12.18,0.0,26.25,0.0,10.6,0.0,0.0,0.0,29.25,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
2004-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,89.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-24,3.72,2.1,46.9,0.0,16.200000000000003,0.0,1.26,10.15,8.32,0.0,13.34,0.0,0.0,21.15,0.0,0.0,26.56,8.7,56.00000000000001,0.0,0.0,3.0
2004-03-25,12.0,2.28,41.3,7.15,31.860000000000003,14.000000000000002,9.0,29.75,0.0,9.2,0.0,0.0,0.0,27.45,0.0,0.0,0.0,18.3,43.68000000000001,0.0,100.0,2.25
2004-03-26,0.0,2.13,65.8,0.0,12.420000000000002,3.22,0.0,18.9,0.0,5.0,22.08,0.0,0.0,25.65,0.0,0.0,24.0,8.7,44.8,3.0,0.0,2.07
2004-03-27,4.8,0.0,55.3,0.0,27.0,2.66,0.0,9.1,0.0,0.0,0.0,0.0,0.0,23.85,0.0,0.0,0.0,9.0,42.00000000000001,0.0,0.0,1.23
2004-03-28,0.0,0.0,51.8,0.0,21.06,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,26.1,0.0,0.0,0.0,10.5,19.040000000000003,3.84,17.0,1.56
2004-03-29,0.0,0.63,60.9,0.0,17.28,0.0,2.25,24.15,0.0,9.0,0.0,0.0,0.0,24.75,0.0,0.0,17.92,9.6,29.120000000000005,0.0,12.0,2.01
2004-03-30,1.92,0.0,58.8,4.16,19.44,0.0,3.42,11.9,2.72,2.0,0.0,0.0,0.0,24.75,0.0,22.68,23.04,7.199999999999999,47.040000000000006,2.88,21.0,2.07
2004-03-31,5.04,1.65,62.3,0.0,0.0,1.4,0.0,16.099999999999998,0.0,2.2,0.0,0.0,0.0,24.75,0.0,0.0,7.68,9.9,31.92,0.0,0.0,2.22
2004-04-01,1.71,0.0,48.96,0.0,7.409999999999999,0.0,0.0,14.0,0.0,1.71,4.5,0.0,0.0,0.0,0.0,0.0,6.88,17.689999999999998,20.520000000000003,1.2,50.400000000000006,4.0
2004-04-02,3.24,0.64,48.96,8.36,24.51,13.0,0.0,18.55,0.0,3.04,0.0,10.12,0.0,0.0,4.95,0.0,6.88,16.82,32.400000000000006,0.0,0.0,3.84
2004-04-03,0.0,1.58,55.080000000000005,0.0,14.249999999999998,9.88,0.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88,19.14,28.62,0.0,0.0,1.8
2004-04-04,5.94,0.8200000000000001,37.400000000000006,4.62,22.8,0.0,0.0,19.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.98,33.480000000000004,2.88,45.6,1.52
2004-04-05,2.34,0.0,57.8,0.0,21.66,0.0,0.0,27.65,0.0,3.42,7.56,0.0,0.0,0.0,0.0,0.0,15.91,15.659999999999998,22.68,0.0,0.0,3.36
2004-04-06,1.62,0.56,67.32000000000001,0.0,14.249999999999998,0.0,0.0,17.5,17.0,2.28,0.0,0.0,0.0,0.0,9.0,0.0,14.19,14.21,34.56,0.0,0.0,2.52
2004-04-07,4.59,0.92,61.88,0.0,22.8,0.0,1.9,35.0,7.140000000000001,3.61,11.34,0.0,0.0,0.0,0.0,0.0,9.03,22.91,27.0,0.0,22.4,3.4
2004-04-08,0.0,0.0,57.120000000000005,6.6,23.94,0.0,0.0,11.55,9.52,6.2700000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.21,29.700000000000003,0.96,0.0,2.28
2004-04-09,5.76,0.0,52.36000000000001,0.0,0.0,0.0,0.0,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.89,10.15,38.34,4.2,44.0,2.12
2004-04-10,4.68,0.0,61.2,6.71,26.79,0.0,0.0,0.0,13.94,16.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.79,26.46,2.4,39.2,0.44
2004-04-11,9.0,0.0,68.0,0.0,56.99999999999999,0.0,10.0,0.0,0.0,10.64,0.0,0.0,0.0,0.0,0.0,30.0,43.0,18.85,0.0,12.0,0.0,1.0
2004-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-14,0.0,0.0,49.64,0.0,0.0,0.0,1.4,32.2,0.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0,8.6,22.62,33.480000000000004,0.0,18.4,1.84
2004-04-15,0.0,0.66,57.120000000000005,4.84,8.549999999999999,0.0,1.2000000000000002,24.5,7.31,6.46,5.22,0.0,0.0,0.0,0.0,0.0,6.45,22.33,22.14,1.3199999999999998,0.0,2.32
2004-04-16,2.7,1.72,57.8,0.0,27.93,0.0,0.0,25.2,0.0,0.0,18.0,0.0,0.0,0.0,0.0,4.8,0.0,12.47,27.540000000000003,0.0,46.400000000000006,1.96
2004-04-17,2.7,0.0,42.84,0.0,11.4,0.0,0.0,24.15,0.0,3.42,0.0,0.0,0.0,0.0,0.0,14.4,0.0,11.02,34.56,5.279999999999999,0.0,1.44
2004-04-18,0.0,0.0,52.36000000000001,5.61,29.07,0.0,3.7,9.1,0.0,11.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.56,41.580000000000005,0.0,43.2,1.28
2004-04-19,0.0,2.0,60.52,2.09,12.54,0.0,0.0,27.65,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,9.89,10.73,42.120000000000005,1.44,0.0,1.76
2004-04-20,0.0,0.0,53.720000000000006,3.19,23.37,5.07,1.0,25.55,10.71,7.22,0.0,0.0,0.0,0.0,0.0,0.0,11.18,13.919999999999998,28.08,2.04,0.0,3.0
2004-04-21,2.88,0.0,65.96000000000001,0.0,0.0,12.87,0.0,14.7,0.0,5.13,0.0,0.0,0.0,0.0,1.53,3.0,5.16,19.43,36.18,0.84,26.4,2.64
2004-04-22,3.15,0.0,61.2,0.0,19.38,0.0,1.3,32.2,9.01,2.85,0.0,0.0,0.0,0.0,0.0,0.0,10.32,15.37,30.78,1.56,46.400000000000006,1.6
2004-04-23,3.96,0.0,55.080000000000005,0.0,10.829999999999998,0.0,0.0,19.6,6.800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.88,22.91,25.92,1.2,52.8,2.12
2004-04-24,0.0,0.0,58.48,0.0,21.66,0.0,0.0,8.399999999999999,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,11.61,29.0,49.14,1.68,0.0,1.48
2004-04-25,0.0,0.0,45.56,3.96,14.249999999999998,0.0,0.0,0.0,0.0,19.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,11.31,54.0,0.0,80.0,1.04
