date,stock_name,attention_ticker
2019-11-22,Boeing Stock Price,10.22
2019-11-23,Boeing Stock Price,3.08
2019-11-24,Boeing Stock Price,1.2600000000000002
2019-11-25,Boeing Stock Price,7.280000000000001
2019-11-26,Boeing Stock Price,10.920000000000002
2019-11-27,Boeing Stock Price,9.38
2019-11-28,Boeing Stock Price,4.0600000000000005
2019-11-29,Boeing Stock Price,4.9
2019-11-30,Boeing Stock Price,0.7000000000000001
2019-12-01,Boeing Stock Price,1.12
2019-12-02,Boeing Stock Price,3.84
2019-12-03,Boeing Stock Price,4.32
2019-12-04,Boeing Stock Price,4.48
2019-12-05,Boeing Stock Price,4.48
2019-12-06,Boeing Stock Price,6.24
2019-12-07,Boeing Stock Price,1.44
2019-12-08,Boeing Stock Price,0.8
2019-12-09,Boeing Stock Price,5.12
2019-12-10,Boeing Stock Price,3.68
2019-12-11,Boeing Stock Price,5.92
2019-12-12,Boeing Stock Price,6.4
2019-12-13,Boeing Stock Price,6.24
2019-12-14,Boeing Stock Price,0.0
2019-12-15,Boeing Stock Price,0.0
2019-12-16,Boeing Stock Price,9.92
2019-12-17,Boeing Stock Price,14.56
2019-12-18,Boeing Stock Price,6.88
2019-12-19,Boeing Stock Price,8.64
2019-12-20,Boeing Stock Price,9.92
2019-12-21,Boeing Stock Price,3.84
2019-12-22,Boeing Stock Price,1.6
2019-12-23,Boeing Stock Price,16.0
2019-12-24,Boeing Stock Price,12.16
2019-12-25,Boeing Stock Price,4.96
2019-12-26,Boeing Stock Price,8.8
2019-12-27,Boeing Stock Price,7.84
2019-12-28,Boeing Stock Price,2.88
2019-12-29,Boeing Stock Price,1.76
2019-12-30,Boeing Stock Price,5.92
2019-12-31,Boeing Stock Price,5.92
2020-01-01,Boeing Stock Price,3.57
2020-01-02,Boeing Stock Price,11.13
2020-01-03,Boeing Stock Price,10.29
2020-01-04,Boeing Stock Price,2.73
2020-01-05,Boeing Stock Price,2.52
2020-01-06,Boeing Stock Price,13.86
2020-01-07,Boeing Stock Price,9.45
2020-01-08,Boeing Stock Price,21.0
2020-01-09,Boeing Stock Price,14.91
2020-01-10,Boeing Stock Price,13.86
2020-01-11,Boeing Stock Price,3.36
2020-01-12,Boeing Stock Price,0.84
2020-01-13,Boeing Stock Price,10.92
2020-01-14,Boeing Stock Price,10.71
2020-01-15,Boeing Stock Price,8.61
2020-01-16,Boeing Stock Price,10.29
2020-01-17,Boeing Stock Price,9.45
2020-01-18,Boeing Stock Price,3.99
2020-01-19,Boeing Stock Price,1.89
2020-01-20,Boeing Stock Price,4.83
2020-01-21,Boeing Stock Price,15.33
2020-01-22,Boeing Stock Price,20.37
2020-01-23,Boeing Stock Price,13.23
2020-01-24,Boeing Stock Price,14.91
2020-01-25,Boeing Stock Price,3.57
2020-01-26,Boeing Stock Price,3.15
2020-01-27,Boeing Stock Price,10.5
2020-01-28,Boeing Stock Price,14.7
2020-01-29,Boeing Stock Price,18.9
2020-01-30,Boeing Stock Price,13.23
2020-01-31,Boeing Stock Price,13.02
2020-02-01,Boeing Stock Price,1.98
2020-02-02,Boeing Stock Price,1.44
2020-02-03,Boeing Stock Price,6.66
2020-02-04,Boeing Stock Price,9.9
2020-02-05,Boeing Stock Price,9.0
2020-02-06,Boeing Stock Price,7.92
2020-02-07,Boeing Stock Price,6.84
2020-02-08,Boeing Stock Price,1.98
2020-02-09,Boeing Stock Price,2.16
2020-02-10,Boeing Stock Price,7.739999999999999
2020-02-11,Boeing Stock Price,10.98
2020-02-12,Boeing Stock Price,7.02
2020-02-13,Boeing Stock Price,7.56
2020-02-14,Boeing Stock Price,8.64
2020-02-15,Boeing Stock Price,2.52
2020-02-16,Boeing Stock Price,2.34
2020-02-17,Boeing Stock Price,2.88
2020-02-18,Boeing Stock Price,5.4
2020-02-19,Boeing Stock Price,8.28
2020-02-20,Boeing Stock Price,6.66
2020-02-21,Boeing Stock Price,5.4
2020-02-22,Boeing Stock Price,1.44
2020-02-23,Boeing Stock Price,0.8999999999999999
2020-02-24,Boeing Stock Price,6.66
2020-02-25,Boeing Stock Price,10.44
2020-02-26,Boeing Stock Price,8.64
2020-02-27,Boeing Stock Price,12.42
2020-02-28,Boeing Stock Price,18.0
2020-02-29,Boeing Stock Price,8.1
2020-03-01,Boeing Stock Price,3.0
