date,GS
2014-01-13,57.4
2014-01-14,56.0
2014-01-15,54.6
2014-01-16,56.0
2014-01-17,56.0
2014-01-18,51.8
2014-01-19,50.4
2014-01-20,46.9
2014-01-21,49.7
2014-01-22,50.4
2014-01-23,53.2
2014-01-24,54.6
2014-01-25,44.8
2014-01-26,51.8
2014-01-27,49.7
2014-01-28,50.4
2014-01-29,51.8
2014-01-30,51.8
2014-01-31,53.2
2014-02-01,49.5
2014-02-02,50.82
2014-02-03,50.82
2014-02-04,53.46
2014-02-05,58.080000000000005
2014-02-06,56.760000000000005
2014-02-07,59.400000000000006
2014-02-08,55.440000000000005
2014-02-09,46.86
2014-02-10,54.120000000000005
2014-02-11,52.14
2014-02-12,54.78
2014-02-13,49.5
2014-02-14,50.16
2014-02-15,55.440000000000005
2014-02-16,51.48
2014-02-17,53.46
2014-02-18,60.720000000000006
2014-02-19,57.42
2014-02-20,58.74
2014-02-21,59.400000000000006
2014-02-22,54.120000000000005
2014-02-23,53.46
2014-02-24,64.02
2014-02-25,66.0
2014-02-26,65.34
2014-02-27,60.06
2014-02-28,60.06
2014-03-01,61.41
2014-03-02,59.34
2014-03-03,60.03
2014-03-04,61.41
2014-03-05,63.48
2014-03-06,58.65
2014-03-07,68.30999999999999
2014-03-08,61.41
2014-03-09,61.41
2014-03-10,59.34
2014-03-11,62.78999999999999
2014-03-12,68.30999999999999
2014-03-13,62.78999999999999
2014-03-14,69.0
2014-03-15,59.34
2014-03-16,56.58
2014-03-17,56.58
2014-03-18,64.17
2014-03-19,61.41
2014-03-20,59.34
2014-03-21,64.86
2014-03-22,62.1
2014-03-23,62.78999999999999
2014-03-24,63.48
2014-03-25,58.65
2014-03-26,58.65
2014-03-27,62.1
2014-03-28,63.48
2014-03-29,63.48
2014-03-30,60.72
2014-03-31,57.27
2014-04-01,58.46
2014-04-02,63.64
2014-04-03,59.2
2014-04-04,59.2
2014-04-05,48.1
2014-04-06,56.98
2014-04-07,57.72
2014-04-08,62.16
2014-04-09,59.94
2014-04-10,59.94
2014-04-11,57.72
2014-04-12,59.94
2014-04-13,62.9
2014-04-14,56.24
2014-04-15,56.98
2014-04-16,60.68
2014-04-17,62.9
2014-04-18,58.46
2014-04-19,74.0
2014-04-20,62.9
2014-04-21,60.68
2014-04-22,57.72
2014-04-23,55.5
2014-04-24,60.68
2014-04-25,62.16
2014-04-26,59.94
2014-04-27,61.42
2014-04-28,56.98
2014-04-29,52.54
2014-04-30,57.72
2014-05-01,62.9
2014-05-02,64.38
2014-05-03,65.12
2014-05-04,74.0
2014-05-05,64.38
2014-05-06,59.94
2014-05-07,57.72
2014-05-08,59.2
2014-05-09,61.42
2014-05-10,57.72
2014-05-11,56.98
2014-05-12,67.34
2014-05-13,59.2
2014-05-14,56.98
2014-05-15,63.64
2014-05-16,62.9
2014-05-17,60.68
2014-05-18,57.72
2014-05-19,65.12
2014-05-20,63.64
2014-05-21,65.12
2014-05-22,62.16
2014-05-23,65.86
2014-05-24,67.34
2014-05-25,59.2
2014-05-26,68.82
2014-05-27,59.94
2014-05-28,62.16
2014-05-29,65.86
2014-05-30,57.72
2014-05-31,57.72
2014-06-01,56.58
2014-06-02,62.78999999999999
2014-06-03,69.0
2014-06-04,60.72
2014-06-05,68.30999999999999
2014-06-06,66.24
2014-06-07,57.27
2014-06-08,55.88999999999999
2014-06-09,68.30999999999999
2014-06-10,64.86
2014-06-11,60.72
2014-06-12,62.78999999999999
2014-06-13,66.24
2014-06-14,64.17
2014-06-15,51.06
2014-06-16,66.24
2014-06-17,66.24
2014-06-18,65.55
2014-06-19,66.24
2014-06-20,63.48
2014-06-21,60.03
2014-06-22,57.96
2014-06-23,64.86
2014-06-24,66.24
2014-06-25,60.72
2014-06-26,62.1
2014-06-27,57.96
2014-06-28,60.03
2014-06-29,57.96
2014-06-30,60.72
2014-07-01,69.75
2014-07-02,71.25
2014-07-03,68.25
2014-07-04,57.75
2014-07-05,53.25
2014-07-06,55.5
2014-07-07,71.25
2014-07-08,60.75
2014-07-09,65.25
2014-07-10,63.75
2014-07-11,65.25
2014-07-12,62.25
2014-07-13,56.25
2014-07-14,72.75
2014-07-15,72.0
2014-07-16,65.25
2014-07-17,75.0
2014-07-18,69.0
2014-07-19,61.5
2014-07-20,56.25
2014-07-21,69.75
2014-07-22,71.25
2014-07-23,65.25
2014-07-24,64.5
2014-07-25,72.0
2014-07-26,66.0
2014-07-27,74.25
2014-07-28,63.0
2014-07-29,66.75
2014-07-30,63.75
2014-07-31,71.25
2014-08-01,65.52
2014-08-02,60.48
2014-08-03,56.88
2014-08-04,59.04
2014-08-05,66.24
2014-08-06,69.12
2014-08-07,63.36
2014-08-08,67.67999999999999
2014-08-09,57.6
2014-08-10,61.92
2014-08-11,56.88
2014-08-12,63.36
2014-08-13,63.36
2014-08-14,62.64
2014-08-15,56.88
2014-08-16,58.32
2014-08-17,61.92
2014-08-18,55.44
2014-08-19,64.8
2014-08-20,59.76
2014-08-21,65.52
2014-08-22,56.88
2014-08-23,56.88
2014-08-24,58.32
2014-08-25,72.0
2014-08-26,65.52
2014-08-27,58.32
2014-08-28,63.36
2014-08-29,59.76
2014-08-30,59.76
2014-08-31,51.84
2014-09-01,56.7
2014-09-02,57.33
2014-09-03,54.18
2014-09-04,61.11
2014-09-05,56.07
2014-09-06,54.18
2014-09-07,48.51
2014-09-08,51.66
2014-09-09,55.44
2014-09-10,52.29
2014-09-11,50.4
2014-09-12,63.0
2014-09-13,56.07
2014-09-14,47.88
2014-09-15,52.92
2014-09-16,59.85
2014-09-17,54.18
2014-09-18,56.07
2014-09-19,53.55
2014-09-20,47.88
2014-09-21,44.1
2014-09-22,57.33
2014-09-23,61.11
2014-09-24,59.22
2014-09-25,59.22
2014-09-26,60.48
2014-09-27,54.18
2014-09-28,47.88
2014-09-29,59.22
2014-09-30,59.22
2014-10-01,62.0
2014-10-02,59.52
2014-10-03,53.94
2014-10-04,51.46
2014-10-05,45.88
2014-10-06,45.26
2014-10-07,53.32
2014-10-08,53.32
2014-10-09,51.46
2014-10-10,54.56
2014-10-11,48.98
2014-10-12,50.84
2014-10-13,37.2
2014-10-14,53.94
2014-10-15,52.7
2014-10-16,55.8
2014-10-17,49.6
2014-10-18,56.42
2014-10-19,49.6
2014-10-20,48.98
2014-10-21,53.32
2014-10-22,60.76
2014-10-23,53.32
2014-10-24,51.46
2014-10-25,51.46
2014-10-26,48.98
2014-10-27,52.08
2014-10-28,52.7
2014-10-29,52.7
2014-10-30,55.8
2014-10-31,52.08
2014-11-01,50.4
2014-11-02,59.85
2014-11-03,55.44
2014-11-04,63.0
2014-11-05,58.59
2014-11-06,57.33
2014-11-07,53.55
2014-11-08,51.66
2014-11-09,58.59
2014-11-10,55.44
2014-11-11,52.29
2014-11-12,57.33
2014-11-13,59.22
2014-11-14,61.74
2014-11-15,55.44
2014-11-16,51.03
2014-11-17,56.7
2014-11-18,52.92
2014-11-19,55.44
2014-11-20,57.33
2014-11-21,56.07
2014-11-22,59.85
2014-11-23,51.66
2014-11-24,54.81
2014-11-25,61.74
2014-11-26,56.7
2014-11-27,55.44
2014-11-28,57.96
2014-11-29,60.48
2014-11-30,53.55
2014-12-01,59.34
2014-12-02,59.34
2014-12-03,58.65
2014-12-04,60.03
2014-12-05,57.96
2014-12-06,55.2
2014-12-07,53.13
2014-12-08,57.27
2014-12-09,53.81999999999999
2014-12-10,60.72
2014-12-11,53.81999999999999
2014-12-12,58.65
2014-12-13,59.34
2014-12-14,57.96
2014-12-15,64.86
2014-12-16,64.17
2014-12-17,65.55
2014-12-18,69.0
2014-12-19,58.65
2014-12-20,66.92999999999999
2014-12-21,57.27
2014-12-22,66.24
2014-12-23,66.92999999999999
2014-12-24,62.78999999999999
2014-12-25,52.44
2014-12-26,55.88999999999999
2014-12-27,55.88999999999999
2014-12-28,51.06
2014-12-29,66.92999999999999
2014-12-30,65.55
2014-12-31,65.55
2015-01-01,51.8
2015-01-02,62.16
2015-01-03,59.2
2015-01-04,59.2
2015-01-05,68.82
2015-01-06,69.56
2015-01-07,68.82
2015-01-08,63.64
2015-01-09,62.16
2015-01-10,60.68
2015-01-11,54.02
2015-01-12,57.72
2015-01-13,63.64
2015-01-14,74.0
2015-01-15,65.86
2015-01-16,72.52
2015-01-17,61.42
2015-01-18,62.9
2015-01-19,55.5
2015-01-20,70.3
2015-01-21,59.2
2015-01-22,62.16
2015-01-23,65.86
2015-01-24,61.42
2015-01-25,57.72
2015-01-26,65.86
2015-01-27,59.2
2015-01-28,62.16
2015-01-29,68.08
2015-01-30,62.9
2015-01-31,62.16
2015-02-01,55.44
2015-02-02,44.73
2015-02-03,57.33
2015-02-04,53.55
2015-02-05,56.07
2015-02-06,63.0
2015-02-07,51.03
2015-02-08,55.44
2015-02-09,57.96
2015-02-10,58.59
2015-02-11,52.92
2015-02-12,59.85
2015-02-13,57.33
2015-02-14,51.66
2015-02-15,52.29
2015-02-16,50.4
2015-02-17,52.92
2015-02-18,57.33
2015-02-19,55.44
2015-02-20,56.07
2015-02-21,52.92
2015-02-22,48.51
2015-02-23,51.66
2015-02-24,53.55
2015-02-25,57.96
2015-02-26,55.44
2015-02-27,60.48
2015-02-28,54.18
2015-03-01,49.7
2015-03-02,48.3
2015-03-03,53.9
2015-03-04,56.7
2015-03-05,50.4
2015-03-06,56.0
2015-03-07,59.49999999999999
2015-03-08,70.0
2015-03-09,61.6
2015-03-10,57.4
2015-03-11,57.4
2015-03-12,56.7
2015-03-13,56.7
2015-03-14,58.1
2015-03-15,50.4
2015-03-16,56.0
2015-03-17,59.49999999999999
2015-03-18,56.0
2015-03-19,56.7
2015-03-20,52.5
2015-03-21,59.49999999999999
2015-03-22,53.9
2015-03-23,58.1
2015-03-24,60.9
2015-03-25,58.1
2015-03-26,60.9
2015-03-27,57.4
2015-03-28,53.9
2015-03-29,46.2
2015-03-30,55.3
2015-03-31,51.8
2015-04-01,62.78
2015-04-02,61.32
2015-04-03,62.78
2015-04-04,52.56
2015-04-05,70.08
2015-04-06,56.94
2015-04-07,66.42999999999999
2015-04-08,59.86
2015-04-09,64.97
2015-04-10,61.32
2015-04-11,57.67
2015-04-12,52.56
2015-04-13,55.48
2015-04-14,64.24
2015-04-15,62.05
2015-04-16,66.42999999999999
2015-04-17,59.86
2015-04-18,64.24
2015-04-19,70.81
2015-04-20,73.0
2015-04-21,63.51
2015-04-22,64.24
2015-04-23,58.4
2015-04-24,67.16
2015-04-25,57.67
2015-04-26,65.7
2015-04-27,58.4
2015-04-28,59.13
2015-04-29,60.59
2015-04-30,64.24
2015-05-01,47.52
2015-05-02,48.24
2015-05-03,41.04
2015-05-04,51.84
2015-05-05,54.0
2015-05-06,55.44
2015-05-07,51.84
2015-05-08,53.28
2015-05-09,46.8
2015-05-10,57.6
2015-05-11,55.44
2015-05-12,56.16
2015-05-13,51.84
2015-05-14,63.36
2015-05-15,55.44
2015-05-16,66.24
2015-05-17,59.04
2015-05-18,54.72
2015-05-19,55.44
2015-05-20,61.92
2015-05-21,50.4
2015-05-22,64.08
2015-05-23,54.72
2015-05-24,66.24
2015-05-25,57.6
2015-05-26,61.92
2015-05-27,55.44
2015-05-28,72.0
2015-05-29,51.12
2015-05-30,51.84
2015-05-31,49.68
2015-06-01,35.25
2015-06-02,38.25
2015-06-03,43.5
2015-06-04,42.75
2015-06-05,53.25
2015-06-06,39.75
2015-06-07,39.75
2015-06-08,51.0
2015-06-09,36.0
2015-06-10,51.75
2015-06-11,42.0
2015-06-12,60.0
2015-06-13,37.5
2015-06-14,41.25
2015-06-15,52.5
2015-06-16,42.0
2015-06-17,75.0
2015-06-18,42.75
2015-06-19,36.75
2015-06-20,35.25
2015-06-21,32.25
2015-06-22,39.75
2015-06-23,39.0
2015-06-24,40.5
2015-06-25,38.25
2015-06-26,36.75
2015-06-27,33.75
2015-06-28,32.25
2015-06-29,36.0
2015-06-30,36.75
2015-07-01,58.65
2015-07-02,59.34
2015-07-03,54.51
2015-07-04,54.51
2015-07-05,53.81999999999999
2015-07-06,64.86
2015-07-07,57.96
2015-07-08,66.92999999999999
2015-07-09,61.41
2015-07-10,55.88999999999999
2015-07-11,57.27
2015-07-12,55.88999999999999
2015-07-13,51.06
2015-07-14,62.1
2015-07-15,62.78999999999999
2015-07-16,64.86
2015-07-17,58.65
2015-07-18,62.78999999999999
2015-07-19,55.88999999999999
2015-07-20,64.86
