date,Chevron Stock Price
2014-03-26,0.0
2014-03-27,4.859999999999999
2014-03-28,5.67
2014-03-29,8.1
2014-03-30,0.0
2014-03-31,0.0
2014-04-01,4.62
2014-04-02,3.74
2014-04-03,5.17
2014-04-04,0.0
2014-04-05,10.12
2014-04-06,3.3
2014-04-07,4.07
2014-04-08,5.39
2014-04-09,0.0
2014-04-10,2.86
2014-04-11,0.0
2014-04-12,4.51
2014-04-13,5.06
2014-04-14,1.98
2014-04-15,6.16
2014-04-16,5.17
2014-04-17,4.84
2014-04-18,0.0
2014-04-19,0.0
2014-04-20,11.0
2014-04-21,4.84
2014-04-22,0.0
2014-04-23,2.75
2014-04-24,0.0
2014-04-25,8.36
2014-04-26,0.0
2014-04-27,7.92
2014-04-28,0.0
2014-04-29,4.4
2014-04-30,4.07
2014-05-01,1.44
2014-05-02,2.7
2014-05-03,0.0
2014-05-04,0.0
2014-05-05,0.0
2014-05-06,1.53
2014-05-07,0.99
2014-05-08,3.06
2014-05-09,0.0
2014-05-10,1.26
2014-05-11,0.0
2014-05-12,0.0
2014-05-13,0.0
2014-05-14,0.0
2014-05-15,3.78
2014-05-16,2.79
2014-05-17,0.0
2014-05-18,0.0
2014-05-19,0.0
2014-05-20,2.16
2014-05-21,2.97
2014-05-22,2.07
2014-05-23,2.52
2014-05-24,9.0
2014-05-25,0.0
2014-05-26,0.0
2014-05-27,0.0
2014-05-28,4.14
2014-05-29,2.43
2014-05-30,2.16
2014-05-31,4.59
2014-06-01,0.0
2014-06-02,0.0
2014-06-03,0.0
2014-06-04,3.41
2014-06-05,0.0
2014-06-06,9.57
2014-06-07,0.0
2014-06-08,0.0
2014-06-09,4.73
2014-06-10,3.08
2014-06-11,5.17
2014-06-12,5.61
2014-06-13,0.0
2014-06-14,6.82
2014-06-15,0.0
2014-06-16,6.71
2014-06-17,3.3
2014-06-18,6.05
2014-06-19,11.0
2014-06-20,7.7
2014-06-21,0.0
2014-06-22,0.0
2014-06-23,0.0
2014-06-24,0.0
2014-06-25,5.61
2014-06-26,0.0
2014-06-27,0.0
2014-06-28,0.0
2014-06-29,0.0
2014-06-30,8.36
2014-07-01,0.0
2014-07-02,6.5
2014-07-03,0.0
2014-07-04,4.03
2014-07-05,8.32
2014-07-06,0.0
2014-07-07,6.11
2014-07-08,0.0
2014-07-09,5.720000000000001
2014-07-10,0.0
2014-07-11,7.67
2014-07-12,0.0
2014-07-13,0.0
2014-07-14,8.97
2014-07-15,2.99
2014-07-16,0.0
2014-07-17,4.94
2014-07-18,0.0
2014-07-19,0.0
2014-07-20,7.67
2014-07-21,0.0
2014-07-22,0.0
2014-07-23,10.66
2014-07-24,8.97
2014-07-25,0.0
2014-07-26,4.55
2014-07-27,0.0
2014-07-28,0.0
2014-07-29,13.0
2014-07-30,6.37
2014-07-31,9.36
2014-08-01,2.4
2014-08-02,3.0
2014-08-03,11.04
2014-08-04,10.32
2014-08-05,4.8
2014-08-06,3.0
2014-08-07,9.24
2014-08-08,0.0
2014-08-09,0.0
2014-08-10,0.0
2014-08-11,0.0
2014-08-12,4.92
2014-08-13,4.08
2014-08-14,6.84
2014-08-15,4.32
2014-08-16,0.0
2014-08-17,3.24
2014-08-18,5.279999999999999
2014-08-19,4.32
2014-08-20,0.0
2014-08-21,0.0
2014-08-22,12.0
2014-08-23,0.0
2014-08-24,2.88
2014-08-25,4.56
2014-08-26,5.4
2014-08-27,4.68
2014-08-28,6.0
2014-08-29,2.76
2014-08-30,0.0
2014-08-31,0.0
2014-09-01,6.6000000000000005
2014-09-02,6.2
2014-09-03,6.7
2014-09-04,4.9
2014-09-05,0.0
2014-09-06,0.0
2014-09-07,0.0
2014-09-08,5.2
