date,PG
2014-06-16,52.29
2014-06-17,54.81
2014-06-18,49.77
2014-06-19,47.25
2014-06-20,57.33
2014-06-21,47.25
2014-06-22,49.77
2014-06-23,56.07
2014-06-24,52.92
2014-06-25,57.96
2014-06-26,56.7
2014-06-27,60.48
2014-06-28,51.66
2014-06-29,51.66
2014-06-30,52.92
2014-07-01,63.0
2014-07-02,56.07
2014-07-03,49.14
2014-07-04,50.4
2014-07-05,48.51
2014-07-06,41.58
2014-07-07,49.14
2014-07-08,45.99
2014-07-09,52.92
2014-07-10,44.73
2014-07-11,51.03
2014-07-12,45.36
2014-07-13,45.99
2014-07-14,51.03
2014-07-15,44.73
2014-07-16,50.4
2014-07-17,52.92
2014-07-18,51.03
2014-07-19,51.03
2014-07-20,45.99
2014-07-21,52.29
2014-07-22,54.18
2014-07-23,50.4
2014-07-24,49.77
2014-07-25,57.33
2014-07-26,52.29
2014-07-27,45.36
2014-07-28,52.92
2014-07-29,46.62
2014-07-30,52.29
2014-07-31,49.14
2014-08-01,52.44
2014-08-02,69.0
2014-08-03,56.58
2014-08-04,53.13
2014-08-05,51.06
2014-08-06,53.81999999999999
2014-08-07,49.67999999999999
2014-08-08,53.13
2014-08-09,48.99
2014-08-10,42.78
2014-08-11,45.54
2014-08-12,46.23
2014-08-13,49.67999999999999
2014-08-14,46.23
2014-08-15,51.06
2014-08-16,44.16
2014-08-17,44.85
2014-08-18,47.61
2014-08-19,51.06
2014-08-20,49.67999999999999
2014-08-21,46.92
2014-08-22,48.3
2014-08-23,44.85
2014-08-24,46.23
2014-08-25,50.37
2014-08-26,51.74999999999999
2014-08-27,46.23
2014-08-28,49.67999999999999
2014-08-29,42.78
2014-08-30,47.61
2014-08-31,39.33
2014-09-01,47.25
2014-09-02,52.29
2014-09-03,63.0
2014-09-04,46.62
2014-09-05,52.29
2014-09-06,42.21
2014-09-07,33.39
2014-09-08,56.7
2014-09-09,51.03
2014-09-10,51.66
2014-09-11,47.25
2014-09-12,47.25
2014-09-13,43.47
2014-09-14,39.06
2014-09-15,47.25
2014-09-16,51.66
2014-09-17,49.77
2014-09-18,53.55
2014-09-19,49.14
2014-09-20,40.32
2014-09-21,37.8
2014-09-22,45.99
2014-09-23,51.03
2014-09-24,54.81
2014-09-25,49.77
2014-09-26,51.03
2014-09-27,39.69
2014-09-28,42.21
2014-09-29,52.29
2014-09-30,52.29
2014-10-01,57.42
2014-10-02,57.42
2014-10-03,49.5
2014-10-04,50.16
2014-10-05,44.22
2014-10-06,51.48
2014-10-07,57.42
2014-10-08,53.46
2014-10-09,50.82
2014-10-10,52.14
2014-10-11,45.54
2014-10-12,56.1
2014-10-13,56.760000000000005
2014-10-14,55.440000000000005
2014-10-15,58.74
2014-10-16,52.14
2014-10-17,53.46
2014-10-18,44.88
2014-10-19,42.24
2014-10-20,53.46
2014-10-21,54.78
2014-10-22,52.14
2014-10-23,53.46
2014-10-24,58.080000000000005
2014-10-25,45.54
2014-10-26,54.78
2014-10-27,54.120000000000005
2014-10-28,57.42
2014-10-29,58.74
2014-10-30,63.36
2014-10-31,66.0
2014-11-01,59.85
2014-11-02,48.51
2014-11-03,57.33
2014-11-04,63.0
2014-11-05,56.7
2014-11-06,51.03
2014-11-07,54.81
2014-11-08,52.92
2014-11-09,46.62
2014-11-10,55.44
2014-11-11,55.44
2014-11-12,52.92
2014-11-13,63.0
2014-11-14,55.44
2014-11-15,49.14
2014-11-16,45.99
2014-11-17,54.18
2014-11-18,60.48
2014-11-19,57.96
2014-11-20,55.44
2014-11-21,55.44
2014-11-22,50.4
2014-11-23,51.66
2014-11-24,51.66
2014-11-25,48.51
2014-11-26,42.84
2014-11-27,40.32
2014-11-28,35.28
2014-11-29,44.1
2014-11-30,52.29
2014-12-01,53.040000000000006
2014-12-02,49.64
2014-12-03,67.32000000000001
2014-12-04,61.88
2014-12-05,59.84
2014-12-06,44.2
2014-12-07,46.24
2014-12-08,64.60000000000001
2014-12-09,68.0
2014-12-10,60.52
2014-12-11,64.60000000000001
2014-12-12,58.48
2014-12-13,49.64
2014-12-14,47.6
2014-12-15,57.120000000000005
2014-12-16,59.16
2014-12-17,63.24
2014-12-18,61.2
2014-12-19,60.52
2014-12-20,48.96
2014-12-21,50.32
2014-12-22,52.36000000000001
2014-12-23,49.64
2014-12-24,53.720000000000006
2014-12-25,40.8
2014-12-26,56.440000000000005
2014-12-27,48.96
2014-12-28,43.52
2014-12-29,53.040000000000006
2014-12-30,54.400000000000006
2014-12-31,61.2
2015-01-01,48.24
2015-01-02,46.8
2015-01-03,51.84
2015-01-04,46.8
2015-01-05,49.68
2015-01-06,64.08
2015-01-07,59.04
2015-01-08,58.32
2015-01-09,58.32
2015-01-10,46.8
2015-01-11,45.36
2015-01-12,59.76
2015-01-13,61.2
2015-01-14,70.56
2015-01-15,54.0
2015-01-16,56.16
2015-01-17,46.08
2015-01-18,48.24
2015-01-19,48.96
2015-01-20,59.76
2015-01-21,61.92
2015-01-22,61.2
2015-01-23,56.16
2015-01-24,45.36
2015-01-25,43.92
2015-01-26,61.92
2015-01-27,72.0
2015-01-28,64.8
2015-01-29,57.6
2015-01-30,58.32
2015-01-31,51.12
2015-02-01,46.08
2015-02-02,55.44
2015-02-03,61.2
2015-02-04,61.2
2015-02-05,63.36
2015-02-06,62.64
2015-02-07,50.4
2015-02-08,56.16
2015-02-09,57.6
2015-02-10,61.2
2015-02-11,58.32
2015-02-12,56.88
2015-02-13,61.92
2015-02-14,51.84
2015-02-15,45.36
2015-02-16,55.44
2015-02-17,64.8
2015-02-18,72.0
2015-02-19,64.08
2015-02-20,65.52
2015-02-21,54.72
2015-02-22,54.0
2015-02-23,64.08
2015-02-24,72.0
2015-02-25,64.8
2015-02-26,68.39999999999999
2015-02-27,62.64
2015-02-28,51.84
2015-03-01,63.0
2015-03-02,75.0
2015-03-03,66.75
2015-03-04,72.0
2015-03-05,75.0
2015-03-06,67.5
2015-03-07,69.0
2015-03-08,55.5
2015-03-09,63.75
2015-03-10,65.25
2015-03-11,66.0
2015-03-12,66.0
2015-03-13,63.75
2015-03-14,60.0
2015-03-15,54.0
2015-03-16,68.25
2015-03-17,63.75
2015-03-18,61.5
2015-03-19,63.0
2015-03-20,69.75
2015-03-21,57.0
2015-03-22,51.75
2015-03-23,63.75
2015-03-24,68.25
2015-03-25,52.5
2015-03-26,63.0
2015-03-27,66.75
2015-03-28,51.75
2015-03-29,51.75
2015-03-30,62.25
2015-03-31,73.5
2015-04-01,59.63
2015-04-02,55.61000000000001
2015-04-03,56.95
2015-04-04,48.24
2015-04-05,56.95
2015-04-06,56.95
2015-04-07,58.290000000000006
2015-04-08,59.63
2015-04-09,57.620000000000005
2015-04-10,62.98
2015-04-11,48.24
2015-04-12,54.27
2015-04-13,54.940000000000005
2015-04-14,64.99000000000001
2015-04-15,58.96
2015-04-16,54.940000000000005
2015-04-17,56.95
2015-04-18,52.260000000000005
2015-04-19,47.57
2015-04-20,58.96
2015-04-21,58.96
2015-04-22,58.96
2015-04-23,62.31
2015-04-24,60.970000000000006
2015-04-25,56.28
2015-04-26,52.260000000000005
2015-04-27,60.3
2015-04-28,67.0
2015-04-29,64.99000000000001
2015-04-30,60.970000000000006
2015-05-01,66.03
2015-05-02,47.57
2015-05-03,51.12
2015-05-04,63.9
2015-05-05,59.64
2015-05-06,63.9
2015-05-07,60.35
2015-05-08,62.48
2015-05-09,51.83
2015-05-10,46.86
2015-05-11,63.19
2015-05-12,68.86999999999999
2015-05-13,58.93
2015-05-14,60.35
2015-05-15,68.16
2015-05-16,51.12
2015-05-17,53.25
2015-05-18,63.19
2015-05-19,63.19
2015-05-20,66.74
2015-05-21,66.74
2015-05-22,71.0
2015-05-23,57.51
2015-05-24,58.22
2015-05-25,65.32
2015-05-26,66.03
2015-05-27,64.61
2015-05-28,64.61
2015-05-29,60.35
2015-05-30,58.93
2015-05-31,53.25
2015-06-01,73.0
2015-06-02,56.94
2015-06-03,58.4
2015-06-04,57.67
2015-06-05,60.59
2015-06-06,59.86
2015-06-07,56.94
2015-06-08,59.13
2015-06-09,66.42999999999999
2015-06-10,59.86
2015-06-11,58.4
2015-06-12,70.81
2015-06-13,62.05
2015-06-14,52.56
2015-06-15,62.78
2015-06-16,57.67
2015-06-17,61.32
2015-06-18,70.08
2015-06-19,70.08
2015-06-20,54.75
2015-06-21,54.75
2015-06-22,68.62
2015-06-23,64.97
2015-06-24,62.78
2015-06-25,54.02
2015-06-26,60.59
2015-06-27,50.37
2015-06-28,46.72
