date,Microsoft Stock Price
2014-04-24,3.7600000000000002
2014-04-25,4.64
2014-04-26,2.08
2014-04-27,5.76
2014-04-28,3.36
2014-04-29,4.24
2014-04-30,2.56
2014-05-01,4.26
2014-05-02,4.38
2014-05-03,1.7999999999999998
2014-05-04,4.68
2014-05-05,4.02
2014-05-06,4.2
2014-05-07,3.6599999999999997
2014-05-08,2.58
2014-05-09,3.42
2014-05-10,0.0
2014-05-11,4.14
2014-05-12,2.52
2014-05-13,4.2
2014-05-14,2.76
2014-05-15,2.82
2014-05-16,1.3199999999999998
2014-05-17,2.34
2014-05-18,1.7999999999999998
2014-05-19,2.04
2014-05-20,3.5999999999999996
2014-05-21,3.48
2014-05-22,0.0
2014-05-23,3.48
2014-05-24,0.0
2014-05-25,1.7999999999999998
2014-05-26,0.0
2014-05-27,0.0
2014-05-28,2.2199999999999998
2014-05-29,4.02
2014-05-30,1.5
2014-05-31,6.0
2014-06-01,2.5500000000000003
2014-06-02,0.0
2014-06-03,2.6
2014-06-04,1.9500000000000002
2014-06-05,0.0
2014-06-06,5.0
2014-06-07,0.0
2014-06-08,0.0
2014-06-09,3.5500000000000003
2014-06-10,2.5
2014-06-11,3.8000000000000003
2014-06-12,1.4000000000000001
2014-06-13,1.1500000000000001
2014-06-14,0.0
2014-06-15,0.0
2014-06-16,1.35
2014-06-17,2.3000000000000003
2014-06-18,0.0
2014-06-19,1.9500000000000002
2014-06-20,0.0
2014-06-21,1.35
2014-06-22,1.85
2014-06-23,1.4000000000000001
2014-06-24,2.6
2014-06-25,1.1500000000000001
2014-06-26,3.25
2014-06-27,1.9500000000000002
2014-06-28,1.6
2014-06-29,0.0
2014-06-30,1.6500000000000001
2014-07-01,1.8900000000000001
2014-07-02,1.8900000000000001
2014-07-03,1.12
2014-07-04,0.0
2014-07-05,3.8500000000000005
2014-07-06,1.1900000000000002
2014-07-07,0.0
2014-07-08,3.7800000000000002
2014-07-09,2.0300000000000002
2014-07-10,0.0
2014-07-11,1.61
2014-07-12,0.0
2014-07-13,7.000000000000001
2014-07-14,2.1700000000000004
2014-07-15,3.8500000000000005
2014-07-16,0.0
2014-07-17,6.44
2014-07-18,6.720000000000001
2014-07-19,1.1900000000000002
2014-07-20,3.5000000000000004
2014-07-21,3.22
2014-07-22,4.69
2014-07-23,6.16
2014-07-24,5.180000000000001
2014-07-25,4.48
2014-07-26,4.62
2014-07-27,1.61
2014-07-28,2.31
2014-07-29,3.43
2014-07-30,2.31
2014-07-31,3.3600000000000003
2014-08-01,3.6599999999999997
2014-08-02,0.0
2014-08-03,1.3199999999999998
2014-08-04,1.44
2014-08-05,1.7999999999999998
2014-08-06,1.5
2014-08-07,6.0
2014-08-08,0.72
2014-08-09,0.96
2014-08-10,1.08
2014-08-11,0.0
2014-08-12,1.26
2014-08-13,0.84
2014-08-14,1.2
2014-08-15,0.96
2014-08-16,1.5
2014-08-17,0.0
2014-08-18,3.2399999999999998
2014-08-19,3.96
2014-08-20,3.48
2014-08-21,1.92
2014-08-22,2.94
2014-08-23,0.0
2014-08-24,1.26
2014-08-25,1.98
2014-08-26,1.02
2014-08-27,2.4
2014-08-28,0.84
2014-08-29,1.14
2014-08-30,0.0
2014-08-31,0.0
2014-09-01,1.2
2014-09-02,3.04
2014-09-03,0.0
2014-09-04,1.84
2014-09-05,3.6
2014-09-06,1.2
2014-09-07,4.4
2014-09-08,0.0
2014-09-09,1.04
2014-09-10,2.4
2014-09-11,4.72
2014-09-12,1.68
2014-09-13,0.0
2014-09-14,0.0
2014-09-15,3.12
2014-09-16,5.36
2014-09-17,3.44
2014-09-18,4.4
2014-09-19,8.0
2014-09-20,1.6
2014-09-21,2.72
2014-09-22,4.64
2014-09-23,3.04
2014-09-24,2.96
2014-09-25,3.2
2014-09-26,3.7600000000000002
2014-09-27,2.32
2014-09-28,0.0
2014-09-29,1.92
2014-09-30,4.32
2014-10-01,3.6
2014-10-02,2.88
2014-10-03,7.76
2014-10-04,0.0
2014-10-05,0.0
2014-10-06,4.72
2014-10-07,1.76
2014-10-08,6.0
2014-10-09,5.5200000000000005
2014-10-10,0.0
2014-10-11,4.8
2014-10-12,2.16
2014-10-13,6.48
2014-10-14,7.76
2014-10-15,6.16
2014-10-16,5.44
2014-10-17,6.32
2014-10-18,0.0
2014-10-19,0.0
2014-10-20,3.7600000000000002
2014-10-21,2.4
2014-10-22,2.48
2014-10-23,7.68
2014-10-24,6.8
2014-10-25,0.0
2014-10-26,2.56
2014-10-27,3.04
2014-10-28,8.0
2014-10-29,3.44
2014-10-30,4.16
2014-10-31,5.44
2014-11-01,1.4700000000000002
2014-11-02,0.0
2014-11-03,3.7100000000000004
2014-11-04,6.930000000000001
2014-11-05,7.000000000000001
2014-11-06,6.510000000000001
2014-11-07,4.9
2014-11-08,1.7500000000000002
2014-11-09,2.9400000000000004
2014-11-10,4.2700000000000005
2014-11-11,3.3600000000000003
2014-11-12,3.6400000000000006
2014-11-13,4.48
2014-11-14,2.66
2014-11-15,0.0
2014-11-16,3.0100000000000002
2014-11-17,5.6000000000000005
2014-11-18,4.9
2014-11-19,3.22
2014-11-20,2.5900000000000003
2014-11-21,2.7300000000000004
2014-11-22,0.0
2014-11-23,0.0
2014-11-24,2.1700000000000004
2014-11-25,0.0
2014-11-26,2.3800000000000003
2014-11-27,0.0
2014-11-28,4.760000000000001
2014-11-29,1.4000000000000001
2014-11-30,0.0
2014-12-01,2.1700000000000004
2014-12-02,5.95
2014-12-03,3.22
2014-12-04,2.5900000000000003
2014-12-05,4.2700000000000005
2014-12-06,2.5900000000000003
2014-12-07,1.33
2014-12-08,6.930000000000001
2014-12-09,6.65
2014-12-10,2.5200000000000005
2014-12-11,2.1
2014-12-12,1.2600000000000002
2014-12-13,2.31
2014-12-14,2.66
2014-12-15,1.4700000000000002
2014-12-16,7.000000000000001
2014-12-17,4.69
2014-12-18,4.69
2014-12-19,3.2900000000000005
