date,DIS
2014-02-10,0.8
2014-02-11,1.15
2014-02-12,0.0
2014-02-13,5.0
2014-02-14,1.75
2014-02-15,1.95
2014-02-16,1.6
2014-02-17,2.75
2014-02-18,1.2000000000000002
2014-02-19,4.5
2014-02-20,1.6
2014-02-21,2.35
2014-02-22,1.6
2014-02-23,2.2
2014-02-24,3.8
2014-02-25,2.4000000000000004
2014-02-26,1.9
2014-02-27,0.7000000000000001
2014-02-28,1.9
2014-03-01,0.88
2014-03-02,0.0
2014-03-03,4.0
2014-03-04,2.64
2014-03-05,1.56
2014-03-06,2.36
2014-03-07,2.92
2014-03-08,3.76
2014-03-09,2.32
2014-03-10,3.44
2014-03-11,3.6
2014-03-12,1.88
2014-03-13,1.32
2014-03-14,0.0
2014-03-15,1.36
2014-03-16,0.0
2014-03-17,2.76
2014-03-18,2.84
2014-03-19,2.24
2014-03-20,2.16
2014-03-21,1.64
2014-03-22,0.0
2014-03-23,0.0
2014-03-24,1.36
2014-03-25,2.36
2014-03-26,1.36
2014-03-27,2.12
2014-03-28,0.76
2014-03-29,1.52
2014-03-30,0.8
2014-03-31,2.36
2014-04-01,3.24
2014-04-02,2.36
2014-04-03,0.96
2014-04-04,1.76
2014-04-05,1.56
2014-04-06,0.0
2014-04-07,1.32
2014-04-08,1.32
2014-04-09,1.0
2014-04-10,2.88
2014-04-11,2.08
2014-04-12,1.52
2014-04-13,0.84
2014-04-14,1.04
2014-04-15,2.12
2014-04-16,1.72
2014-04-17,1.04
2014-04-18,2.04
2014-04-19,0.0
2014-04-20,4.0
2014-04-21,1.6
2014-04-22,1.36
2014-04-23,2.0
2014-04-24,0.0
2014-04-25,1.32
2014-04-26,2.44
2014-04-27,0.68
2014-04-28,0.0
2014-04-29,1.16
2014-04-30,1.72
2014-05-01,1.6
2014-05-02,1.95
2014-05-03,0.95
2014-05-04,0.9
2014-05-05,1.2000000000000002
2014-05-06,3.9
2014-05-07,3.1500000000000004
2014-05-08,2.15
2014-05-09,2.0500000000000003
2014-05-10,0.0
2014-05-11,0.0
2014-05-12,5.0
2014-05-13,1.85
2014-05-14,0.0
2014-05-15,3.85
2014-05-16,2.95
2014-05-17,0.0
2014-05-18,0.0
2014-05-19,2.7
2014-05-20,4.75
2014-05-21,1.5
2014-05-22,2.6
2014-05-23,0.0
2014-05-24,4.55
2014-05-25,1.55
2014-05-26,1.65
2014-05-27,4.3
2014-05-28,3.3000000000000003
2014-05-29,1.8
2014-05-30,1.05
2014-05-31,1.2000000000000002
2014-06-01,1.35
2014-06-02,1.6
2014-06-03,1.75
2014-06-04,2.35
2014-06-05,5.0
2014-06-06,2.85
2014-06-07,0.0
2014-06-08,1.35
2014-06-09,1.55
2014-06-10,5.0
2014-06-11,3.45
2014-06-12,3.0
2014-06-13,3.0500000000000003
2014-06-14,0.0
2014-06-15,0.0
2014-06-16,2.2
2014-06-17,3.45
2014-06-18,2.15
2014-06-19,4.8500000000000005
2014-06-20,3.4000000000000004
2014-06-21,0.0
2014-06-22,0.0
2014-06-23,4.9
2014-06-24,4.15
2014-06-25,0.0
2014-06-26,3.2
2014-06-27,4.5
2014-06-28,0.0
2014-06-29,2.0500000000000003
2014-06-30,2.5
2014-07-01,1.35
2014-07-02,2.0
2014-07-03,2.6
2014-07-04,0.0
2014-07-05,0.9
2014-07-06,0.0
2014-07-07,2.4000000000000004
2014-07-08,2.0
2014-07-09,2.25
2014-07-10,0.0
2014-07-11,1.25
2014-07-12,1.1
2014-07-13,1.2000000000000002
2014-07-14,0.0
2014-07-15,1.4
2014-07-16,1.65
2014-07-17,1.35
2014-07-18,1.7000000000000002
2014-07-19,0.65
2014-07-20,0.0
2014-07-21,0.65
2014-07-22,2.75
2014-07-23,5.0
2014-07-24,0.8500000000000001
2014-07-25,2.3000000000000003
2014-07-26,1.4500000000000002
2014-07-27,1.0
2014-07-28,0.6000000000000001
2014-07-29,1.55
2014-07-30,1.65
2014-07-31,2.2
2014-08-01,2.88
2014-08-02,1.5
2014-08-03,0.0
2014-08-04,1.92
2014-08-05,2.28
2014-08-06,2.82
2014-08-07,3.66
2014-08-08,2.64
2014-08-09,2.16
2014-08-10,2.16
2014-08-11,3.72
2014-08-12,2.88
2014-08-13,2.88
2014-08-14,3.78
2014-08-15,4.08
2014-08-16,0.0
2014-08-17,0.0
2014-08-18,5.279999999999999
2014-08-19,6.0
2014-08-20,3.42
2014-08-21,4.38
2014-08-22,4.5
2014-08-23,3.54
