date,AXP
2014-03-16,7.35
2014-03-17,0.0
2014-03-18,0.0
2014-03-19,5.1
2014-03-20,8.549999999999999
2014-03-21,0.0
2014-03-22,0.0
2014-03-23,0.0
2014-03-24,0.0
2014-03-25,0.0
2014-03-26,0.0
2014-03-27,0.0
2014-03-28,0.0
2014-03-29,7.5
2014-03-30,0.0
2014-03-31,7.8
2014-04-01,0.0
2014-04-02,0.0
2014-04-03,0.0
2014-04-04,0.0
2014-04-05,12.3
2014-04-06,0.0
2014-04-07,0.0
2014-04-08,0.0
2014-04-09,6.45
2014-04-10,0.0
2014-04-11,0.0
2014-04-12,9.75
2014-04-13,0.0
2014-04-14,15.0
2014-04-15,0.0
2014-04-16,0.0
2014-04-17,0.0
2014-04-18,0.0
2014-04-19,0.0
2014-04-20,0.0
2014-04-21,0.0
2014-04-22,5.4
2014-04-23,6.3
2014-04-24,0.0
2014-04-25,0.0
2014-04-26,0.0
2014-04-27,0.0
2014-04-28,0.0
2014-04-29,0.0
2014-04-30,0.0
2014-05-01,4.32
2014-05-02,0.0
2014-05-03,0.0
2014-05-04,0.0
2014-05-05,8.1
2014-05-06,3.6
2014-05-07,0.0
2014-05-08,0.0
2014-05-09,9.0
2014-05-10,0.0
2014-05-11,0.0
2014-05-12,0.0
2014-05-13,0.0
2014-05-14,0.0
2014-05-15,0.0
2014-05-16,0.0
2014-05-17,0.0
2014-05-18,0.0
2014-05-19,4.5
2014-05-20,0.0
2014-05-21,4.32
2014-05-22,0.0
2014-05-23,15.66
2014-05-24,0.0
2014-05-25,0.0
2014-05-26,18.0
2014-05-27,0.0
2014-05-28,0.0
2014-05-29,8.82
2014-05-30,5.76
2014-05-31,0.0
2014-06-01,0.0
2014-06-02,0.0
2014-06-03,0.0
2014-06-04,2.07
2014-06-05,0.0
2014-06-06,2.25
2014-06-07,0.0
2014-06-08,0.0
2014-06-09,0.0
2014-06-10,0.0
2014-06-11,0.0
2014-06-12,0.0
2014-06-13,0.0
2014-06-14,0.0
2014-06-15,0.0
2014-06-16,0.0
2014-06-17,0.0
2014-06-18,0.0
2014-06-19,0.0
2014-06-20,0.0
2014-06-21,0.0
2014-06-22,9.0
2014-06-23,0.0
2014-06-24,1.44
2014-06-25,0.0
2014-06-26,2.79
2014-06-27,0.0
2014-06-28,0.0
2014-06-29,7.109999999999999
2014-06-30,0.0
2014-07-01,8.8
2014-07-02,0.0
2014-07-03,9.44
2014-07-04,9.44
2014-07-05,0.0
2014-07-06,0.0
2014-07-07,0.0
2014-07-08,0.0
2014-07-09,0.0
2014-07-10,0.0
2014-07-11,9.6
2014-07-12,0.0
2014-07-13,0.0
2014-07-14,0.0
2014-07-15,0.0
2014-07-16,0.0
2014-07-17,10.56
2014-07-18,0.0
2014-07-19,0.0
2014-07-20,0.0
2014-07-21,0.0
2014-07-22,0.0
2014-07-23,0.0
2014-07-24,0.0
2014-07-25,0.0
2014-07-26,0.0
2014-07-27,0.0
2014-07-28,0.0
2014-07-29,16.0
2014-07-30,8.0
2014-07-31,11.68
2014-08-01,0.0
2014-08-02,0.0
2014-08-03,0.0
2014-08-04,0.0
2014-08-05,5.16
2014-08-06,0.0
2014-08-07,0.0
2014-08-08,0.0
2014-08-09,0.0
2014-08-10,5.16
2014-08-11,0.0
2014-08-12,0.0
2014-08-13,0.0
2014-08-14,0.0
2014-08-15,0.0
2014-08-16,6.12
2014-08-17,0.0
2014-08-18,0.0
2014-08-19,0.0
2014-08-20,5.64
2014-08-21,0.0
2014-08-22,0.0
2014-08-23,5.279999999999999
2014-08-24,0.0
2014-08-25,12.0
2014-08-26,0.0
2014-08-27,0.0
2014-08-28,0.0
2014-08-29,0.0
2014-08-30,0.0
2014-08-31,0.0
2014-09-01,0.0
2014-09-02,0.0
2014-09-03,0.0
2014-09-04,0.0
2014-09-05,0.0
2014-09-06,0.0
2014-09-07,0.0
2014-09-08,0.0
2014-09-09,0.0
2014-09-10,6.2
2014-09-11,17.6
2014-09-12,0.0
2014-09-13,0.0
2014-09-14,0.0
2014-09-15,0.0
2014-09-16,0.0
2014-09-17,0.0
2014-09-18,0.0
2014-09-19,0.0
2014-09-20,7.6
2014-09-21,0.0
2014-09-22,12.8
2014-09-23,12.4
2014-09-24,0.0
2014-09-25,0.0
2014-09-26,13.4
2014-09-27,0.0
2014-09-28,20.0
2014-09-29,0.0
2014-09-30,0.0
2014-10-01,0.0
2014-10-02,0.0
2014-10-03,6.6000000000000005
2014-10-04,18.8
2014-10-05,0.0
2014-10-06,18.2
2014-10-07,0.0
