date,BA
2014-02-05,2.88
2014-02-06,0.0
2014-02-07,1.48
2014-02-08,1.4
2014-02-09,0.8
2014-02-10,1.08
2014-02-11,2.88
2014-02-12,2.04
2014-02-13,1.56
2014-02-14,2.56
2014-02-15,1.84
2014-02-16,1.44
2014-02-17,0.0
2014-02-18,1.96
2014-02-19,2.52
2014-02-20,0.76
2014-02-21,1.32
2014-02-22,1.96
2014-02-23,0.0
2014-02-24,0.0
2014-02-25,3.56
2014-02-26,0.6
2014-02-27,0.0
2014-02-28,2.08
2014-03-01,0.0
2014-03-02,0.0
2014-03-03,1.68
2014-03-04,0.56
2014-03-05,2.2
2014-03-06,1.48
2014-03-07,1.44
2014-03-08,1.08
2014-03-09,0.88
2014-03-10,0.84
2014-03-11,3.56
2014-03-12,2.6
2014-03-13,1.2
2014-03-14,2.36
2014-03-15,0.0
2014-03-16,0.0
2014-03-17,2.08
2014-03-18,1.88
2014-03-19,1.6
2014-03-20,4.0
2014-03-21,1.56
2014-03-22,0.0
2014-03-23,0.0
2014-03-24,2.84
2014-03-25,0.88
2014-03-26,1.88
2014-03-27,1.56
2014-03-28,1.72
2014-03-29,1.16
2014-03-30,0.0
2014-03-31,1.76
2014-04-01,0.0
2014-04-02,1.56
2014-04-03,1.89
2014-04-04,2.82
2014-04-05,0.0
2014-04-06,1.2
2014-04-07,1.23
2014-04-08,1.92
2014-04-09,0.0
2014-04-10,2.34
2014-04-11,0.0
2014-04-12,0.0
2014-04-13,1.56
2014-04-14,2.88
2014-04-15,3.0
2014-04-16,0.0
2014-04-17,1.35
2014-04-18,1.2
2014-04-19,1.11
2014-04-20,0.0
2014-04-21,0.0
2014-04-22,2.4
2014-04-23,1.14
2014-04-24,0.0
2014-04-25,1.35
2014-04-26,1.29
2014-04-27,0.0
2014-04-28,1.35
2014-04-29,2.04
2014-04-30,1.2
2014-05-01,2.52
2014-05-02,0.0
2014-05-03,1.17
2014-05-04,2.07
2014-05-05,1.7999999999999998
2014-05-06,0.0
2014-05-07,1.35
2014-05-08,3.0
2014-05-09,2.28
2014-05-10,3.0
2014-05-11,0.0
2014-05-12,0.0
2014-05-13,2.58
2014-05-14,1.29
2014-05-15,1.38
2014-05-16,0.0
2014-05-17,1.7999999999999998
2014-05-18,0.84
2014-05-19,1.95
2014-05-20,1.05
2014-05-21,2.04
2014-05-22,0.0
2014-05-23,0.0
2014-05-24,0.0
2014-05-25,0.0
2014-05-26,0.0
2014-05-27,0.75
2014-05-28,1.23
2014-05-29,1.26
2014-05-30,1.3199999999999998
2014-05-31,0.0
2014-06-01,0.0
2014-06-02,1.02
2014-06-03,1.12
2014-06-04,0.94
2014-06-05,0.0
2014-06-06,2.0
2014-06-07,0.0
2014-06-08,0.74
2014-06-09,0.52
2014-06-10,0.46
2014-06-11,0.52
2014-06-12,1.2
2014-06-13,0.52
2014-06-14,0.0
2014-06-15,0.0
2014-06-16,1.08
2014-06-17,1.26
2014-06-18,0.0
2014-06-19,0.0
2014-06-20,1.16
2014-06-21,0.0
2014-06-22,0.0
2014-06-23,0.0
2014-06-24,0.0
2014-06-25,0.44
2014-06-26,0.0
2014-06-27,1.58
2014-06-28,0.0
2014-06-29,0.0
2014-06-30,1.4
2014-07-01,0.0
2014-07-02,0.0
2014-07-03,1.56
2014-07-04,0.0
2014-07-05,3.0
2014-07-06,1.3199999999999998
2014-07-07,0.0
2014-07-08,1.38
2014-07-09,0.0
2014-07-10,1.86
2014-07-11,1.68
2014-07-12,0.0
2014-07-13,0.0
2014-07-14,0.0
2014-07-15,1.14
2014-07-16,2.31
2014-07-17,1.35
2014-07-18,2.52
2014-07-19,0.0
2014-07-20,0.0
2014-07-21,1.86
2014-07-22,1.47
2014-07-23,2.34
2014-07-24,1.59
2014-07-25,0.0
2014-07-26,0.0
2014-07-27,0.0
2014-07-28,2.1
2014-07-29,1.95
2014-07-30,0.0
2014-07-31,0.72
2014-08-01,1.04
2014-08-02,0.0
2014-08-03,0.0
2014-08-04,1.1
2014-08-05,0.96
2014-08-06,0.0
2014-08-07,0.0
2014-08-08,0.96
2014-08-09,0.0
2014-08-10,0.0
2014-08-11,0.96
2014-08-12,0.86
2014-08-13,0.92
2014-08-14,0.0
2014-08-15,2.0
2014-08-16,0.0
2014-08-17,1.28
2014-08-18,1.08
2014-08-19,0.9
2014-08-20,1.92
2014-08-21,0.7000000000000001
2014-08-22,1.54
2014-08-23,1.16
2014-08-24,0.0
2014-08-25,0.0
2014-08-26,0.0
2014-08-27,0.9
2014-08-28,0.0
2014-08-29,1.76
2014-08-30,0.0
2014-08-31,0.0
2014-09-01,0.0
2014-09-02,1.53
2014-09-03,1.83
2014-09-04,0.0
2014-09-05,1.35
2014-09-06,1.41
2014-09-07,0.0
2014-09-08,1.65
2014-09-09,1.71
2014-09-10,2.85
2014-09-11,2.4
2014-09-12,1.17
2014-09-13,3.0
2014-09-14,0.0
2014-09-15,0.8999999999999999
2014-09-16,2.16
2014-09-17,2.61
2014-09-18,2.22
2014-09-19,0.0
2014-09-20,1.17
2014-09-21,0.0
2014-09-22,1.65
2014-09-23,2.4
2014-09-24,0.0
2014-09-25,3.0
2014-09-26,2.13
2014-09-27,0.0
2014-09-28,0.0
2014-09-29,1.5
2014-09-30,2.31
2014-10-01,1.44
2014-10-02,1.56
2014-10-03,0.0
2014-10-04,0.0
2014-10-05,0.0
2014-10-06,1.32
2014-10-07,0.92
2014-10-08,0.0
2014-10-09,1.84
2014-10-10,2.12
2014-10-11,0.0
2014-10-12,0.0
2014-10-13,3.0
2014-10-14,1.36
2014-10-15,2.08
2014-10-16,1.04
2014-10-17,3.04
2014-10-18,0.0
2014-10-19,0.0
2014-10-20,0.0
2014-10-21,0.92
2014-10-22,0.0
2014-10-23,4.0
2014-10-24,2.36
2014-10-25,2.48
2014-10-26,0.0
2014-10-27,2.64
2014-10-28,1.0
2014-10-29,3.3200000000000003
2014-10-30,2.12
2014-10-31,0.0
2014-11-01,1.3199999999999998
2014-11-02,0.0
2014-11-03,0.84
2014-11-04,0.6599999999999999
2014-11-05,1.08
2014-11-06,1.7999999999999998
2014-11-07,2.49
2014-11-08,1.23
2014-11-09,0.0
2014-11-10,1.62
2014-11-11,0.93
2014-11-12,1.86
2014-11-13,1.3199999999999998
2014-11-14,1.41
2014-11-15,0.72
2014-11-16,2.16
2014-11-17,0.0
2014-11-18,1.08
2014-11-19,1.35
2014-11-20,0.0
2014-11-21,1.17
2014-11-22,0.0
2014-11-23,0.0
2014-11-24,0.72
2014-11-25,2.1
2014-11-26,2.07
2014-11-27,3.0
2014-11-28,0.0
2014-11-29,0.0
2014-11-30,0.0
2014-12-01,0.68
2014-12-02,0.0
2014-12-03,1.92
2014-12-04,2.04
2014-12-05,0.0
2014-12-06,0.0
2014-12-07,1.4
2014-12-08,0.0
2014-12-09,0.84
2014-12-10,1.04
2014-12-11,1.0
2014-12-12,1.92
2014-12-13,1.36
2014-12-14,1.52
2014-12-15,0.0
2014-12-16,4.0
2014-12-17,1.0
2014-12-18,1.2
2014-12-19,3.64
2014-12-20,2.12
2014-12-21,0.0
2014-12-22,0.0
2014-12-23,1.36
2014-12-24,1.56
2014-12-25,1.76
2014-12-26,2.08
2014-12-27,1.16
2014-12-28,0.0
2014-12-29,1.6
2014-12-30,2.92
2014-12-31,1.08
2015-01-01,2.28
2015-01-02,0.0
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,2.24
2015-01-06,0.92
2015-01-07,3.44
