date,VZ
2014-02-03,39.56
2014-02-04,35.42
2014-02-05,27.14
2014-02-06,38.64
2014-02-07,33.120000000000005
2014-02-08,22.080000000000002
2014-02-09,24.380000000000003
2014-02-10,29.900000000000002
2014-02-11,33.58
2014-02-12,32.660000000000004
2014-02-13,33.120000000000005
2014-02-14,29.900000000000002
2014-02-15,26.220000000000002
2014-02-16,24.84
2014-02-17,23.92
2014-02-18,46.0
2014-02-19,35.88
2014-02-20,44.620000000000005
2014-02-21,40.02
2014-02-22,24.380000000000003
2014-02-23,35.42
2014-02-24,43.24
2014-02-25,39.56
2014-02-26,46.0
2014-02-27,45.54
2014-02-28,40.480000000000004
2014-03-01,30.36
2014-03-02,26.84
2014-03-03,33.44
2014-03-04,29.92
2014-03-05,36.96
2014-03-06,44.0
2014-03-07,40.92
2014-03-08,26.4
2014-03-09,25.080000000000002
2014-03-10,32.12
2014-03-11,37.4
2014-03-12,31.24
2014-03-13,36.52
2014-03-14,36.08
2014-03-15,29.04
2014-03-16,29.04
2014-03-17,33.88
2014-03-18,39.6
2014-03-19,37.84
2014-03-20,35.2
2014-03-21,34.32
2014-03-22,18.04
2014-03-23,15.84
2014-03-24,38.28
2014-03-25,26.84
2014-03-26,40.48
2014-03-27,31.68
2014-03-28,36.52
2014-03-29,29.04
2014-03-30,19.36
2014-03-31,37.4
2014-04-01,39.6
2014-04-02,44.0
2014-04-03,36.08
2014-04-04,37.84
2014-04-05,29.92
2014-04-06,33.44
2014-04-07,35.2
2014-04-08,36.52
2014-04-09,40.48
2014-04-10,31.24
2014-04-11,40.48
2014-04-12,33.44
2014-04-13,23.76
2014-04-14,37.84
2014-04-15,27.28
2014-04-16,41.36
2014-04-17,36.08
2014-04-18,29.92
2014-04-19,29.48
2014-04-20,23.32
2014-04-21,25.96
2014-04-22,41.8
2014-04-23,30.36
2014-04-24,42.68
2014-04-25,37.84
2014-04-26,27.72
2014-04-27,29.92
2014-04-28,34.76
2014-04-29,28.6
2014-04-30,44.0
2014-05-01,27.900000000000002
2014-05-02,37.800000000000004
2014-05-03,22.95
2014-05-04,14.85
2014-05-05,26.1
2014-05-06,26.55
2014-05-07,31.05
2014-05-08,34.65
2014-05-09,26.55
2014-05-10,25.650000000000002
2014-05-11,25.2
2014-05-12,32.85
2014-05-13,27.900000000000002
2014-05-14,26.1
2014-05-15,31.95
2014-05-16,45.0
2014-05-17,25.650000000000002
2014-05-18,22.95
2014-05-19,33.75
2014-05-20,40.5
2014-05-21,37.35
2014-05-22,27.45
2014-05-23,35.550000000000004
2014-05-24,18.0
2014-05-25,18.45
2014-05-26,22.5
2014-05-27,34.2
2014-05-28,37.800000000000004
2014-05-29,31.95
2014-05-30,19.8
2014-05-31,9.0
2014-06-01,25.849999999999998
2014-06-02,43.239999999999995
2014-06-03,40.89
2014-06-04,36.66
2014-06-05,33.839999999999996
2014-06-06,35.72
2014-06-07,25.849999999999998
2014-06-08,15.51
2014-06-09,33.839999999999996
2014-06-10,39.01
2014-06-11,27.729999999999997
2014-06-12,38.07
2014-06-13,40.89
2014-06-14,28.669999999999998
2014-06-15,33.839999999999996
2014-06-16,36.66
2014-06-17,47.0
2014-06-18,35.25
2014-06-19,33.839999999999996
2014-06-20,32.43
2014-06-21,38.54
2014-06-22,32.43
2014-06-23,40.89
2014-06-24,33.37
2014-06-25,31.49
2014-06-26,39.949999999999996
2014-06-27,42.3
2014-06-28,36.19
2014-06-29,26.32
2014-06-30,31.02
2014-07-01,34.56
2014-07-02,48.0
2014-07-03,38.4
2014-07-04,28.32
2014-07-05,29.279999999999998
2014-07-06,23.52
2014-07-07,30.72
2014-07-08,36.0
2014-07-09,37.44
2014-07-10,37.44
2014-07-11,30.24
2014-07-12,30.72
2014-07-13,30.24
2014-07-14,29.279999999999998
2014-07-15,32.16
2014-07-16,31.68
2014-07-17,27.36
2014-07-18,37.44
2014-07-19,32.64
2014-07-20,25.439999999999998
2014-07-21,37.44
2014-07-22,42.72
2014-07-23,43.68
2014-07-24,41.76
2014-07-25,40.32
2014-07-26,29.279999999999998
2014-07-27,36.96
2014-07-28,34.56
2014-07-29,36.48
2014-07-30,36.96
2014-07-31,32.64
2014-08-01,42.75
2014-08-02,28.8
2014-08-03,28.35
2014-08-04,33.75
2014-08-05,41.85
2014-08-06,35.1
2014-08-07,33.300000000000004
2014-08-08,43.65
2014-08-09,31.95
2014-08-10,23.85
2014-08-11,29.25
2014-08-12,37.35
2014-08-13,34.2
2014-08-14,28.35
2014-08-15,40.050000000000004
2014-08-16,15.3
2014-08-17,32.85
2014-08-18,44.1
2014-08-19,41.4
2014-08-20,34.65
2014-08-21,27.0
2014-08-22,37.35
2014-08-23,29.7
2014-08-24,28.35
2014-08-25,39.15
2014-08-26,36.45
2014-08-27,40.050000000000004
2014-08-28,28.8
2014-08-29,45.0
2014-08-30,34.65
2014-08-31,27.45
2014-09-01,19.74
2014-09-02,30.66
2014-09-03,34.019999999999996
2014-09-04,35.699999999999996
2014-09-05,38.64
2014-09-06,35.699999999999996
2014-09-07,22.68
2014-09-08,29.82
2014-09-09,26.459999999999997
2014-09-10,37.379999999999995
2014-09-11,29.82
2014-09-12,33.18
2014-09-13,31.5
2014-09-14,23.52
2014-09-15,34.019999999999996
2014-09-16,36.54
2014-09-17,28.14
2014-09-18,36.12
2014-09-19,35.28
2014-09-20,29.4
2014-09-21,22.68
2014-09-22,36.54
2014-09-23,32.76
2014-09-24,26.88
2014-09-25,26.88
2014-09-26,34.44
2014-09-27,31.5
2014-09-28,26.459999999999997
2014-09-29,28.56
2014-09-30,42.0
2014-10-01,30.810000000000002
2014-10-02,31.200000000000003
2014-10-03,25.740000000000002
2014-10-04,26.52
2014-10-05,17.94
2014-10-06,24.96
2014-10-07,34.32
2014-10-08,25.35
2014-10-09,29.25
2014-10-10,28.470000000000002
2014-10-11,16.77
2014-10-12,15.600000000000001
2014-10-13,28.080000000000002
2014-10-14,29.25
2014-10-15,37.050000000000004
2014-10-16,30.810000000000002
2014-10-17,26.91
2014-10-18,21.84
2014-10-19,16.77
2014-10-20,27.3
2014-10-21,39.0
2014-10-22,31.200000000000003
2014-10-23,33.93
2014-10-24,37.83
2014-10-25,21.84
2014-10-26,16.77
2014-10-27,27.3
2014-10-28,35.1
2014-10-29,28.86
2014-10-30,26.52
2014-10-31,31.98
2014-11-01,22.0
2014-11-02,31.6
2014-11-03,33.2
2014-11-04,36.0
2014-11-05,26.0
2014-11-06,36.0
2014-11-07,38.400000000000006
2014-11-08,36.0
2014-11-09,23.6
2014-11-10,34.4
2014-11-11,40.0
2014-11-12,36.4
2014-11-13,32.0
2014-11-14,30.8
2014-11-15,19.200000000000003
2014-11-16,18.8
2014-11-17,36.0
2014-11-18,36.800000000000004
2014-11-19,32.0
2014-11-20,28.0
2014-11-21,35.6
2014-11-22,29.200000000000003
2014-11-23,23.200000000000003
2014-11-24,26.8
2014-11-25,37.2
2014-11-26,28.8
2014-11-27,33.6
2014-11-28,30.8
2014-11-29,27.200000000000003
2014-11-30,21.6
2014-12-01,26.1
2014-12-02,28.35
2014-12-03,37.35
2014-12-04,29.7
2014-12-05,36.0
2014-12-06,29.25
2014-12-07,22.95
2014-12-08,28.8
2014-12-09,40.5
2014-12-10,36.45
2014-12-11,40.050000000000004
2014-12-12,29.7
2014-12-13,34.65
2014-12-14,27.0
2014-12-15,30.6
2014-12-16,40.95
2014-12-17,36.45
2014-12-18,34.65
2014-12-19,45.0
2014-12-20,35.550000000000004
2014-12-21,25.2
2014-12-22,39.6
2014-12-23,44.550000000000004
2014-12-24,33.300000000000004
2014-12-25,18.0
2014-12-26,30.6
2014-12-27,27.900000000000002
2014-12-28,23.400000000000002
2014-12-29,35.1
2014-12-30,45.0
2014-12-31,35.1
2015-01-01,27.09
