date,PG
2014-04-01,48.97
2014-04-02,54.87
2014-04-03,54.28
2014-04-04,54.28
2014-04-05,41.89
2014-04-06,44.25
2014-04-07,52.51
2014-04-08,59.0
2014-04-09,54.87
2014-04-10,57.82
2014-04-11,48.97
2014-04-12,42.48
2014-04-13,34.809999999999995
2014-04-14,50.74
2014-04-15,51.92
2014-04-16,47.79
2014-04-17,48.38
2014-04-18,47.79
2014-04-19,48.97
2014-04-20,43.07
2014-04-21,49.56
2014-04-22,48.38
2014-04-23,54.87
2014-04-24,48.38
2014-04-25,55.46
2014-04-26,43.07
2014-04-27,44.84
2014-04-28,56.05
2014-04-29,50.74
2014-04-30,50.74
2014-05-01,48.0
2014-05-02,47.4
2014-05-03,41.4
2014-05-04,40.2
2014-05-05,49.2
2014-05-06,51.6
2014-05-07,48.0
2014-05-08,50.4
2014-05-09,48.6
2014-05-10,42.6
2014-05-11,45.0
2014-05-12,60.0
2014-05-13,47.4
2014-05-14,48.0
2014-05-15,49.2
2014-05-16,55.2
2014-05-17,48.6
2014-05-18,44.4
2014-05-19,58.8
2014-05-20,49.8
2014-05-21,48.6
2014-05-22,51.0
2014-05-23,46.2
2014-05-24,44.4
2014-05-25,50.4
2014-05-26,48.6
2014-05-27,52.2
2014-05-28,48.0
2014-05-29,51.6
2014-05-30,47.4
2014-05-31,38.4
2014-06-01,50.4
2014-06-02,52.8
2014-06-03,53.4
2014-06-04,47.4
2014-06-05,54.0
2014-06-06,52.8
2014-06-07,48.0
2014-06-08,49.2
2014-06-09,60.0
2014-06-10,51.6
2014-06-11,57.0
2014-06-12,51.0
2014-06-13,57.6
2014-06-14,46.8
2014-06-15,39.6
2014-06-16,48.0
2014-06-17,51.6
2014-06-18,46.2
2014-06-19,44.4
2014-06-20,53.4
2014-06-21,46.2
2014-06-22,45.6
2014-06-23,54.0
2014-06-24,48.0
2014-06-25,51.6
2014-06-26,55.2
2014-06-27,55.2
2014-06-28,49.8
2014-06-29,51.6
2014-06-30,47.4
2014-07-01,54.0
2014-07-02,45.900000000000006
2014-07-03,41.040000000000006
2014-07-04,42.66
2014-07-05,44.28
2014-07-06,38.34
2014-07-07,41.580000000000005
2014-07-08,39.42
2014-07-09,43.2
2014-07-10,40.5
2014-07-11,44.82
2014-07-12,39.42
2014-07-13,39.96
2014-07-14,44.82
2014-07-15,39.96
2014-07-16,43.74
2014-07-17,46.440000000000005
2014-07-18,46.98
2014-07-19,45.36
2014-07-20,43.74
2014-07-21,44.28
2014-07-22,46.98
2014-07-23,44.82
2014-07-24,42.120000000000005
2014-07-25,50.220000000000006
2014-07-26,46.440000000000005
2014-07-27,38.88
2014-07-28,45.900000000000006
2014-07-29,41.040000000000006
2014-07-30,45.900000000000006
2014-07-31,42.120000000000005
2014-08-01,45.88
2014-08-02,62.0
2014-08-03,48.98
2014-08-04,44.64
2014-08-05,45.88
2014-08-06,44.02
2014-08-07,42.16
2014-08-08,45.88
2014-08-09,40.92
2014-08-10,36.58
2014-08-11,40.92
2014-08-12,40.92
2014-08-13,42.16
2014-08-14,41.54
2014-08-15,44.02
2014-08-16,39.06
2014-08-17,37.82
2014-08-18,42.78
2014-08-19,44.02
2014-08-20,42.78
2014-08-21,42.78
2014-08-22,42.78
2014-08-23,37.82
2014-08-24,37.2
2014-08-25,42.78
2014-08-26,44.64
2014-08-27,39.06
2014-08-28,40.92
2014-08-29,37.2
2014-08-30,40.3
2014-08-31,33.48
2014-09-01,46.4
2014-09-02,51.04
2014-09-03,57.99999999999999
2014-09-04,44.66
2014-09-05,48.13999999999999
2014-09-06,41.18
2014-09-07,33.059999999999995
2014-09-08,52.78
2014-09-09,48.72
2014-09-10,44.08
2014-09-11,46.4
2014-09-12,46.4
2014-09-13,41.18
2014-09-14,38.28
2014-09-15,45.24
2014-09-16,48.72
2014-09-17,45.24
2014-09-18,47.56
2014-09-19,46.98
2014-09-20,40.02
2014-09-21,34.8
2014-09-22,45.24
2014-09-23,49.3
2014-09-24,51.62
2014-09-25,47.56
2014-09-26,47.56
2014-09-27,36.54
2014-09-28,38.28
2014-09-29,49.3
2014-09-30,48.72
2014-10-01,50.16
2014-10-02,49.02
2014-10-03,41.61
2014-10-04,45.03
2014-10-05,35.34
2014-10-06,47.31
2014-10-07,49.02
2014-10-08,47.31
2014-10-09,45.03
2014-10-10,46.17
2014-10-11,40.47
2014-10-12,46.74
2014-10-13,50.16
2014-10-14,47.88
2014-10-15,45.6
2014-10-16,46.17
2014-10-17,45.6
2014-10-18,38.76
2014-10-19,40.47
2014-10-20,46.74
2014-10-21,48.45
2014-10-22,44.46
2014-10-23,44.46
2014-10-24,52.44
