date,AAPL
2014-05-20,29.04
2014-05-21,30.36
2014-05-22,26.84
2014-05-23,30.36
2014-05-24,10.12
2014-05-25,7.92
2014-05-26,7.48
2014-05-27,33.88
2014-05-28,41.36
2014-05-29,42.68
2014-05-30,44.0
2014-05-31,13.64
2014-06-01,6.4
2014-06-02,45.44
2014-06-03,32.0
2014-06-04,31.36
2014-06-05,28.8
2014-06-06,31.36
2014-06-07,15.36
2014-06-08,11.52
2014-06-09,64.0
2014-06-10,49.92
2014-06-11,41.6
2014-06-12,33.28
2014-06-13,33.28
2014-06-14,10.24
2014-06-15,7.04
2014-06-16,27.52
2014-06-17,26.88
2014-06-18,28.16
2014-06-19,25.6
2014-06-20,24.96
2014-06-21,9.6
2014-06-22,5.12
2014-06-23,22.4
2014-06-24,23.04
2014-06-25,23.68
2014-06-26,23.04
2014-06-27,22.4
2014-06-28,7.04
2014-06-29,5.76
2014-06-30,22.4
2014-07-01,25.65
2014-07-02,24.51
2014-07-03,26.22
2014-07-04,7.979999999999999
2014-07-05,5.13
2014-07-06,4.56
2014-07-07,27.93
2014-07-08,26.79
2014-07-09,24.51
2014-07-10,21.66
2014-07-11,23.94
2014-07-12,7.409999999999999
2014-07-13,5.13
2014-07-14,26.22
2014-07-15,29.64
2014-07-16,33.629999999999995
2014-07-17,26.79
2014-07-18,23.37
2014-07-19,7.979999999999999
2014-07-20,5.13
2014-07-21,26.22
2014-07-22,56.99999999999999
2014-07-23,54.72
2014-07-24,32.489999999999995
2014-07-25,29.07
2014-07-26,9.69
2014-07-27,5.699999999999999
2014-07-28,26.79
2014-07-29,31.35
2014-07-30,25.65
2014-07-31,25.08
2014-08-01,34.5
2014-08-02,9.5
2014-08-03,6.5
2014-08-04,28.5
2014-08-05,34.5
2014-08-06,31.5
2014-08-07,31.0
2014-08-08,30.0
2014-08-09,8.5
2014-08-10,7.5
2014-08-11,26.5
2014-08-12,27.0
2014-08-13,28.5
2014-08-14,27.5
2014-08-15,27.0
2014-08-16,9.5
2014-08-17,7.0
2014-08-18,32.5
2014-08-19,50.0
2014-08-20,40.5
2014-08-21,38.5
2014-08-22,38.5
2014-08-23,11.5
2014-08-24,8.0
2014-08-25,37.0
2014-08-26,34.5
2014-08-27,35.5
2014-08-28,37.0
2014-08-29,38.0
2014-08-30,11.0
2014-08-31,8.0
2014-09-01,5.6
2014-09-02,21.0
2014-09-03,30.1
2014-09-04,30.8
2014-09-05,27.3
2014-09-06,7.699999999999999
2014-09-07,4.9
2014-09-08,25.2
2014-09-09,70.0
2014-09-10,44.1
2014-09-11,30.8
2014-09-12,28.0
2014-09-13,9.8
2014-09-14,6.3
2014-09-15,25.9
2014-09-16,25.2
2014-09-17,21.7
2014-09-18,21.0
2014-09-19,23.1
2014-09-20,7.699999999999999
2014-09-21,4.199999999999999
2014-09-22,22.4
2014-09-23,20.3
2014-09-24,21.0
2014-09-25,26.6
2014-09-26,23.8
2014-09-27,6.3
2014-09-28,4.9
2014-09-29,18.9
2014-09-30,19.6
2014-10-01,31.2
2014-10-02,30.0
2014-10-03,29.4
2014-10-04,7.8
2014-10-05,6.6
2014-10-06,27.6
2014-10-07,28.8
2014-10-08,30.0
2014-10-09,36.6
2014-10-10,30.6
2014-10-11,6.6
2014-10-12,5.4
2014-10-13,28.2
2014-10-14,27.6
2014-10-15,34.2
2014-10-16,39.0
2014-10-17,32.4
2014-10-18,9.0
2014-10-19,5.4
2014-10-20,60.0
2014-10-21,59.4
2014-10-22,37.8
2014-10-23,39.0
2014-10-24,38.4
2014-10-25,10.2
2014-10-26,7.8
2014-10-27,30.0
2014-10-28,36.6
2014-10-29,31.2
2014-10-30,37.2
2014-10-31,34.8
2014-11-01,14.52
2014-11-02,9.68
2014-11-03,43.56
2014-11-04,42.68
2014-11-05,39.16
2014-11-06,40.92
2014-11-07,36.96
2014-11-08,13.2
2014-11-09,7.04
2014-11-10,33.88
2014-11-11,33.88
2014-11-12,38.28
2014-11-13,41.8
2014-11-14,43.12
2014-11-15,13.2
2014-11-16,7.04
2014-11-17,36.08
2014-11-18,40.04
2014-11-19,40.04
2014-11-20,39.6
2014-11-21,40.48
2014-11-22,13.2
2014-11-23,8.36
2014-11-24,36.08
2014-11-25,44.0
2014-11-26,38.72
2014-11-27,14.08
2014-11-28,25.96
2014-11-29,11.44
2014-11-30,5.72
2014-12-01,40.0
2014-12-02,36.8
2014-12-03,38.8
2014-12-04,33.2
2014-12-05,30.0
2014-12-06,10.0
2014-12-07,8.0
2014-12-08,32.4
2014-12-09,34.0
2014-12-10,33.2
2014-12-11,32.4
2014-12-12,29.6
2014-12-13,10.8
2014-12-14,6.4
2014-12-15,30.0
2014-12-16,33.2
2014-12-17,34.4
2014-12-18,36.0
2014-12-19,35.6
2014-12-20,11.2
2014-12-21,6.0
2014-12-22,28.8
2014-12-23,32.800000000000004
2014-12-24,23.200000000000003
2014-12-25,9.2
2014-12-26,22.8
2014-12-27,10.4
2014-12-28,6.800000000000001
2014-12-29,26.8
2014-12-30,31.6
2014-12-31,27.6
2015-01-01,3.68
2015-01-02,11.96
2015-01-03,3.22
2015-01-04,2.3000000000000003
2015-01-05,14.26
2015-01-06,12.88
2015-01-07,12.42
2015-01-08,14.26
2015-01-09,14.72
2015-01-10,4.140000000000001
2015-01-11,2.3000000000000003
2015-01-12,11.96
2015-01-13,12.88
2015-01-14,13.34
2015-01-15,11.96
2015-01-16,12.88
2015-01-17,4.6000000000000005
2015-01-18,2.76
2015-01-19,5.5200000000000005
2015-01-20,13.34
2015-01-21,14.26
2015-01-22,15.64
2015-01-23,14.72
2015-01-24,5.0600000000000005
2015-01-25,2.76
2015-01-26,15.18
2015-01-27,37.260000000000005
2015-01-28,46.0
2015-01-29,26.22
2015-01-30,22.08
2015-01-31,7.36
2015-02-01,7.199999999999999
2015-02-02,32.16
2015-02-03,36.0
2015-02-04,36.0
2015-02-05,34.08
2015-02-06,34.56
2015-02-07,10.08
2015-02-08,6.72
2015-02-09,27.36
2015-02-10,33.6
2015-02-11,43.2
2015-02-12,48.0
2015-02-13,40.32
2015-02-14,14.88
2015-02-15,10.08
2015-02-16,19.68
2015-02-17,39.84
2015-02-18,39.84
2015-02-19,36.0
2015-02-20,37.92
2015-02-21,15.84
2015-02-22,7.68
2015-02-23,40.32
2015-02-24,41.76
