date,CRM
2014-03-22,18.150000000000002
2014-03-23,16.5
2014-03-24,49.50000000000001
2014-03-25,51.150000000000006
2014-03-26,55.00000000000001
2014-03-27,48.400000000000006
2014-03-28,42.35
2014-03-29,20.35
2014-03-30,13.750000000000002
2014-03-31,48.95
2014-04-01,53.36
2014-04-02,55.099999999999994
2014-04-03,55.67999999999999
2014-04-04,41.18
2014-04-05,23.779999999999998
2014-04-06,17.98
2014-04-07,51.04
2014-04-08,55.67999999999999
2014-04-09,48.72
2014-04-10,54.519999999999996
2014-04-11,42.919999999999995
2014-04-12,19.139999999999997
2014-04-13,19.72
2014-04-14,46.4
2014-04-15,52.199999999999996
2014-04-16,56.839999999999996
2014-04-17,51.62
2014-04-18,37.12
2014-04-19,18.56
2014-04-20,15.659999999999998
2014-04-21,51.62
2014-04-22,53.94
2014-04-23,54.519999999999996
2014-04-24,53.94
2014-04-25,46.4
2014-04-26,20.299999999999997
2014-04-27,18.56
2014-04-28,51.04
2014-04-29,57.99999999999999
2014-04-30,53.94
2014-05-01,44.82
2014-05-02,37.800000000000004
2014-05-03,18.900000000000002
2014-05-04,16.200000000000003
2014-05-05,46.440000000000005
2014-05-06,45.36
2014-05-07,48.6
2014-05-08,42.660000000000004
2014-05-09,42.660000000000004
2014-05-10,17.28
2014-05-11,15.120000000000001
2014-05-12,41.040000000000006
2014-05-13,44.82
2014-05-14,45.900000000000006
2014-05-15,42.120000000000005
2014-05-16,40.5
2014-05-17,17.82
2014-05-18,11.88
2014-05-19,43.2
2014-05-20,52.38
2014-05-21,54.0
2014-05-22,45.900000000000006
2014-05-23,43.2
2014-05-24,14.580000000000002
2014-05-25,10.8
2014-05-26,16.200000000000003
2014-05-27,48.06
2014-05-28,44.82
2014-05-29,53.46
2014-05-30,44.82
2014-05-31,21.060000000000002
2014-06-01,13.569999999999999
2014-06-02,50.739999999999995
2014-06-03,48.97
2014-06-04,59.0
2014-06-05,53.099999999999994
2014-06-06,53.69
2014-06-07,17.7
2014-06-08,17.7
2014-06-09,44.839999999999996
2014-06-10,54.87
2014-06-11,51.33
2014-06-12,51.919999999999995
2014-06-13,46.61
2014-06-14,17.11
2014-06-15,17.7
2014-06-16,47.79
2014-06-17,59.0
2014-06-18,57.82
2014-06-19,54.87
2014-06-20,47.199999999999996
2014-06-21,15.34
2014-06-22,20.06
2014-06-23,46.61
2014-06-24,55.459999999999994
2014-06-25,52.51
2014-06-26,53.69
2014-06-27,49.559999999999995
2014-06-28,18.29
2014-06-29,21.24
2014-06-30,44.25
2014-07-01,52.779999999999994
2014-07-02,50.459999999999994
2014-07-03,42.919999999999995
2014-07-04,15.659999999999998
2014-07-05,13.34
2014-07-06,17.98
2014-07-07,51.04
2014-07-08,51.04
2014-07-09,49.3
2014-07-10,53.36
