date,TSLA
2014-03-20,7.800000000000001
2014-03-21,7.28
2014-03-22,1.56
2014-03-23,1.4300000000000002
2014-03-24,8.06
2014-03-25,8.32
2014-03-26,7.0200000000000005
2014-03-27,8.450000000000001
2014-03-28,8.97
2014-03-29,2.47
2014-03-30,2.99
2014-03-31,8.58
2014-04-01,10.56
2014-04-02,10.45
2014-04-03,9.46
2014-04-04,9.68
2014-04-05,3.85
2014-04-06,1.98
2014-04-07,9.46
2014-04-08,10.89
2014-04-09,8.47
2014-04-10,10.34
2014-04-11,9.9
2014-04-12,2.64
2014-04-13,2.09
2014-04-14,8.47
2014-04-15,11.0
2014-04-16,10.56
2014-04-17,8.47
2014-04-18,4.73
2014-04-19,1.65
2014-04-20,1.1
2014-04-21,8.47
2014-04-22,9.46
2014-04-23,7.7
2014-04-24,8.47
2014-04-25,9.57
2014-04-26,3.08
2014-04-27,1.43
2014-04-28,8.58
2014-04-29,8.25
2014-04-30,8.8
2014-05-01,4.2
2014-05-02,3.36
2014-05-03,1.44
2014-05-04,0.84
2014-05-05,4.08
2014-05-06,4.2
2014-05-07,9.0
2014-05-08,12.0
2014-05-09,7.199999999999999
2014-05-10,1.56
2014-05-11,0.84
2014-05-12,5.16
2014-05-13,6.24
2014-05-14,5.52
2014-05-15,4.92
2014-05-16,3.96
2014-05-17,1.56
2014-05-18,0.84
2014-05-19,4.2
2014-05-20,5.04
2014-05-21,3.7199999999999998
2014-05-22,4.08
2014-05-23,3.7199999999999998
2014-05-24,1.3199999999999998
2014-05-25,0.96
2014-05-26,0.84
2014-05-27,3.96
2014-05-28,4.92
2014-05-29,3.12
2014-05-30,3.48
2014-05-31,0.72
2014-06-01,0.8099999999999999
2014-06-02,4.59
2014-06-03,4.77
2014-06-04,4.859999999999999
2014-06-05,4.41
2014-06-06,4.95
2014-06-07,2.07
2014-06-08,1.26
2014-06-09,4.5
2014-06-10,4.2299999999999995
2014-06-11,4.77
2014-06-12,6.569999999999999
2014-06-13,6.21
2014-06-14,1.71
2014-06-15,0.8099999999999999
2014-06-16,7.47
2014-06-17,9.0
2014-06-18,7.92
2014-06-19,7.199999999999999
2014-06-20,5.31
2014-06-21,2.4299999999999997
2014-06-22,1.71
2014-06-23,6.21
2014-06-24,7.109999999999999
2014-06-25,5.31
2014-06-26,5.13
2014-06-27,5.49
2014-06-28,1.44
2014-06-29,0.63
2014-06-30,4.77
2014-07-01,3.5999999999999996
2014-07-02,3.8699999999999997
2014-07-03,4.5
2014-07-04,1.08
2014-07-05,0.72
2014-07-06,0.8999999999999999
2014-07-07,4.68
2014-07-08,4.05
2014-07-09,3.2399999999999998
2014-07-10,4.05
2014-07-11,3.51
2014-07-12,0.72
2014-07-13,0.99
2014-07-14,3.51
2014-07-15,3.69
2014-07-16,4.77
2014-07-17,3.96
2014-07-18,2.88
2014-07-19,1.26
2014-07-20,0.72
2014-07-21,3.06
2014-07-22,3.69
2014-07-23,3.15
2014-07-24,3.06
2014-07-25,3.5999999999999996
2014-07-26,1.26
2014-07-27,0.8099999999999999
2014-07-28,3.69
2014-07-29,3.8699999999999997
2014-07-30,4.2299999999999995
2014-07-31,9.0
2014-08-01,9.0
2014-08-02,2.4299999999999997
2014-08-03,1.17
2014-08-04,4.2299999999999995
2014-08-05,4.32
2014-08-06,5.58
2014-08-07,6.4799999999999995
2014-08-08,4.77
2014-08-09,1.3499999999999999
2014-08-10,0.99
2014-08-11,6.12
2014-08-12,6.21
2014-08-13,4.95
2014-08-14,5.31
2014-08-15,5.3999999999999995
2014-08-16,2.34
2014-08-17,1.08
2014-08-18,4.68
2014-08-19,4.859999999999999
2014-08-20,4.2299999999999995
2014-08-21,4.14
2014-08-22,4.2299999999999995
2014-08-23,1.44
2014-08-24,1.26
2014-08-25,4.2299999999999995
2014-08-26,4.2299999999999995
2014-08-27,4.05
2014-08-28,3.69
2014-08-29,5.22
2014-08-30,2.07
2014-08-31,1.17
2014-09-01,1.08
2014-09-02,7.199999999999999
2014-09-03,7.6499999999999995
2014-09-04,8.37
2014-09-05,9.0
2014-09-06,1.71
2014-09-07,0.8999999999999999
2014-09-08,6.21
2014-09-09,5.76
2014-09-10,5.04
2014-09-11,5.04
2014-09-12,4.41
2014-09-13,1.08
2014-09-14,0.8999999999999999
2014-09-15,8.82
2014-09-16,8.28
2014-09-17,7.109999999999999
2014-09-18,5.13
2014-09-19,5.76
2014-09-20,0.99
2014-09-21,0.8099999999999999
2014-09-22,5.3999999999999995
2014-09-23,5.76
2014-09-24,5.13
2014-09-25,4.14
2014-09-26,4.05
2014-09-27,0.8099999999999999
2014-09-28,0.44999999999999996
2014-09-29,4.41
2014-09-30,3.42
2014-10-01,3.6
2014-10-02,5.0
2014-10-03,4.3
2014-10-04,1.1
2014-10-05,0.8
2014-10-06,3.5
2014-10-07,3.8000000000000003
2014-10-08,3.7
2014-10-09,5.6000000000000005
2014-10-10,10.0
2014-10-11,1.9000000000000001
2014-10-12,1.2000000000000002
2014-10-13,4.9
2014-10-14,4.800000000000001
