date,HD
2014-07-01,50.92
2014-07-02,47.57
2014-07-03,52.93
2014-07-04,58.96
2014-07-05,57.620000000000005
2014-07-06,63.650000000000006
2014-07-07,52.93
2014-07-08,48.91
2014-07-09,49.580000000000005
2014-07-10,50.25
2014-07-11,53.6
2014-07-12,63.650000000000006
2014-07-13,62.98
2014-07-14,52.260000000000005
2014-07-15,50.92
2014-07-16,49.580000000000005
2014-07-17,51.59
2014-07-18,54.27
2014-07-19,62.31
2014-07-20,67.0
2014-07-21,54.27
2014-07-22,53.6
2014-07-23,55.61000000000001
2014-07-24,50.25
2014-07-25,53.6
2014-07-26,58.290000000000006
2014-07-27,59.63
2014-07-28,54.940000000000005
2014-07-29,52.93
2014-07-30,54.27
2014-07-31,50.25
2014-08-01,58.48
2014-08-02,63.24
2014-08-03,68.0
2014-08-04,51.68000000000001
2014-08-05,56.440000000000005
2014-08-06,52.36000000000001
2014-08-07,47.6
2014-08-08,58.48
2014-08-09,63.92
2014-08-10,63.24
2014-08-11,51.00000000000001
2014-08-12,55.080000000000005
2014-08-13,54.400000000000006
2014-08-14,57.120000000000005
2014-08-15,52.36000000000001
2014-08-16,63.24
2014-08-17,65.96000000000001
2014-08-18,54.400000000000006
2014-08-19,55.080000000000005
2014-08-20,53.040000000000006
2014-08-21,51.68000000000001
2014-08-22,55.080000000000005
2014-08-23,63.92
2014-08-24,60.52
2014-08-25,52.36000000000001
2014-08-26,52.36000000000001
2014-08-27,51.00000000000001
2014-08-28,61.88
2014-08-29,55.760000000000005
2014-08-30,61.88
2014-08-31,63.92
2014-09-01,56.12
2014-09-02,45.75
2014-09-03,48.8
2014-09-04,47.58
2014-09-05,48.8
2014-09-06,59.17
2014-09-07,55.51
2014-09-08,48.19
2014-09-09,46.97
2014-09-10,48.19
2014-09-11,48.8
2014-09-12,45.14
2014-09-13,56.73
2014-09-14,61.0
2014-09-15,44.53
2014-09-16,48.8
2014-09-17,47.58
2014-09-18,48.19
2014-09-19,50.02
2014-09-20,60.39
2014-09-21,60.39
