date,CRM_unscaled,CRM_monthly,scale,CRM
2013-11-25,77,54.0,0.54,41.580000000000005
2013-11-26,70,54.0,0.54,37.800000000000004
2013-11-27,58,54.0,0.54,31.32
2013-11-28,22,54.0,0.54,11.88
2013-11-29,31,54.0,0.54,16.740000000000002
2013-11-30,19,54.0,0.54,10.260000000000002
2013-12-01,26,47.0,0.47,12.219999999999999
2013-12-02,73,47.0,0.47,34.309999999999995
2013-12-03,98,47.0,0.47,46.059999999999995
2013-12-04,100,47.0,0.47,47.0
2013-12-05,94,47.0,0.47,44.18
2013-12-06,74,47.0,0.47,34.78
2013-12-07,38,47.0,0.47,17.86
2013-12-08,33,47.0,0.47,15.51
2013-12-09,82,47.0,0.47,38.54
2013-12-10,93,47.0,0.47,43.71
2013-12-11,90,47.0,0.47,42.3
2013-12-12,86,47.0,0.47,40.419999999999995
2013-12-13,80,47.0,0.47,37.599999999999994
2013-12-14,33,47.0,0.47,15.51
2013-12-15,30,47.0,0.47,14.1
2013-12-16,76,47.0,0.47,35.72
2013-12-17,87,47.0,0.47,40.89
2013-12-18,74,47.0,0.47,34.78
2013-12-19,90,47.0,0.47,42.3
2013-12-20,67,47.0,0.47,31.49
2013-12-21,33,47.0,0.47,15.51
2013-12-22,22,47.0,0.47,10.34
2013-12-23,56,47.0,0.47,26.32
2013-12-24,38,47.0,0.47,17.86
2013-12-25,16,47.0,0.47,7.52
2013-12-26,45,47.0,0.47,21.15
2013-12-27,51,47.0,0.47,23.97
2013-12-28,20,47.0,0.47,9.399999999999999
2013-12-29,19,47.0,0.47,8.93
2013-12-30,57,47.0,0.47,26.79
2013-12-31,49,47.0,0.47,23.029999999999998
2014-01-01,24,57.0,0.57,13.68
2014-01-02,72,57.0,0.57,41.04
2014-01-03,62,57.0,0.57,35.339999999999996
2014-01-04,33,57.0,0.57,18.81
2014-01-05,20,57.0,0.57,11.399999999999999
2014-01-06,74,57.0,0.57,42.18
2014-01-07,84,57.0,0.57,47.879999999999995
2014-01-08,79,57.0,0.57,45.029999999999994
2014-01-09,92,57.0,0.57,52.44
2014-01-10,87,57.0,0.57,49.589999999999996
2014-01-11,27,57.0,0.57,15.389999999999999
2014-01-12,27,57.0,0.57,15.389999999999999
2014-01-13,78,57.0,0.57,44.459999999999994
2014-01-14,92,57.0,0.57,52.44
2014-01-15,100,57.0,0.57,56.99999999999999
2014-01-16,90,57.0,0.57,51.3
2014-01-17,88,57.0,0.57,50.16
2014-01-18,31,57.0,0.57,17.669999999999998
2014-01-19,26,57.0,0.57,14.819999999999999
2014-01-20,69,57.0,0.57,39.33
2014-01-21,79,57.0,0.57,45.029999999999994
2014-01-22,89,57.0,0.57,50.73
2014-01-23,97,57.0,0.57,55.28999999999999
2014-01-24,85,57.0,0.57,48.449999999999996
2014-01-25,36,57.0,0.57,20.52
2014-01-26,33,57.0,0.57,18.81
2014-01-27,75,57.0,0.57,42.74999999999999
2014-01-28,95,57.0,0.57,54.15
2014-01-29,82,57.0,0.57,46.739999999999995
2014-01-30,83,57.0,0.57,47.309999999999995
2014-01-31,91,57.0,0.57,51.87
